Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,758,12
は,は,は,助詞 係助詞 * * * *,706,12
て,て,て,助詞 接続助詞 * * * *,627,12
に,に,に,助詞 格助詞 * * * *,567,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,450,12
が,が,が,助詞 格助詞 * * * *,449,12
を,を,を,助詞 格助詞 * * * *,377,12
も,も,も,助詞 係助詞 * * * *,376,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,352,12
よ,よ,よ,助詞 終助詞 * * * *,316,12
の,の,の,助詞 準体助詞 * * * *,289,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,281,12
で,で,で,助詞 格助詞 * * * *,266,12
と,と,と,助詞 格助詞 * * * *,243,12
ね,ね,ね,助詞 終助詞 * * * *,225,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,220,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,209,12
何,何,何,代名詞 * * * * *,187,12
ん,ん,の,助詞 準体助詞 * * * *,186,12
か,か,か,助詞 終助詞 * * * *,177,12
って,って,って,助詞 副助詞 * * * *,177,12
わ,わ,わ,助詞 終助詞 * * * *,176,10
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,167,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,162,12
僕,僕,僕,代名詞 * * * * *,159,12
私,私,私,代名詞 * * * * *,158,12
こと,こと,こと,名詞 普通名詞 一般 * * *,148,12
ジュン,ジュン,ジュン,名詞 固有名詞 人名 名 * *,145,12
真紅,真紅,深紅,名詞 普通名詞 一般 * * *,145,12
斉藤,斉藤,斉藤,名詞 固有名詞 人名 姓 * *,137,12
か,か,か,助詞 副助詞 * * * *,134,12
な,な,な,助詞 終助詞 * * * *,120,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,117,12
から,から,から,助詞 接続助詞 * * * *,116,12
お,お,御,接頭辞 * * * * *,113,12
の,の,の,助詞 終助詞 * * * *,112,12
店長,店長,店長,名詞 普通名詞 一般 * * *,112,12
そう,そう,そう,副詞 * * * * *,107,12
この,この,此の,連体詞 * * * * *,104,12
から,から,から,助詞 格助詞 * * * *,101,12
あッ,あッ,あっ,感動詞 一般 * * * *,99,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,99,12
〜,〜,〜,補助記号 一般 * * * *,97,12
あなた,あなた,貴方,代名詞 * * * * *,96,11
それ,それ,其れ,代名詞 * * * * *,94,12
どう,どう,どう,副詞 * * * * *,87,12
あの,あの,彼の,連体詞 * * * * *,86,12
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,85,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,82,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,79,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,79,12
これ,これ,此れ,代名詞 * * * * *,76,12
かしら,かしら,かしら,助詞 終助詞 * * * *,73,10
世界,世界,世界,名詞 普通名詞 一般 * * *,71,12
石,石,石,名詞 普通名詞 一般 * * *,68,8
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,67,12
星,星,星,名詞 普通名詞 一般 * * *,67,9
お前,お前,御前,代名詞 * * * * *,66,12
けど,けど,けれど,助詞 接続助詞 * * * *,65,12
人形,人形,人形,名詞 普通名詞 一般 * * *,64,12
その,その,其の,連体詞 * * * * *,60,12
うん,うん,うん,感動詞 一般 * * * *,59,12
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,57,12
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,57,12
ここ,ここ,此処,代名詞 * * * * *,54,12
ば,ば,ば,助詞 接続助詞 * * * *,54,12
ああ,ああ,ああ,感動詞 一般 * * * *,54,11
蒼,蒼,蒼,名詞 普通名詞 一般 * * *,53,8
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,51,12
そんな,そんな,そんな,連体詞 * * * * *,51,11
もう,もう,もう,副詞 * * * * *,51,11
えッ,えッ,えっ,感動詞 一般 * * * *,50,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,49,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,49,11
ドール,ドール,ドール,名詞 普通名詞 一般 * * *,49,11
だけ,だけ,だけ,助詞 副助詞 * * * *,48,12
綺晶,綺晶,綺晶,名詞 固有名詞 人名 名 * *,48,12
華,華,華,名詞 固有名詞 人名 姓 * *,48,12
雪,雪,雪,名詞 普通名詞 一般 * * *,48,12
なんて,なんて,なんて,助詞 副助詞 * * * *,48,11
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,47,12
し,し,し,助詞 接続助詞 * * * *,47,11
水銀燈,水銀燈,水銀燈,名詞 普通名詞 一般 * * *,47,10
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,46,11
マスター,マスター,マスター,名詞 普通名詞 サ変可能 * * *,46,9
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,45,12
もの,もの,物,名詞 普通名詞 サ変可能 * * *,45,12
今,今,今,名詞 普通名詞 副詞可能 * * *,45,12
君,君,君,接尾辞 名詞的 一般 * * *,45,8
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,44,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,42,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,42,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,42,12
星,星,星,接尾辞 名詞的 一般 * * *,42,6
翠,翠,翠,名詞 普通名詞 一般 * * *,42,6
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,41,12
まで,まで,まで,助詞 副助詞 * * * *,41,10
ローザミスティカ,ローザミスティカ,ローザミスティカ,名詞 普通名詞 一般 * * *,41,8
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,40,12
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,40,11
石,石,石,接尾辞 名詞的 一般 * * *,39,6
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,38,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,38,11
ローゼン,ローゼン,ローゼン,名詞 普通名詞 一般 * * *,38,10
第,第,第,接頭辞 * * * * *,38,10
誰,誰,誰,代名詞 * * * * *,37,10
メイデン,メイデン,メイデン,名詞 普通名詞 一般 * * *,35,10
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,35,9
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,34,11
とき,とき,時,名詞 普通名詞 副詞可能 * * *,34,11
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,33,11
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,33,11
桜田,桜田,桜田,名詞 固有名詞 地名 一般 * *,33,8
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,32,11
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,32,11
子,子,子,名詞 普通名詞 一般 * * *,32,9
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,31,12
ッ,ッ,ッ,名詞 普通名詞 一般 * * *,31,11
ちょっと,ちょっと,一寸,副詞 * * * * *,30,12
いや,いや,否,感動詞 一般 * * * *,30,11
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,30,11
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,30,10
はい,はい,はい,感動詞 一般 * * * *,30,9
ま,ま,まー,感動詞 フィラー * * * *,30,8
体,体,体,名詞 普通名詞 一般 * * *,30,8
達,達,達,接尾辞 名詞的 一般 * * *,30,8
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,29,11
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,29,11
よう,よう,様,形状詞 助動詞語幹 * * * *,29,11
人,人,人,名詞 普通名詞 一般 * * *,29,11
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,29,9
で,で,で,助詞 接続助詞 * * * *,29,8
雛苺,雛苺,雛苺,名詞 固有名詞 人名 一般 * *,29,7
ボディー,ボディー,ボディー,名詞 普通名詞 一般 * * *,29,4
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,28,12
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,28,12
また,また,又,接続詞 * * * * *,28,11
時間,時間,時間,名詞 普通名詞 助数詞可能 * * *,28,11
気,気,気,名詞 普通名詞 一般 * * *,28,11
わけ,わけ,訳,名詞 普通名詞 一般 * * *,28,10
はあ,はあ,はあ,感動詞 一般 * * * *,28,9
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,28,8
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,27,12
られ,られる,られる,助動詞 * * * 助動詞-レル 連用形-一般,27,10
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,26,12
なかっ,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-促音便,26,9
へ,へ,へ,助詞 格助詞 * * * *,26,9
さ,さ,さ,助詞 終助詞 * * * *,26,8
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,25,11
こんな,こんな,こんな,連体詞 * * * * *,25,10
人間,人間,人間,名詞 普通名詞 一般 * * *,25,10
自分,自分,自分,名詞 普通名詞 一般 * * *,25,9
金糸,金糸,金糸,名詞 普通名詞 一般 * * *,25,7
雀,雀,雀,名詞 普通名詞 一般 * * *,25,7
めぐ,めぐ,めぐ,名詞 固有名詞 人名 名 * *,25,4
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,24,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,24,9
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,24,9
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,24,9
俺,俺,俺,代名詞 * * * * *,24,8
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,23,11
あれ,あれ,彼れ,代名詞 * * * * *,23,10
じゃあ,じゃあ,で,接続詞 * * * * *,23,10
どこ,どこ,どこ,代名詞 * * * * *,23,10
まあ,まあ,まあ,副詞 * * * * *,23,10
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,23,9
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,22,11
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,22,10
そんな,そんな,そんな,形状詞 一般 * * * *,22,10
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,22,9
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,22,8
夢,夢,夢,名詞 普通名詞 一般 * * *,22,8
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,21,10
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,21,9
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,20,10
中,中,中,名詞 普通名詞 副詞可能 * * *,20,10
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,20,9
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,20,9
ため,ため,為,名詞 普通名詞 副詞可能 * * *,20,9
まか,まか,摩訶,名詞 普通名詞 一般 * * *,20,9
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,19,11
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,19,11
そう,そう,そう,形状詞 助動詞語幹 * * * *,19,10
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,19,10
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,19,10
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,19,9
前,前,前,名詞 普通名詞 副詞可能 * * *,19,9
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,19,9
様,様,様,接尾辞 名詞的 一般 * * *,19,6
姉,姉,姉,名詞 普通名詞 一般 * * *,19,4
と,と,と,助詞 接続助詞 * * * *,18,10
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,18,9
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,18,8
作っ,作る,作る,動詞 一般 * * 五段-ラ行 連用形-促音便,18,8
違う,違う,違う,動詞 一般 * * 五段-ワア行 終止形-一般,18,8
カバン,カバン,鞄,名詞 普通名詞 一般 * * *,18,7
ホント,ホント,本当,名詞 普通名詞 一般 * * *,18,7
姉妹,姉妹,姉妹,名詞 普通名詞 一般 * * *,18,7
巴,巴,巴,名詞 固有名詞 人名 名 * *,18,4
まだ,まだ,未だ,副詞 * * * * *,17,10
手,手,手,名詞 普通名詞 助数詞可能 * * *,17,10
あげる,あげる,上げる,動詞 非自立可能 * * 下一段-ガ行 終止形-一般,17,9
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,17,9
まさか,まさか,まさか,副詞 * * * * *,17,9
ましょう,ます,ます,助動詞 * * * 助動詞-マス 意志推量形,17,8
力,力,力,名詞 普通名詞 一般 * * *,17,8
バイト,バイト,バイト,名詞 普通名詞 サ変可能 * * *,17,7
携帯,携帯,携帯,名詞 普通名詞 サ変可能 * * *,17,7
記憶,記憶,記憶,名詞 普通名詞 サ変可能 * * *,17,6
指輪,指輪,指輪,名詞 普通名詞 一般 * * *,17,4
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,16,9
すぐ,すぐ,直ぐ,副詞 * * * * *,16,8
さ,さ,さ,接尾辞 名詞的 一般 * * *,16,7
ヒナ,ヒナ,ヒナ,名詞 普通名詞 一般 * * *,16,3
なぜ,なぜ,何故,副詞 * * * * *,15,10
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,15,10
フィールド,フィールド,フィールド,名詞 普通名詞 一般 * * *,15,10
あと,あと,後,名詞 普通名詞 副詞可能 * * *,15,9
いつも,いつも,いつも,名詞 普通名詞 副詞可能 * * *,15,8
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,15,8
しまっ,しまう,仕舞う,動詞 非自立可能 * * 五段-ワア行 連用形-促音便,15,8
でき,できる,出来る,動詞 非自立可能 * * 上一段-カ行 未然形-一般,15,8
アリス,アリス,アリス,名詞 固有名詞 人名 一般 * *,15,8
メール,メール,メール,名詞 普通名詞 サ変可能 * * *,15,8
別,別,別,名詞 普通名詞 形状詞可能 * * *,15,7
本当,本当,本当,名詞 普通名詞 一般 * * *,15,7
妹,妹,妹,名詞 普通名詞 一般 * * *,15,6
着信,着信,着信,名詞 普通名詞 サ変可能 * * *,15,6
なんか,なんか,なんか,助詞 副助詞 * * * *,14,11
いつ,いつ,いつ,代名詞 * * * * *,14,9
はず,はず,筈,名詞 普通名詞 一般 * * *,14,9
なきゃ,ない,ない,助動詞 * * * 助動詞-ナイ 仮定形-融合,14,8
ゲーム,ゲーム,ゲーム,名詞 普通名詞 一般 * * *,14,8
分から,分かる,分かる,動詞 一般 * * 五段-ラ行 未然形-一般,14,8
目,目,目,名詞 普通名詞 一般 * * *,14,8
聞い,聞く,聞く,動詞 一般 * * 五段-カ行 連用形-イ音便,14,8
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,14,8
ホーリエ,ホーリエ,ホーリエ,名詞 普通名詞 一般 * * *,14,7
