Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,831,13
に,に,に,助詞 格助詞 * * * *,747,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,704,13
キマリ,キマリ,決まり,名詞 普通名詞 一般 * * *,690,13
は,は,は,助詞 係助詞 * * * *,634,13
の,の,の,助詞 格助詞 * * * *,612,13
も,も,も,助詞 係助詞 * * * *,574,13
で,で,で,助詞 格助詞 * * * *,511,13
が,が,が,助詞 格助詞 * * * *,503,13
日向,日向,日向,名詞 普通名詞 一般 * * *,499,13
瀬,瀬,瀬,名詞 普通名詞 一般 * * *,448,13
よ,よ,よ,助詞 終助詞 * * * *,426,13
と,と,と,助詞 格助詞 * * * *,411,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,407,13
報,報,報,名詞 普通名詞 一般 * * *,405,13
ん,ん,の,助詞 準体助詞 * * * *,404,13
って,って,って,助詞 副助詞 * * * *,399,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,383,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,361,13
か,か,か,助詞 終助詞 * * * *,343,13
月,月,月,名詞 普通名詞 助数詞可能 * * *,341,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,332,13
結,結,結,名詞 普通名詞 一般 * * *,331,12
ね,ね,ね,助詞 終助詞 * * * *,313,13
から,から,から,助詞 接続助詞 * * * *,306,13
の,の,の,助詞 準体助詞 * * * *,269,13
か,か,か,助詞 副助詞 * * * *,255,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,231,13
を,を,を,助詞 格助詞 * * * *,204,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,203,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,203,13
私,私,私,代名詞 * * * * *,197,13
あ,あ,あっ,感動詞 一般 * * * *,189,13
〜,〜,〜,補助記号 一般 * * * *,184,13
こと,こと,こと,名詞 普通名詞 一般 * * *,177,13
な,な,な,助詞 終助詞 * * * *,175,13
音,音,音,名詞 普通名詞 一般 * * *,168,13
の,の,の,助詞 終助詞 * * * *,161,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,161,13
なん,なん,何,代名詞 * * * * *,159,13
それ,それ,其れ,代名詞 * * * * *,158,13
そう,そう,そう,副詞 * * * * *,156,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,150,13
えっ,えっ,えっ,感動詞 一般 * * * *,148,13
けど,けど,けれど,助詞 接続助詞 * * * *,148,13
何,何,何,代名詞 * * * * *,141,13
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,138,13
南極,南極,南極,名詞 固有名詞 地名 一般 * *,138,13
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,130,13
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,115,13
かなえ,かなえ,かなえ,名詞 固有名詞 人名 名 * *,115,10
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,114,13
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,109,13
どう,どう,どう,副詞 * * * * *,104,13
し,し,し,助詞 接続助詞 * * * *,103,13
うん,うん,うん,感動詞 一般 * * * *,100,13
ハァ,ハァ,はあ,感動詞 一般 * * * *,100,12
はい,はい,はい,感動詞 一般 * * * *,99,12
これ,これ,此れ,代名詞 * * * * *,97,13
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,92,13
ここ,ここ,此処,代名詞 * * * * *,90,13
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,90,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,89,13
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,89,13
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,84,13
吟,吟,吟,名詞 固有名詞 人名 名 * *,83,9
から,から,から,助詞 格助詞 * * * *,82,13
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,81,13
さん,さん,さん,接尾辞 名詞的 一般 * * *,79,13
この,この,此の,連体詞 * * * * *,78,13
めぐみ,めぐみ,恵み,名詞 普通名詞 一般 * * *,77,5
たち,たち,達,接尾辞 名詞的 一般 * * *,76,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,76,13
あっ,あっ,あっ,感動詞 一般 * * * *,75,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,75,13
ん,ん,ん,助詞 格助詞 * * * *,74,12
･,・,・,補助記号 一般 * * * *,73,13
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,72,13
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,72,13
その,その,其の,連体詞 * * * * *,69,13
だけ,だけ,だけ,助詞 副助詞 * * * *,69,13
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,69,13
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,68,13
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,66,13
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,66,11
人,人,人,名詞 普通名詞 一般 * * *,62,13
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,61,13
まで,まで,まで,助詞 副助詞 * * * *,60,13
もう,もう,もう,副詞 * * * * *,59,13
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,59,13
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,58,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,56,12
あの,あの,彼の,連体詞 * * * * *,56,11
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,55,13
フフッ,フフッ,ふふ,感動詞 一般 * * * *,55,13
まあ,まあ,まあ,副詞 * * * * *,53,13
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,53,13
