Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2166,2
は,は,は,助詞 係助詞 * * * *,1804,2
て,て,て,助詞 接続助詞 * * * *,1622,2
に,に,に,助詞 格助詞 * * * *,1505,2
を,を,を,助詞 格助詞 * * * *,1497,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1439,2
が,が,が,助詞 格助詞 * * * *,1122,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,931,2
と,と,と,助詞 格助詞 * * * *,870,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,668,2
の,の,の,助詞 準体助詞 * * * *,648,2
か,か,か,助詞 終助詞 * * * *,592,2
で,で,で,助詞 格助詞 * * * *,562,2
〜,〜,〜,補助記号 一般 * * * *,561,2
も,も,も,助詞 係助詞 * * * *,552,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,537,2
な,な,な,助詞 終助詞 * * * *,508,2
この,この,此の,連体詞 * * * * *,483,2
何,何,何,代名詞 * * * * *,447,2
ん,ん,の,助詞 準体助詞 * * * *,408,2
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,354,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,332,2
よ,よ,よ,助詞 終助詞 * * * *,316,2
こと,こと,こと,名詞 普通名詞 一般 * * *,313,2
俺,俺,俺,代名詞 * * * * *,294,2
承太郎,承太郎,承太郎,名詞 固有名詞 人名 名 * *,270,2
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,263,2
･,・,・,補助記号 一般 * * * *,258,2
か,か,か,助詞 副助詞 * * * *,249,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,240,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,231,2
が,が,が,助詞 接続助詞 * * * *,225,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,221,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,219,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,211,2
お前,お前,御前,代名詞 * * * * *,198,2
ああ,ああ,ああ,感動詞 一般 * * * *,195,2
スタンド,スタンド,スタンド,名詞 普通名詞 一般 * * *,193,2
私,私,私,代名詞 * * * * *,189,2
やつ,やつ,奴,名詞 普通名詞 一般 * * *,184,2
その,その,其の,連体詞 * * * * *,183,2
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,182,2
