Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,812,12
は,は,は,助詞 係助詞 * * * *,751,12
那,那,那,名詞 普通名詞 一般 * * *,721,12
切,切,切り,名詞 普通名詞 一般 * * *,704,12
て,て,て,助詞 接続助詞 * * * *,697,12
に,に,に,助詞 格助詞 * * * *,668,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,624,12
を,を,を,助詞 格助詞 * * * *,516,12
が,が,が,助詞 格助詞 * * * *,472,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,398,12
も,も,も,助詞 係助詞 * * * *,377,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,358,12
凛音,凛音,凛音,名詞 固有名詞 人名 名 * *,349,11
よ,よ,よ,助詞 終助詞 * * * *,344,12
で,で,で,助詞 格助詞 * * * *,342,12
か,か,か,助詞 終助詞 * * * *,337,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,310,12
と,と,と,助詞 格助詞 * * * *,294,12
ん,ん,の,助詞 準体助詞 * * * *,277,12
の,の,の,助詞 準体助詞 * * * *,268,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,232,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,216,12
私,私,私,代名詞 * * * * *,216,12
夏蓮,夏蓮,夏蓮,名詞 固有名詞 人名 名 * *,204,10
紗羅,紗羅,紗羅,名詞 固有名詞 人名 名 * *,204,10
って,って,って,助詞 副助詞 * * * *,174,12
な,な,な,助詞 終助詞 * * * *,174,12
何,何,何,代名詞 * * * * *,174,12
から,から,から,助詞 接続助詞 * * * *,159,12
それ,それ,其れ,代名詞 * * * * *,157,12
こと,こと,こと,名詞 普通名詞 一般 * * *,154,12
俺,俺,俺,代名詞 * * * * *,150,12
か,か,か,助詞 副助詞 * * * *,148,12
あ,あ,あっ,感動詞 一般 * * * *,147,12
ね,ね,ね,助詞 終助詞 * * * *,139,12
お前,お前,御前,代名詞 * * * * *,133,12
あっ,あっ,あっ,感動詞 一般 * * * *,124,12
〜,〜,〜,補助記号 一般 * * * *,117,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,113,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,109,12
そう,そう,そう,副詞 * * * * *,103,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,103,12
この,この,此の,連体詞 * * * * *,102,12
リンネ,リンネ,リンネ,名詞 固有名詞 人名 一般 * *,98,7
の,の,の,助詞 終助詞 * * * *,97,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,95,12
から,から,から,助詞 格助詞 * * * *,91,12
どう,どう,どう,副詞 * * * * *,87,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,86,11
なん,なん,何,代名詞 * * * * *,85,12
これ,これ,此れ,代名詞 * * * * *,84,12
あなた,あなた,貴方,代名詞 * * * * *,79,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,79,12
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,77,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,77,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,76,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,73,12
お,お,御,接頭辞 * * * * *,73,12
その,その,其の,連体詞 * * * * *,73,11
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,72,12
ああ,ああ,ああ,感動詞 一般 * * * *,71,11
だけ,だけ,だけ,助詞 副助詞 * * * *,71,11
島,島,島,名詞 普通名詞 一般 * * *,71,10
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,65,12
が,が,が,助詞 接続助詞 * * * *,63,12
あの,あの,彼の,連体詞 * * * * *,62,12
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,60,11
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,58,12
もう,もう,もう,副詞 * * * * *,58,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,58,11
玖音,玖音,玖音,名詞 固有名詞 人名 名 * *,58,8
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,56,12
ば,ば,ば,助詞 接続助詞 * * * *,55,12
太郎,太郎,太郎,名詞 固有名詞 人名 名 * *,54,7
カレン,カレン,カレン,名詞 固有名詞 一般 * * *,53,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,51,12
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,51,12
ん,ん,ん,助詞 格助詞 * * * *,51,11
ここ,ここ,此処,代名詞 * * * * *,50,12
音,音,音,名詞 普通名詞 一般 * * *,50,12
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,49,12
え,え,え,助詞 終助詞 * * * *,48,12
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,48,11
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,45,12
今,今,今,名詞 普通名詞 副詞可能 * * *,45,12
たち,たち,達,接尾辞 名詞的 一般 * * *,45,11
ん,ん,んっ,感動詞 一般 * * * *,44,12
おい,おい,おい,感動詞 一般 * * * *,44,11
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,44,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,43,12
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,43,11
･,・,・,補助記号 一般 * * * *,43,11
そんな,そんな,そんな,連体詞 * * * * *,42,12
前,前,前,名詞 普通名詞 副詞可能 * * *,42,10
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,39,11
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,39,11
けど,けど,けれど,助詞 接続助詞 * * * *,38,12
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,38,12
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,38,11
え,え,えっ,感動詞 一般 * * * *,37,11
時,時,時,名詞 普通名詞 副詞可能 * * *,37,9
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,36,11
気,気,気,名詞 普通名詞 一般 * * *,36,11
誰,誰,誰,代名詞 * * * * *,36,11
年,年,年,名詞 普通名詞 助数詞可能 * * *,36,8
桃香,桃香,桃香,名詞 固有名詞 人名 名 * *,36,4
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,35,12
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,34,12
で,で,で,助詞 接続助詞 * * * *,34,11
未来,未来,未来,名詞 普通名詞 一般 * * *,34,11
うん,うん,うん,感動詞 一般 * * * *,34,10
こんな,こんな,こんな,連体詞 * * * * *,34,10
ちょっと,ちょっと,一寸,副詞 * * * * *,34,10
人,人,人,名詞 普通名詞 一般 * * *,34,9
過去,過去,過去,名詞 普通名詞 副詞可能 * * *,34,8
よう,よう,様,形状詞 助動詞語幹 * * * *,33,12
ため,ため,為,名詞 普通名詞 副詞可能 * * *,33,10
