Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1213,3
は,は,は,助詞 係助詞 * * * *,1080,3
を,を,を,助詞 格助詞 * * * *,884,3
に,に,に,助詞 格助詞 * * * *,855,3
て,て,て,助詞 接続助詞 * * * *,739,3
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,705,3
が,が,が,助詞 格助詞 * * * *,637,3
と,と,と,助詞 格助詞 * * * *,498,3
ハルオ,ハルオ,ハルオ,名詞 普通名詞 一般 * * *,432,3
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,414,3
も,も,も,助詞 係助詞 * * * *,374,3
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,365,3
で,で,で,助詞 格助詞 * * * *,348,3
か,か,か,助詞 終助詞 * * * *,319,3
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,292,3
の,の,の,助詞 準体助詞 * * * *,275,3
ゴジラ,ゴジラ,ゴジラ,名詞 固有名詞 一般 * * *,265,3
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,214,3
ん,ん,の,助詞 準体助詞 * * * *,188,3
メトフィエス,メトフィエス,メトフィエス,名詞 普通名詞 一般 * * *,170,3
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,169,3
マーティン,マーティン,マーチン,名詞 固有名詞 人名 一般 * *,159,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,156,3
ガルグ,ガルグ,ガルグ,名詞 普通名詞 一般 * * *,154,3
たち,たち,達,接尾辞 名詞的 一般 * * *,142,3
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,142,3
何,何,何,代名詞 * * * * *,135,3
ユウコ,ユウコ,ユウコ,名詞 固有名詞 人名 名 * *,130,3
この,この,此の,連体詞 * * * * *,126,3
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,126,3
か,か,か,助詞 副助詞 * * * *,125,3
俺,俺,俺,代名詞 * * * * *,124,3
こと,こと,こと,名詞 普通名詞 一般 * * *,122,3
な,な,な,助詞 終助詞 * * * *,117,3
それ,それ,其れ,代名詞 * * * * *,115,3
から,から,から,助詞 格助詞 * * * *,108,3
これ,これ,此れ,代名詞 * * * * *,108,3
通信,通信,通信,名詞 普通名詞 サ変可能 * * *,106,3
音,音,音,名詞 普通名詞 一般 * * *,106,3
ビルサルド,ビルサルド,ビルサルド,名詞 普通名詞 一般 * * *,103,3
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,101,3
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,101,3
その,その,其の,連体詞 * * * * *,95,3
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,95,3
君,君,君,代名詞 * * * * *,95,3
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,93,3
が,が,が,助詞 接続助詞 * * * *,92,3
ら,ら,等,接尾辞 名詞的 一般 * * *,92,3
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,90,3
ば,ば,ば,助詞 接続助詞 * * * *,90,3
まで,まで,まで,助詞 副助詞 * * * *,90,3
そう,そう,そう,副詞 * * * * *,88,3
よ,よ,よ,助詞 終助詞 * * * *,87,3
だけ,だけ,だけ,助詞 副助詞 * * * *,86,3
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,85,3
ベルベ,ベルベ,ベルベ,名詞 普通名詞 一般 * * *,81,3
ああ,ああ,ああ,感動詞 一般 * * * *,80,3
ここ,ここ,此処,代名詞 * * * * *,79,3
もの,もの,物,名詞 普通名詞 サ変可能 * * *,77,3
ハッ,ハッ,はっ,感動詞 一般 * * * *,77,3
我々,我々,我々,代名詞 * * * * *,77,3
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,76,3
アダム,アダム,アダム,名詞 固有名詞 人名 一般 * *,75,3
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,74,3
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,74,3
ね,ね,ね,助詞 終助詞 * * * *,70,3
あっ,あっ,あっ,感動詞 一般 * * * *,69,3
どう,どう,どう,副詞 * * * * *,69,3
兵,兵,兵,名詞 普通名詞 一般 * * *,69,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,67,3
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,64,3
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,64,3
今,今,今,名詞 普通名詞 副詞可能 * * *,64,3
もう,もう,もう,副詞 * * * * *,62,3
大尉,大尉,大尉,名詞 普通名詞 一般 * * *,61,3
管制官,管制官,管制官,名詞 普通名詞 一般 * * *,58,3
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,55,3
地球,地球,地球,名詞 普通名詞 一般 * * *,55,3
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,54,3
よう,よう,様,形状詞 助動詞語幹 * * * *,54,3
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,53,3
へ,へ,へ,助詞 格助詞 * * * *,53,3
全て,全て,全て,名詞 普通名詞 副詞可能 * * *,53,3
ナノメタル,ナノメタル,ナノメタル,名詞 普通名詞 一般 * * *,53,2
ため,ため,為,名詞 普通名詞 副詞可能 * * *,52,3
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,52,3
うっ,うっ,うう,感動詞 一般 * * * *,51,3
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,50,3
神,神,神,名詞 普通名詞 一般 * * *,49,3
なぜ,なぜ,何故,副詞 * * * * *,48,3
ミアナ,ミアナ,ミアナ,名詞 固有名詞 人名 一般 * *,48,3
から,から,から,助詞 接続助詞 * * * *,46,3
って,って,って,助詞 副助詞 * * * *,44,3
ハア,ハア,はあ,感動詞 一般 * * * *,44,3
船長,船長,船長,名詞 普通名詞 一般 * * *,44,3
サカキ,サカキ,榊,名詞 普通名詞 一般 * * *,43,3
リーランド,リーランド,リーランド,名詞 固有名詞 人名 一般 * *,43,3
ジョシュ,ジョシュ,ジョシュ,名詞 固有名詞 人名 一般 * *,42,2
あと,あと,後,名詞 普通名詞 副詞可能 * * *,40,3
くっ,くっ,くっ,感動詞 一般 * * * *,40,3
咆哮,咆哮,咆哮,名詞 普通名詞 サ変可能 * * *,40,3
怪獣,怪獣,怪獣,名詞 普通名詞 一般 * * *,40,3
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,39,3
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,39,3
モーリ,モーリ,モーリー,名詞 固有名詞 人名 一般 * *,39,3
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,38,3
人,人,人,名詞 普通名詞 一般 * * *,38,3
あの,あの,彼の,連体詞 * * * * *,37,3
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,36,3
者,者,者,名詞 普通名詞 一般 * * *,36,3
マイナ,マイナ,マイナ,名詞 固有名詞 人名 一般 * *,36,2
あれ,あれ,彼れ,代名詞 * * * * *,35,3
しか,しか,しか,助詞 副助詞 * * * *,35,3
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,35,3
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,35,3
副長,副長,副長,名詞 普通名詞 一般 * * *,35,3
〜,〜,〜,補助記号 一般 * * * *,34,3
艇,艇,艇,名詞 普通名詞 助数詞可能 * * *,34,2
