Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,2499,39
の,の,の,助詞 格助詞 * * * *,2294,39
に,に,に,助詞 格助詞 * * * *,2074,39
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2058,39
を,を,を,助詞 格助詞 * * * *,1889,39
て,て,て,助詞 接続助詞 * * * *,1825,39
が,が,が,助詞 格助詞 * * * *,1469,39
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1168,39
と,と,と,助詞 格助詞 * * * *,1092,39
も,も,も,助詞 係助詞 * * * *,959,39
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,921,39
か,か,か,助詞 終助詞 * * * *,904,39
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,892,39
の,の,の,助詞 準体助詞 * * * *,826,39
で,で,で,助詞 格助詞 * * * *,781,39
よ,よ,よ,助詞 終助詞 * * * *,665,39
ん,ん,の,助詞 準体助詞 * * * *,632,39
な,な,な,助詞 終助詞 * * * *,590,39
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,493,39
って,って,って,助詞 副助詞 * * * *,439,39
ね,ね,ね,助詞 終助詞 * * * *,426,39
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,403,39
ティファ,ティファ,ティファ,名詞 固有名詞 一般 * * *,366,38
何,何,何,代名詞 * * * * *,364,39
それ,それ,其れ,代名詞 * * * * *,347,39
こと,こと,こと,名詞 普通名詞 一般 * * *,345,39
そう,そう,そう,副詞 * * * * *,330,39
どう,どう,どう,副詞 * * * * *,316,39
ガロード,ガロード,ガロード,名詞 普通名詞 一般 * * *,310,38
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,309,39
私,私,私,代名詞 * * * * *,305,39
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,297,39
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,293,39
か,か,か,助詞 副助詞 * * * *,285,39
から,から,から,助詞 接続助詞 * * * *,282,39
ニュータイプ,ニュータイプ,ニュータイプ,名詞 普通名詞 一般 * * *,281,29
この,この,此の,連体詞 * * * * *,271,39
これ,これ,此れ,代名詞 * * * * *,257,39
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,243,39
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,242,38
あの,あの,彼の,連体詞 * * * * *,236,39
その,その,其の,連体詞 * * * * *,236,39
俺,俺,俺,代名詞 * * * * *,231,39
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,230,39
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,226,39
が,が,が,助詞 接続助詞 * * * *,222,37
うっ,うっ,うう,感動詞 一般 * * * *,213,39
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,213,37
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,210,39
あっ,あっ,あっ,感動詞 一般 * * * *,203,39
たち,たち,達,接尾辞 名詞的 一般 * * *,194,39
ガンダム,ガンダム,ガンダム,名詞 固有名詞 一般 * * *,194,38
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,193,38
ら,ら,等,接尾辞 名詞的 一般 * * *,191,36
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,188,38
ば,ば,ば,助詞 接続助詞 * * * *,186,38
力,力,力,名詞 普通名詞 一般 * * *,184,37
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,176,39
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,174,39
・,・,・,補助記号 一般 * * * *,172,38
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,164,35
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,161,38
わ,わ,わ,助詞 終助詞 * * * *,159,34
はっ,はっ,はっ,感動詞 一般 * * * *,157,36
の,の,の,助詞 終助詞 * * * *,157,34
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,151,38
から,から,から,助詞 格助詞 * * * *,149,39
えっ,えっ,えっ,感動詞 一般 * * * *,148,37
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,144,37
モビル,モビル,モビル,名詞 普通名詞 一般 * * *,144,36
お,お,御,接頭辞 * * * * *,139,36
人,人,人,名詞 普通名詞 一般 * * *,139,33
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,138,36
戦争,戦争,戦争,名詞 普通名詞 サ変可能 * * *,138,31
ああ,ああ,ああ,感動詞 一般 * * * *,135,39
スーツ,スーツ,スーツ,名詞 普通名詞 一般 * * *,135,33
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,134,37
だけ,だけ,だけ,助詞 副助詞 * * * *,132,36
君,君,君,代名詞 * * * * *,132,26
ここ,ここ,此処,代名詞 * * * * *,130,38
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,129,39
お前,お前,御前,代名詞 * * * * *,129,35
僕,僕,僕,代名詞 * * * * *,129,23
今,今,今,名詞 普通名詞 副詞可能 * * *,128,36
よう,よう,様,形状詞 助動詞語幹 * * * *,127,38
ん,ん,んっ,感動詞 一般 * * * *,127,38
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,127,35
まで,まで,まで,助詞 副助詞 * * * *,126,38
〜,〜,〜,補助記号 一般 * * * *,126,31
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,122,37
へ,へ,へ,助詞 格助詞 * * * *,122,37
けど,けど,けれど,助詞 接続助詞 * * * *,121,34
フリーデン,フリーデン,フリーデン,名詞 普通名詞 一般 * * *,119,32
ジャミル,ジャミル,ジャミル,名詞 普通名詞 一般 * * *,118,31
兄さん,兄さん,兄さん,名詞 普通名詞 一般 * * *,118,25
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,116,39
もう,もう,もう,副詞 * * * * *,116,37
軍,軍,軍,名詞 普通名詞 一般 * * *,116,28
くっ,くっ,くっ,感動詞 一般 * * * *,115,36
新,新,新,接頭辞 * * * * *,114,21
