Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2472,12
を,を,を,助詞 格助詞 * * * *,2149,12
は,は,は,助詞 係助詞 * * * *,1921,12
に,に,に,助詞 格助詞 * * * *,1850,12
て,て,て,助詞 接続助詞 * * * *,1287,12
が,が,が,助詞 格助詞 * * * *,1048,12
と,と,と,助詞 格助詞 * * * *,943,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,825,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,579,12
曹操,曹操,曹操,名詞 固有名詞 人名 一般 * *,548,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,512,12
か,か,か,助詞 終助詞 * * * *,499,12
も,も,も,助詞 係助詞 * * * *,470,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,464,12
の,の,の,助詞 準体助詞 * * * *,461,12
で,で,で,助詞 格助詞 * * * *,438,12
この,この,此の,連体詞 * * * * *,404,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,382,12
ば,ば,ば,助詞 接続助詞 * * * *,265,12
何,何,何,代名詞 * * * * *,243,12
こと,こと,こと,名詞 普通名詞 一般 * * *,240,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,228,12
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,214,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,212,12
その,その,其の,連体詞 * * * * *,208,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,199,12
殿,殿,殿,接尾辞 名詞的 一般 * * *,193,12
な,な,な,助詞 終助詞 * * * *,192,12
よ,よ,よ,助詞 終助詞 * * * *,190,12
呂布,呂布,呂布,名詞 固有名詞 人名 一般 * *,177,7
お,お,御,接頭辞 * * * * *,167,12
それ,それ,其れ,代名詞 * * * * *,160,12
軍,軍,軍,名詞 普通名詞 一般 * * *,150,11
ん,ん,の,助詞 準体助詞 * * * *,148,12
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,146,12
劉備,劉備,劉備,名詞 固有名詞 人名 一般 * *,146,10
か,か,か,助詞 副助詞 * * * *,143,12
これ,これ,此れ,代名詞 * * * * *,142,12
天下,天下,天下,名詞 普通名詞 一般 * * *,140,12
が,が,が,助詞 接続助詞 * * * *,139,12
兵,兵,兵,名詞 普通名詞 一般 * * *,138,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,135,12
よう,よう,様,形状詞 助動詞語幹 * * * *,134,12
私,私,私,代名詞 * * * * *,133,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,132,12
