Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,599,11
に,に,に,助詞 格助詞 * * * *,596,11
〜,〜,〜,補助記号 一般 * * * *,589,11
は,は,は,助詞 係助詞 * * * *,587,11
て,て,て,助詞 接続助詞 * * * *,569,11
を,を,を,助詞 格助詞 * * * *,529,11
が,が,が,助詞 格助詞 * * * *,423,11
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,360,11
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,337,11
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,291,11
通信,通信,通信,名詞 普通名詞 サ変可能 * * *,284,11
あっ,あっ,あっ,感動詞 一般 * * * *,282,11
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,267,11
･,・,・,補助記号 一般 * * * *,258,11
と,と,と,助詞 格助詞 * * * *,236,11
よ,よ,よ,助詞 終助詞 * * * *,227,11
も,も,も,助詞 係助詞 * * * *,225,11
で,で,で,助詞 格助詞 * * * *,208,11
管制官,管制官,管制官,名詞 普通名詞 一般 * * *,206,11
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,182,11
奇,奇,奇,名詞 普通名詞 形状詞可能 * * *,179,11
子,子,子,名詞 普通名詞 一般 * * *,178,11
か,か,か,助詞 終助詞 * * * *,176,11
の,の,の,助詞 準体助詞 * * * *,173,11
ん,ん,の,助詞 準体助詞 * * * *,166,11
居,居る,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,164,11
岐,岐,岐,名詞 固有名詞 人名 名 * *,162,11
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,152,11
神,神,神,名詞 普通名詞 一般 * * *,149,11
纈,纈,纈,名詞 普通名詞 一般 * * *,128,9
小林,小林,小林,名詞 固有名詞 人名 姓 * *,120,11
長道,長道,長道,名詞 普通名詞 一般 * * *,118,11
白,白,白,名詞 普通名詞 一般 * * *,117,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,107,11
な,な,な,助詞 終助詞 * * * *,102,11
えっ,えっ,えっ,感動詞 一般 * * * *,98,11
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,98,11
谷風,谷風,谷風,名詞 固有名詞 人名 姓 * *,96,10
ね,ね,ね,助詞 終助詞 * * * *,95,10
星,星,星,名詞 普通名詞 一般 * * *,92,10
操縦士,操縦士,操縦士,名詞 普通名詞 一般 * * *,91,11
谷風,谷風,谿風,名詞 普通名詞 一般 * * *,91,11
こと,こと,こと,名詞 普通名詞 一般 * * *,88,11
赤井,赤井,赤井,名詞 固有名詞 人名 姓 * *,88,4
どう,どう,どう,副詞 * * * * *,87,11
さん,さん,さん,接尾辞 名詞的 一般 * * *,83,10
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,81,11
から,から,から,助詞 格助詞 * * * *,78,11
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,78,11
俺,俺,俺,代名詞 * * * * *,78,11
勢威,勢威,勢威,名詞 普通名詞 一般 * * *,78,10
サマリ,サマリ,サマリー,名詞 普通名詞 一般 * * *,77,9
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,76,11
の,の,の,助詞 終助詞 * * * *,75,11
はぁ,はぁ,はあ,感動詞 一般 * * * *,75,11
シドニア,シドニア,シドニア,名詞 普通名詞 一般 * * *,75,11
訓練生,訓練生,訓練生,名詞 普通名詞 一般 * * *,75,7
って,って,って,助詞 副助詞 * * * *,74,11
君,君,君,接尾辞 名詞的 一般 * * *,73,9
から,から,から,助詞 接続助詞 * * * *,72,11
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,72,11
これ,これ,此れ,代名詞 * * * * *,71,11
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,71,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,67,11
たち,たち,達,接尾辞 名詞的 一般 * * *,66,11
何,何,何,代名詞 * * * * *,64,11
班,班,班,名詞 普通名詞 一般 * * *,63,9
この,この,此の,連体詞 * * * * *,62,11
か,か,か,助詞 副助詞 * * * *,61,11
それ,それ,其れ,代名詞 * * * * *,59,11
緑川,緑川,緑川,名詞 固有名詞 人名 姓 * *,59,6
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,56,11
了解,了解,了解,名詞 普通名詞 サ変可能 * * *,55,10
長,長,長,接尾辞 名詞的 一般 * * *,55,8
もう,もう,もう,副詞 * * * * *,54,10
はい,はい,はい,感動詞 一般 * * * *,53,11
わ,わ,わ,助詞 終助詞 * * * *,53,10
第,第,第,接頭辞 * * * * *,53,9
お前,お前,御前,代名詞 * * * * *,52,11
ヘイグス,ヘイグス,ヘイグス,名詞 普通名詞 一般 * * *,52,9
ガ,ガ,がっ,副詞 * * * * *,50,10
百瀬,百瀬,百瀬,名詞 固有名詞 人名 姓 * *,50,3
あの,あの,彼の,連体詞 * * * * *,49,11
そう,そう,そう,副詞 * * * * *,49,9
隊,隊,隊,接尾辞 名詞的 一般 * * *,49,9
うん,うん,うん,感動詞 一般 * * * *,48,9
衛人,衛人,衛人,名詞 固有名詞 人名 名 * *,47,11
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,46,11
音,音,音,名詞 普通名詞 一般 * * *,46,11
ああ,ああ,ああ,感動詞 一般 * * * *,45,10
本体,本体,本体,名詞 普通名詞 一般 * * *,44,11
ば,ば,ば,助詞 接続助詞 * * * *,43,11
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,43,10
ララァ,ララァ,ララァ,名詞 普通名詞 一般 * * *,43,9
で,で,で,助詞 接続助詞 * * * *,42,10
船員,船員,船員,名詞 普通名詞 一般 * * *,42,7
まで,まで,まで,助詞 副助詞 * * * *,41,11
胞衣,胞衣,胞衣,名詞 普通名詞 一般 * * *,41,11
私,私,私,代名詞 * * * * *,41,10
煉,煉,練り,名詞 普通名詞 一般 * * *,41,8
ユレ,ユレ,揺れ,名詞 普通名詞 一般 * * *,41,5
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,39,11
が,が,が,助詞 接続助詞 * * * *,38,11
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,38,11
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,38,8
機,機,機,名詞 普通名詞 助数詞可能 * * *,37,11
一,一,1,名詞 数詞 * * * *,37,10
けど,けど,けれど,助詞 接続助詞 * * * *,37,9
落合,落合,落合,名詞 固有名詞 人名 姓 * *,37,8
その,その,其の,連体詞 * * * * *,36,10
イザナ,イザナ,イザナ,名詞 普通名詞 一般 * * *,36,9
弦,弦,弦,名詞 普通名詞 一般 * * *,36,8
打,打,打,接尾辞 名詞的 一般 * * *,36,8
青木,青木,青木,名詞 固有名詞 人名 姓 * *,36,3
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,35,11
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,35,10
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,35,10
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,35,10
二,二,2,名詞 数詞 * * * *,35,8
ビシュン,ビシュン,ビシュン,名詞 普通名詞 一般 * * *,35,6
カビザシ,カビザシ,カビザシ,名詞 普通名詞 一般 * * *,34,11
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,34,10
粒子,粒子,粒子,名詞 普通名詞 一般 * * *,34,8
谷,谷,谷,名詞 固有名詞 人名 姓 * *,34,8
風機,風機,風機,名詞 固有名詞 人名 名 * *,34,8
砲,砲,砲,接尾辞 名詞的 一般 * * *,34,7
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,33,11
なん,なん,何,代名詞 * * * * *,33,11
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,33,10
前,前,前,名詞 普通名詞 副詞可能 * * *,33,10
くっ,くっ,くっ,感動詞 一般 * * * *,32,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,32,10
よう,よう,様,形状詞 助動詞語幹 * * * *,32,10
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,32,8
焔,焔,炎,名詞 普通名詞 一般 * * *,32,5
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,31,10
しろ,する,為る,動詞 非自立可能 * * サ行変格 命令形,31,9
ヌミ,ヌミ,NUMMI,名詞 固有名詞 一般 * * *,31,4
ドォン,ドォン,ドォン,名詞 普通名詞 一般 * * *,31,2
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,30,11
出撃,出撃,出撃,名詞 普通名詞 サ変可能 * * *,30,10
お,お,御,接頭辞 * * * * *,30,9
はっ,はっ,はっ,感動詞 一般 * * * *,30,8
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,29,9
位,位,位,接尾辞 名詞的 一般 * * *,29,9
うわっ,うわっ,うわ,感動詞 一般 * * * *,28,10
体,体,体,名詞 普通名詞 助数詞可能 * * *,28,7
ヒロキ,ヒロキ,ヒロキ,名詞 固有名詞 人名 名 * *,28,6
烽,烽,烽,名詞 普通名詞 一般 * * *,28,6
砲雷,砲雷,砲雷,名詞 普通名詞 一般 * * *,28,5
回収,回収,回収,名詞 普通名詞 サ変可能 * * *,28,4
掌,掌,掌,名詞 普通名詞 一般 * * *,27,9
会,会,会,名詞 普通名詞 一般 * * *,27,6
航行,航行,航行,名詞 普通名詞 サ変可能 * * *,27,6
あぁ,あぁ,ああ,感動詞 一般 * * * *,26,11
だけ,だけ,だけ,助詞 副助詞 * * * *,26,11
瀬,瀬,瀬,名詞 普通名詞 一般 * * *,26,11
ああっ,ああっ,ああ,感動詞 一般 * * * *,26,10
へ,へ,へ,助詞 格助詞 * * * *,26,10
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,26,8
人,人,人,接尾辞 名詞的 一般 * * *,26,8
