Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,3625,24
は,は,は,助詞 係助詞 * * * *,3447,24
て,て,て,助詞 接続助詞 * * * *,3398,24
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,3149,24
に,に,に,助詞 格助詞 * * * *,2847,24
を,を,を,助詞 格助詞 * * * *,2375,24
が,が,が,助詞 格助詞 * * * *,2336,24
ん,ん,の,助詞 準体助詞 * * * *,1741,24
よ,よ,よ,助詞 終助詞 * * * *,1675,24
も,も,も,助詞 係助詞 * * * *,1584,24
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1531,24
で,で,で,助詞 格助詞 * * * *,1402,24
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1370,24
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1252,24
と,と,と,助詞 格助詞 * * * *,1245,24
か,か,か,助詞 終助詞 * * * *,1142,24
の,の,の,助詞 準体助詞 * * * *,1141,24
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,1085,24
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,958,24
ちぇ,ちぇ,ちぇっ,感動詞 一般 * * * *,859,23
な,な,な,助詞 終助詞 * * * *,798,24
何,何,何,代名詞 * * * * *,770,24
ね,ね,ね,助詞 終助詞 * * * *,720,24
先生,先生,先生,名詞 普通名詞 一般 * * *,692,24
こと,こと,こと,名詞 普通名詞 一般 * * *,650,24
か,か,か,助詞 副助詞 * * * *,629,24
って,って,って,助詞 副助詞 * * * *,611,24
この,この,此の,連体詞 * * * * *,592,24
私,私,私,代名詞 * * * * *,563,24
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,555,24
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,535,24
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,509,24
ん,ん,んっ,感動詞 一般 * * * *,493,23
どう,どう,どう,副詞 * * * * *,472,24
お,お,御,接頭辞 * * * * *,457,24
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,440,24
それ,それ,其れ,代名詞 * * * * *,429,24
から,から,から,助詞 接続助詞 * * * *,416,24
ピノコ,ピノコ,ピノコ,名詞 固有名詞 人名 一般 * *,410,24
そう,そう,そう,副詞 * * * * *,409,24
これ,これ,此れ,代名詞 * * * * *,405,24
さん,さん,さん,接尾辞 名詞的 一般 * * *,398,24
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,395,24
の,の,の,助詞 終助詞 * * * *,389,24
ああ,ああ,ああ,感動詞 一般 * * * *,373,24
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,368,24
が,が,が,助詞 接続助詞 * * * *,355,24
もう,もう,もう,副詞 * * * * *,355,24
い,い,いー,感動詞 フィラー * * * *,343,24
から,から,から,助詞 格助詞 * * * *,342,24
その,その,其の,連体詞 * * * * *,341,24
さ,さ,さ,助詞 終助詞 * * * *,339,24
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,332,24
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,330,24
あの,あの,彼の,連体詞 * * * * *,327,24
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,319,24
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,319,24
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,309,24
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,283,24
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,281,24
お前,お前,御前,代名詞 * * * * *,280,24
手術,手術,手術,名詞 普通名詞 サ変可能 * * *,280,24
僕,僕,僕,代名詞 * * * * *,277,22
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,273,24
わ,わ,わ,助詞 終助詞 * * * *,270,24
ば,ば,ば,助詞 接続助詞 * * * *,269,24
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,266,24
あっ,あっ,あっ,感動詞 一般 * * * *,265,23
･,・,・,補助記号 一般 * * * *,250,24
人,人,人,名詞 普通名詞 一般 * * *,239,24
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,233,24
よう,よう,様,形状詞 助動詞語幹 * * * *,229,24
うん,うん,うん,感動詞 一般 * * * *,227,24
はい,はい,はい,感動詞 一般 * * * *,226,24
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,224,24
ブラック,ブラック,ブラック,名詞 普通名詞 一般 * * *,220,24
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,217,24
い,い,い,助詞 終助詞 * * * *,216,24
