Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,5327,63
は,は,は,助詞 係助詞 * * * *,4667,63
に,に,に,助詞 格助詞 * * * *,4292,63
を,を,を,助詞 格助詞 * * * *,4064,63
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,3450,63
て,て,て,助詞 接続助詞 * * * *,2987,63
が,が,が,助詞 格助詞 * * * *,2786,63
で,で,で,助詞 格助詞 * * * *,2035,63
と,と,と,助詞 格助詞 * * * *,2032,63
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1658,63
も,も,も,助詞 係助詞 * * * *,1642,63
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1584,63
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1347,63
の,の,の,助詞 準体助詞 * * * *,1257,63
か,か,か,助詞 終助詞 * * * *,1249,63
王,王,王,名詞 普通名詞 一般 * * *,1131,63
牙,牙,牙,名詞 普通名詞 一般 * * *,1077,63
ん,ん,の,助詞 準体助詞 * * * *,1066,63
よ,よ,よ,助詞 終助詞 * * * *,1060,63
〜,〜,〜,補助記号 一般 * * * *,946,63
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,928,63
な,な,な,助詞 終助詞 * * * *,888,63
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,804,62
こと,こと,こと,名詞 普通名詞 一般 * * *,765,63
バディ,バディ,バディー,名詞 普通名詞 一般 * * *,756,45
ファイト,ファイト,ファイト,名詞 普通名詞 一般 * * *,650,63
子,子,子,接尾辞 名詞的 一般 * * *,591,54
この,この,此の,連体詞 * * * * *,548,63
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,545,63
何,何,何,代名詞 * * * * *,530,63
か,か,か,助詞 副助詞 * * * *,515,63
それ,それ,其れ,代名詞 * * * * *,501,63
って,って,って,助詞 副助詞 * * * *,499,61
お前,お前,御前,代名詞 * * * * *,479,61
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,477,63
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,466,63
これ,これ,此れ,代名詞 * * * * *,453,63
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,450,63
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,449,62
斬,斬,斬,名詞 普通名詞 一般 * * *,448,47
し,し,し,助詞 接続助詞 * * * *,446,58
モンスター,モンスター,モンスター,名詞 普通名詞 一般 * * *,435,63
テツヤ,テツヤ,テツヤ,名詞 固有名詞 人名 名 * *,432,47
俺,俺,俺,代名詞 * * * * *,430,44
から,から,から,助詞 格助詞 * * * *,418,63
選手,選手,選手,名詞 普通名詞 一般 * * *,411,46
コール,コール,コール,名詞 普通名詞 サ変可能 * * *,406,61
ば,ば,ば,助詞 接続助詞 * * * *,394,62
その,その,其の,連体詞 * * * * *,382,63
カード,カード,カード,名詞 普通名詞 一般 * * *,376,45
どう,どう,どう,副詞 * * * * *,372,62
君,君,君,接尾辞 名詞的 一般 * * *,370,53
僕,僕,僕,代名詞 * * * * *,370,52
タスク,タスク,タスク,名詞 普通名詞 一般 * * *,370,40
キリ,キリ,キリ,名詞 普通名詞 一般 * * *,368,46
ね,ね,ね,助詞 終助詞 * * * *,359,63
そう,そう,そう,副詞 * * * * *,359,62
わ,わ,わ,助詞 終助詞 * * * *,351,56
から,から,から,助詞 接続助詞 * * * *,344,62
お,お,御,接頭辞 * * * * *,340,63
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,339,61
コアガジェット,コアガジェット,コアガジェット,名詞 普通名詞 一般 * * *,333,45
アタック,アタック,アタック,名詞 普通名詞 サ変可能 * * *,332,58
爆,爆,爆,名詞 普通名詞 一般 * * *,327,60
夜,夜,夜,名詞 普通名詞 副詞可能 * * *,324,44
ドラゴン,ドラゴン,ドラゴン,名詞 普通名詞 一般 * * *,323,40
オレ,オレ,俺,代名詞 * * * * *,320,34
パル,パル,パル,名詞 固有名詞 人名 一般 * *,315,37
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,314,63
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,311,63
センター,センター,センター,名詞 普通名詞 一般 * * *,311,58
キャスト,キャスト,キャスト,名詞 普通名詞 一般 * * *,310,60
デッキ,デッキ,デッキ,名詞 普通名詞 一般 * * *,292,44
ドラム,ドラム,ドラム,名詞 普通名詞 一般 * * *,290,42
キョウヤ,キョウヤ,キョウヤ,名詞 普通名詞 一般 * * *,289,27
ワールド,ワールド,ワールド,名詞 普通名詞 一般 * * *,286,44
が,が,が,助詞 接続助詞 * * * *,283,63
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,283,61
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,280,63
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,280,62
なん,なん,何,代名詞 * * * * *,279,61
力,力,力,名詞 普通名詞 一般 * * *,277,59
あの,あの,彼の,連体詞 * * * * *,271,60
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,267,61
ドロー,ドロー,ドロー,名詞 普通名詞 一般 * * *,265,41
だけ,だけ,だけ,助詞 副助詞 * * * *,261,61
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,255,49
ここ,ここ,此処,代名詞 * * * * *,251,60
攻撃,攻撃,攻撃,名詞 普通名詞 サ変可能 * * *,251,57
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,249,51
今,今,今,名詞 普通名詞 副詞可能 * * *,248,62
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,248,60
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,243,61
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,242,62
ライフ,ライフ,ライフ,名詞 普通名詞 一般 * * *,240,58
もう,もう,もう,副詞 * * * * *,239,63
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,237,60
炎,炎,炎,接尾辞 名詞的 一般 * * *,236,45
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,234,60
ザ,ザ,ザ,名詞 普通名詞 一般 * * *,232,44
相手,相手,相手,名詞 普通名詞 一般 * * *,230,59
エンド,エンド,エンド,名詞 普通名詞 一般 * * *,230,43
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,228,56
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,227,62
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,224,59
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,224,58
くぐる,くぐる,潜る,動詞 一般 * * 五段-ラ行 終止形-一般,221,59
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,215,57
私,私,私,代名詞 * * * * *,214,54
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,213,60
魔法,魔法,魔法,名詞 普通名詞 一般 * * *,212,56
世界,世界,世界,名詞 普通名詞 一般 * * *,210,63
ノボル,ノボル,ノボル,名詞 固有名詞 人名 名 * *,208,14
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,206,59
の,の,の,助詞 終助詞 * * * *,204,58
荒神,荒神,荒神,名詞 固有名詞 一般 * * *,204,30
ファイター,ファイター,ファイター,名詞 普通名詞 一般 * * *,201,56
未,未,未,接頭辞 * * * * *,197,54
まで,まで,まで,助詞 副助詞 * * * *,196,60
ロウガ,ロウガ,ロウガ,名詞 普通名詞 一般 * * *,193,20
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,192,62
門,門,門,名詞 普通名詞 一般 * * *,192,53
ため,ため,為,名詞 普通名詞 副詞可能 * * *,191,59
竜,竜,竜,名詞 普通名詞 一般 * * *,191,47
手札,手札,手札,名詞 普通名詞 一般 * * *,190,51
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,189,55
チーム,チーム,チーム,名詞 普通名詞 一般 * * *,188,33
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,182,59
そんな,そんな,そんな,連体詞 * * * * *,182,55
月影,月影,月影,名詞 普通名詞 一般 * * *,182,33
で,で,で,助詞 接続助詞 * * * *,180,57
アスモダイ,アスモダイ,アスモダイ,名詞 普通名詞 一般 * * *,180,29
さん,さん,さん,接尾辞 名詞的 一般 * * *,173,52
時,時,時,名詞 普通名詞 副詞可能 * * *,173,44
・,・,・,補助記号 一般 * * * *,173,38
達,達,達,接尾辞 名詞的 一般 * * *,170,45
あっ,あっ,あっ,感動詞 一般 * * * *,169,56
風音,風音,風音,名詞 普通名詞 一般 * * *,168,26
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,167,58
もの,もの,物,名詞 普通名詞 サ変可能 * * *,165,50
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,164,60
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,163,60
よう,よう,様,形状詞 助動詞語幹 * * * *,162,57
