Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,739,12
の,の,の,助詞 格助詞 * * * *,725,12
て,て,て,助詞 接続助詞 * * * *,707,12
に,に,に,助詞 格助詞 * * * *,641,12
が,が,が,助詞 格助詞 * * * *,574,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,501,12
よ,よ,よ,助詞 終助詞 * * * *,463,12
で,で,で,助詞 格助詞 * * * *,417,12
も,も,も,助詞 係助詞 * * * *,399,12
と,と,と,助詞 格助詞 * * * *,374,12
を,を,を,助詞 格助詞 * * * *,366,12
ね,ね,ね,助詞 終助詞 * * * *,354,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,320,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,317,12
何,何,何,代名詞 * * * * *,304,12
の,の,の,助詞 準体助詞 * * * *,297,12
か,か,か,助詞 終助詞 * * * *,278,12
って,って,って,助詞 副助詞 * * * *,278,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,255,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,250,12
ん,ん,の,助詞 準体助詞 * * * *,248,12
えッ,えッ,えっ,感動詞 一般 * * * *,221,12
〜,〜,〜,補助記号 一般 * * * *,220,12
うん,うん,うん,感動詞 一般 * * * *,217,12
か,か,か,助詞 副助詞 * * * *,217,12
わ,わ,わ,助詞 終助詞 * * * *,199,12
そう,そう,そう,副詞 * * * * *,198,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,195,12
これ,これ,此れ,代名詞 * * * * *,193,12
ほたる,ほたる,蛍,名詞 普通名詞 一般 * * *,191,12
サヤ,サヤ,莢,名詞 普通名詞 一般 * * *,168,12
あッ,あッ,あっ,感動詞 一般 * * * *,167,12
君,君,君,接尾辞 名詞的 一般 * * *,165,11
こと,こと,こと,名詞 普通名詞 一般 * * *,159,12
それ,それ,其れ,代名詞 * * * * *,159,12
ココノツ,ココノツ,ココノツ,名詞 普通名詞 一般 * * *,156,12
駄菓子,駄菓子,駄菓子,名詞 普通名詞 一般 * * *,145,12
から,から,から,助詞 接続助詞 * * * *,144,12
の,の,の,助詞 終助詞 * * * *,136,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,130,12
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,130,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,129,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,127,12
けど,けど,けれど,助詞 接続助詞 * * * *,123,12
豆,豆,豆,名詞 普通名詞 一般 * * *,123,9
この,この,此の,連体詞 * * * * *,117,12
な,な,な,助詞 終助詞 * * * *,117,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,116,12
私,私,私,代名詞 * * * * *,114,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,111,12
どう,どう,どう,副詞 * * * * *,107,12
ああ,ああ,ああ,感動詞 一般 * * * *,96,12
その,その,其の,連体詞 * * * * *,92,12
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,91,12
お,お,御,接頭辞 * * * * *,90,12
ココナツ,ココナツ,ココナッツ,名詞 普通名詞 一般 * * *,90,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,79,12
僕,僕,僕,代名詞 * * * * *,78,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,74,12
から,から,から,助詞 格助詞 * * * *,72,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,70,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,70,12
はい,はい,はい,感動詞 一般 * * * *,70,12
食べ,食べる,食べる,動詞 一般 * * 下一段-バ行 連用形-一般,70,12
ば,ば,ば,助詞 接続助詞 * * * *,69,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,69,11
もう,もう,もう,副詞 * * * * *,64,12
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,62,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,61,12
あの,あの,彼の,連体詞 * * * * *,60,12
いや,いや,否,感動詞 一般 * * * *,58,12
いう,いう,言う,動詞 一般 * * 五段-ワア行 終止形-一般,57,12
師,師,師,接尾辞 名詞的 一般 * * *,56,11
で,で,で,接続詞 * * * * *,53,12
味,味,味,名詞 普通名詞 一般 * * *,53,10
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,52,12
かしら,かしら,かしら,助詞 終助詞 * * * *,52,11
ヨウ,ヨウ,ヨウ,名詞 固有名詞 人名 名 * *,52,9
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,51,12
まあ,まあ,まあ,副詞 * * * * *,51,12
今,今,今,名詞 普通名詞 副詞可能 * * *,51,12
俺,俺,俺,代名詞 * * * * *,51,9
ここ,ここ,此処,代名詞 * * * * *,50,12
さ,さ,さ,助詞 終助詞 * * * *,50,12
じゃあ,じゃあ,で,接続詞 * * * * *,48,12
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,48,12
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,48,11
話,話,話,名詞 普通名詞 サ変可能 * * *,48,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,47,12
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,46,11
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,45,11
ちょっと,ちょっと,一寸,副詞 * * * * *,44,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,44,11
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,43,12
わけ,わけ,訳,名詞 普通名詞 一般 * * *,43,12
はあ,はあ,はあ,感動詞 一般 * * * *,43,10
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,42,12
あれ,あれ,彼れ,代名詞 * * * * *,41,12
し,し,し,助詞 接続助詞 * * * *,41,12
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,41,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,41,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,40,12
そんな,そんな,そんな,連体詞 * * * * *,39,12
だけ,だけ,だけ,助詞 副助詞 * * * *,39,12
で,で,で,助詞 接続助詞 * * * *,39,12
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,39,10
と,と,と,助詞 接続助詞 * * * *,39,9
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,38,12
よう,よう,様,形状詞 助動詞語幹 * * * *,38,11
屋,屋,屋,接尾辞 名詞的 一般 * * *,38,11
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,38,11
人,人,人,名詞 普通名詞 一般 * * *,38,10
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,37,12
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,37,11
う〜ん,う〜ん,ううん,感動詞 一般 * * * *,36,11
まで,まで,まで,助詞 副助詞 * * * *,36,11
もの,もの,物,名詞 普通名詞 サ変可能 * * *,35,12
う,う,うー,感動詞 フィラー * * * *,35,11
気,気,気,名詞 普通名詞 一般 * * *,35,11
わッ,わッ,わっ,副詞 * * * * *,35,10
こんな,こんな,こんな,連体詞 * * * * *,33,12
ほら,ほら,ほら,感動詞 一般 * * * *,33,12
ッ,ッ,ッ,名詞 普通名詞 一般 * * *,33,12
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,33,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,33,11
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,33,10
ええ,ええ,ええ,感動詞 一般 * * * *,33,9
そして,そして,そして,接続詞 * * * * *,32,12
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,32,11
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,32,10
中,中,中,名詞 普通名詞 副詞可能 * * *,31,10
店,店,店,名詞 普通名詞 一般 * * *,31,10
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,31,9
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,30,12
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,30,11
て,て,って,助詞 副助詞 * * * *,30,11
知っ,知る,知る,動詞 一般 * * 五段-ラ行 連用形-促音便,30,11
ヨウ,ヨウ,ヨウ,名詞 固有名詞 人名 一般 * *,30,7
達,達,達,接尾辞 名詞的 一般 * * *,29,10
あなた,あなた,貴方,代名詞 * * * * *,29,9
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,28,12
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,28,12
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,28,11
どこ,どこ,どこ,代名詞 * * * * *,28,9
おっぱい,おっぱい,おっぱい,名詞 普通名詞 一般 * * *,28,2
超,超,超,接頭辞 * * * * *,27,8
うち,うち,内,名詞 普通名詞 副詞可能 * * *,27,7
もし,もし,若し,副詞 * * * * *,26,11
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,26,10
へえ,へえ,へえ,感動詞 一般 * * * *,25,12
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,25,11
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,25,11
お前,お前,御前,代名詞 * * * * *,25,10
やっぱり,やっぱり,矢張り,副詞 * * * * *,25,10
じゃん,じゃん,じゃん,助詞 終助詞 * * * *,25,9
父さん,父さん,父さん,名詞 普通名詞 一般 * * *,25,9
円,円,円,名詞 普通名詞 助数詞可能 * * *,25,7
好き,好き,好き,形状詞 一般 * * * *,25,7
棒,棒,棒,名詞 普通名詞 一般 * * *,25,5
メートル,メートル,メートル,名詞 普通名詞 助数詞可能 * * *,25,1
おッ,おッ,おっ,感動詞 一般 * * * *,24,10
まだ,まだ,未だ,副詞 * * * * *,24,10
また,また,又,接続詞 * * * * *,24,9
音,音,音,名詞 普通名詞 一般 * * *,24,7
いえ,いう,言う,動詞 一般 * * 五段-ワア行 仮定形-一般,23,11
確か,確か,確か,形状詞 一般 * * * *,23,10
こう,こう,こう,副詞 * * * * *,23,9
二人,二人,二人,名詞 普通名詞 副詞可能 * * *,23,7
おじ,おじ,伯父,名詞 普通名詞 一般 * * *,23,4
あたり,あたり,辺り,名詞 普通名詞 副詞可能 * * *,23,2
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,22,11
さっき,さっき,さっき,名詞 普通名詞 副詞可能 * * *,22,10
とき,とき,時,名詞 普通名詞 副詞可能 * * *,22,10
