Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1078,12
て,て,て,助詞 接続助詞 * * * *,1039,12
は,は,は,助詞 係助詞 * * * *,1005,12
に,に,に,助詞 格助詞 * * * *,982,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,731,12
が,が,が,助詞 格助詞 * * * *,696,12
も,も,も,助詞 係助詞 * * * *,606,12
を,を,を,助詞 格助詞 * * * *,567,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,510,12
で,で,で,助詞 格助詞 * * * *,501,12
と,と,と,助詞 格助詞 * * * *,445,12
よ,よ,よ,助詞 終助詞 * * * *,404,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,402,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,394,12
私,私,私,代名詞 * * * * *,370,12
ん,ん,の,助詞 準体助詞 * * * *,361,12
か,か,か,助詞 終助詞 * * * *,346,12
の,の,の,助詞 準体助詞 * * * *,310,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,309,12
ね,ね,ね,助詞 終助詞 * * * *,290,12
こと,こと,こと,名詞 普通名詞 一般 * * *,288,12
何,何,何,代名詞 * * * * *,272,12
って,って,って,助詞 副助詞 * * * *,270,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,255,12
から,から,から,助詞 接続助詞 * * * *,240,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,236,12
な,な,な,助詞 終助詞 * * * *,219,12
か,か,か,助詞 副助詞 * * * *,218,12
様,様,様,接尾辞 名詞的 一般 * * *,218,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,201,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,192,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,178,12
茜,茜,茜,名詞 普通名詞 一般 * * *,172,12
〜,〜,〜,補助記号 一般 * * * *,171,12
お,お,御,接頭辞 * * * * *,169,12
の,の,の,助詞 終助詞 * * * *,166,12
それ,それ,其れ,代名詞 * * * * *,164,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,163,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,163,12
うん,うん,うん,感動詞 一般 * * * *,152,12
そう,そう,そう,副詞 * * * * *,150,12
奏,奏,奏,名詞 普通名詞 一般 * * *,146,12
修,修,修,名詞 固有名詞 人名 名 * *,143,12
えッ,えッ,えっ,感動詞 一般 * * * *,142,12
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,140,12
岬,岬,岬,名詞 普通名詞 一般 * * *,134,10
けど,けど,けれど,助詞 接続助詞 * * * *,127,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,125,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,124,12
どう,どう,どう,副詞 * * * * *,124,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,121,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,120,12
光,光,光,名詞 普通名詞 一般 * * *,118,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,116,12
あッ,あッ,あっ,感動詞 一般 * * * *,108,12
わ,わ,わ,助詞 終助詞 * * * *,104,12
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,102,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,101,12
栞,栞,栞,名詞 普通名詞 一般 * * *,101,12
から,から,から,助詞 格助詞 * * * *,100,12
この,この,此の,連体詞 * * * * *,99,12
ば,ば,ば,助詞 接続助詞 * * * *,97,12
もう,もう,もう,副詞 * * * * *,97,12
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,96,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,91,12
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,90,12
はい,はい,はい,感動詞 一般 * * * *,89,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,89,12
これ,これ,此れ,代名詞 * * * * *,88,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,88,12
王様,王様,王様,名詞 普通名詞 一般 * * *,88,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,82,12
茜,茜,茜,名詞 固有名詞 人名 名 * *,80,12
僕,僕,僕,代名詞 * * * * *,79,11
選挙,選挙,選挙,名詞 普通名詞 サ変可能 * * *,78,12
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,76,12
輝,輝,輝,名詞 固有名詞 人名 名 * *,76,11
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,74,12
人,人,人,名詞 普通名詞 一般 * * *,74,12
し,し,し,助詞 接続助詞 * * * *,72,12
葵,葵,葵,名詞 普通名詞 一般 * * *,72,11
達,達,達,接尾辞 名詞的 一般 * * *,71,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,71,11
