Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,744,13
の,の,の,助詞 格助詞 * * * *,659,13
に,に,に,助詞 格助詞 * * * *,647,13
て,て,て,助詞 接続助詞 * * * *,635,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,584,13
が,が,が,助詞 格助詞 * * * *,550,13
を,を,を,助詞 格助詞 * * * *,549,13
も,も,も,助詞 係助詞 * * * *,353,13
で,で,で,助詞 格助詞 * * * *,316,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,305,13
か,か,か,助詞 終助詞 * * * *,297,13
と,と,と,助詞 格助詞 * * * *,292,13
無名,無名,無名,名詞 普通名詞 一般 * * *,291,12
カバネ,カバネ,姓,名詞 普通名詞 一般 * * *,274,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,250,13
よ,よ,よ,助詞 終助詞 * * * *,244,13
の,の,の,助詞 準体助詞 * * * *,239,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,234,13
ん,ん,の,助詞 準体助詞 * * * *,224,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,197,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,173,13
な,な,な,助詞 終助詞 * * * *,171,13
何,何,何,代名詞 * * * * *,155,13
ね,ね,ね,助詞 終助詞 * * * *,154,13
菖蒲,菖蒲,菖蒲,名詞 普通名詞 一般 * * *,146,12
こと,こと,こと,名詞 普通名詞 一般 * * *,145,13
俺,俺,俺,代名詞 * * * * *,143,12
さま,さま,様,接尾辞 名詞的 一般 * * *,138,12
って,って,って,助詞 副助詞 * * * *,128,13
あっ,あっ,あっ,感動詞 一般 * * * *,128,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,120,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,119,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,119,13
男性,男性,男性,名詞 普通名詞 一般 * * *,118,12
