Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,642,9
は,は,は,助詞 係助詞 * * * *,566,9
を,を,を,助詞 格助詞 * * * *,463,9
に,に,に,助詞 格助詞 * * * *,406,9
が,が,が,助詞 格助詞 * * * *,372,9
て,て,て,助詞 接続助詞 * * * *,321,9
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,279,9
で,で,で,助詞 格助詞 * * * *,227,9
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,201,8
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,197,9
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,186,9
と,と,と,助詞 格助詞 * * * *,168,9
か,か,か,助詞 終助詞 * * * *,164,9
外,外,外,名詞 普通名詞 一般 * * *,161,4
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,160,9
も,も,も,助詞 係助詞 * * * *,159,9
の,の,の,助詞 準体助詞 * * * *,141,9
ね,ね,ね,助詞 終助詞 * * * *,132,9
俺,俺,俺,代名詞 * * * * *,132,8
･,・,・,補助記号 一般 * * * *,115,9
な,な,な,助詞 終助詞 * * * *,113,9
これ,これ,此れ,代名詞 * * * * *,112,9
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,103,8
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,101,9
ん,ん,の,助詞 準体助詞 * * * *,101,9
よ,よ,よ,助詞 終助詞 * * * *,94,9
こと,こと,こと,名詞 普通名詞 一般 * * *,85,9
メーカー,メーカー,メーカー,名詞 普通名詞 一般 * * *,83,5
モンスター,モンスター,モンスター,名詞 普通名詞 一般 * * *,79,8
この,この,此の,連体詞 * * * * *,75,9
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,70,9
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,68,8
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,66,9
お前,お前,御前,代名詞 * * * * *,64,5
そう,そう,そう,副詞 * * * * *,61,9
って,って,って,助詞 副助詞 * * * *,61,9
それ,それ,其れ,代名詞 * * * * *,60,9
か,か,か,助詞 副助詞 * * * *,57,8
から,から,から,助詞 格助詞 * * * *,53,9
遊戯,遊戯,遊戯,名詞 普通名詞 サ変可能 * * *,53,8
ハノイ,ハノイ,ハノイ,名詞 固有名詞 地名 一般 * *,53,6
召喚,召喚,召喚,名詞 普通名詞 サ変可能 * * *,53,6
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,51,8
さん,さん,さん,接尾辞 名詞的 一般 * * *,48,8
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,48,8
〜,〜,〜,補助記号 一般 * * * *,44,9
お,お,御,接頭辞 * * * * *,43,8
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,43,8
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,42,9
効果,効果,効果,名詞 普通名詞 一般 * * *,42,8
その,その,其の,連体詞 * * * * *,41,8
ば,ば,ば,助詞 接続助詞 * * * *,41,8
