Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
〜,〜,〜,補助記号 一般 * * * *,788,3
の,の,の,助詞 格助詞 * * * *,388,3
て,て,て,助詞 接続助詞 * * * *,314,3
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,302,3
に,に,に,助詞 格助詞 * * * *,283,3
が,が,が,助詞 格助詞 * * * *,238,3
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,237,3
メイ,メイ,メイ,名詞 固有名詞 人名 一般 * *,208,3
も,も,も,助詞 係助詞 * * * *,192,3
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,183,3
よ,よ,よ,助詞 終助詞 * * * *,175,3
は,は,は,助詞 係助詞 * * * *,172,3
お,お,御,接頭辞 * * * * *,157,3
ん,ん,の,助詞 準体助詞 * * * *,151,3
で,で,で,助詞 格助詞 * * * *,149,3
トトロ,トトロ,トトロ,名詞 固有名詞 一般 * * *,129,3
ね,ね,ね,助詞 終助詞 * * * *,126,3
の,の,の,助詞 終助詞 * * * *,126,3
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,116,3
か,か,か,助詞 終助詞 * * * *,112,3
うん,うん,うん,感動詞 一般 * * * *,111,3
の,の,の,助詞 準体助詞 * * * *,109,3
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,108,3
あっ,あっ,あっ,感動詞 一般 * * * *,107,3
って,って,って,助詞 副助詞 * * * *,102,3
と,と,と,助詞 格助詞 * * * *,91,3
を,を,を,助詞 格助詞 * * * *,91,3
サツキ,サツキ,五月,名詞 普通名詞 一般 * * *,84,3
から,から,から,助詞 接続助詞 * * * *,82,3
ばあ,ばあ,婆,名詞 普通名詞 一般 * * *,81,3
お母さん,お母さん,お母さん,名詞 普通名詞 一般 * * *,75,3
お父さん,お父さん,お父さん,名詞 普通名詞 一般 * * *,69,3
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,66,3
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,64,3
メイ,メイ,メイ,名詞 普通名詞 一般 * * *,64,3
な,な,な,助詞 終助詞 * * * *,63,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,62,3
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,60,3
そう,そう,そう,副詞 * * * * *,54,3
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,54,3
か,か,か,助詞 副助詞 * * * *,52,3
い,い,い,助詞 終助詞 * * * *,51,3
イ,イ,イ,名詞 普通名詞 一般 * * *,51,3
あ〜,あ〜,ああ,感動詞 一般 * * * *,48,3
へ,へ,へ,助詞 格助詞 * * * *,48,3
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,46,3
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,46,3
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,45,3
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,45,3
これ,これ,此れ,代名詞 * * * * *,44,3
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,44,3
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,44,3
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,43,3
から,から,から,助詞 格助詞 * * * *,42,3
どう,どう,どう,副詞 * * * * *,42,3
ちゃ〜ん,ちゃ〜ん,ちゃん,接尾辞 名詞的 一般 * * *,39,3
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,39,3
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,39,3
病院,病院,病院,名詞 普通名詞 一般 * * *,39,3
あれ,あれ,あれ,感動詞 一般 * * * *,37,3
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,37,3
私,私,私,代名詞 * * * * *,37,3
あの,あの,彼の,連体詞 * * * * *,36,3
さん,さん,さん,接尾辞 名詞的 一般 * * *,36,3
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,36,3
なぁ,なぁ,な,助詞 終助詞 * * * *,36,3
もう,もう,もう,副詞 * * * * *,36,3
何,何,何,代名詞 * * * * *,35,3
カンタ,カンタ,カンタ,名詞 固有名詞 人名 一般 * *,33,3
メ,メ,メ,名詞 普通名詞 一般 * * *,33,3
子,子,子,名詞 普通名詞 一般 * * *,33,3
家,家,家,名詞 普通名詞 一般 * * *,33,3
っ,っ,っ,補助記号 一般 * * * *,31,3
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,31,3
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,31,3
もん,もん,もの,助詞 終助詞 * * * *,30,3
わ,わ,わ,助詞 終助詞 * * * *,30,3
ん,ん,んっ,感動詞 一般 * * * *,30,3
パラ,パラ,パラ,名詞 普通名詞 一般 * * *,30,3
木,木,木,名詞 普通名詞 一般 * * *,30,3
クロスケ,クロスケ,クロスケ,名詞 普通名詞 一般 * * *,28,3
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,28,3
この,この,此の,連体詞 * * * * *,27,3
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,27,3
どこ,どこ,どこ,代名詞 * * * * *,27,3
よぉ,よぉ,よ,助詞 終助詞 * * * *,27,3
うわ〜,うわ〜,うわ,感動詞 一般 * * * *,25,3
ここ,ここ,此処,代名詞 * * * * *,25,3
あ,あ,あっ,感動詞 一般 * * * *,24,3
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,24,3
きっと,きっと,きっと,副詞 * * * * *,24,3
こっち,こっち,此方,代名詞 * * * * *,24,3
すぐ,すぐ,直ぐ,副詞 * * * * *,24,3
た〜,た,た,助動詞 * * * 助動詞-タ 終止形-一般,24,3
まだ,まだ,未だ,副詞 * * * * *,24,3
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,24,3
父,父,父,名詞 普通名詞 一般 * * *,24,3
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,24,3
