Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,3320,25
は,は,は,助詞 係助詞 * * * *,3068,25
に,に,に,助詞 格助詞 * * * *,3052,25
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,3047,25
の,の,の,助詞 格助詞 * * * *,2962,25
を,を,を,助詞 格助詞 * * * *,2177,25
が,が,が,助詞 格助詞 * * * *,2145,25
よ,よ,よ,助詞 終助詞 * * * *,1831,25
も,も,も,助詞 係助詞 * * * *,1788,25
ん,ん,の,助詞 準体助詞 * * * *,1737,25
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1529,25
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1451,25
で,で,で,助詞 格助詞 * * * *,1248,25
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1184,25
と,と,と,助詞 格助詞 * * * *,1065,25
か,か,か,助詞 終助詞 * * * *,1022,25
ね,ね,ね,助詞 終助詞 * * * *,983,25
な,な,な,助詞 終助詞 * * * *,966,25
ラスカル,ラスカル,ラスカル,名詞 普通名詞 一般 * * *,959,25
の,の,の,助詞 準体助詞 * * * *,938,25
スターリング,スターリング,スターリング,名詞 普通名詞 一般 * * *,917,25
さん,さん,さん,接尾辞 名詞的 一般 * * *,725,25
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,713,25
から,から,から,助詞 接続助詞 * * * *,660,25
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,650,25
お,お,御,接頭辞 * * * * *,636,25
僕,僕,僕,代名詞 * * * * *,630,25
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,613,25
そう,そう,そう,副詞 * * * * *,607,25
それ,それ,其れ,代名詞 * * * * *,576,25
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,555,25
って,って,って,助詞 副助詞 * * * *,551,25
どう,どう,どう,副詞 * * * * *,518,25
こと,こと,こと,名詞 普通名詞 一般 * * *,516,23
か,か,か,助詞 副助詞 * * * *,488,25
何,何,何,代名詞 * * * * *,479,25
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,452,25
から,から,から,助詞 格助詞 * * * *,451,25
ああ,ああ,ああ,感動詞 一般 * * * *,434,25
わ,わ,わ,助詞 終助詞 * * * *,423,25
お父さん,お父さん,お父さん,名詞 普通名詞 一般 * * *,414,25
お前,お前,御前,代名詞 * * * * *,407,25
うん,うん,うん,感動詞 一般 * * * *,398,25
私,私,私,代名詞 * * * * *,397,25
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,366,25
この,この,此の,連体詞 * * * * *,358,25
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,350,25
へ,へ,へ,助詞 格助詞 * * * *,348,25
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,343,25
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,332,25
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,309,25
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,305,25
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,298,25
けど,けど,けれど,助詞 接続助詞 * * * *,287,25
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,284,25
の,の,の,助詞 終助詞 * * * *,279,25
オスカー,オスカー,オスカー,名詞 固有名詞 人名 一般 * *,279,21
もう,もう,もう,副詞 * * * * *,272,25
これ,これ,此れ,代名詞 * * * * *,271,25
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,270,25
お母さん,お母さん,お母さん,名詞 普通名詞 一般 * * *,261,20
い,い,い,助詞 終助詞 * * * *,256,25
その,その,其の,連体詞 * * * * *,250,25
アリス,アリス,アリス,名詞 固有名詞 人名 一般 * *,249,19
さ,さ,さ,助詞 終助詞 * * * *,245,25
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,236,25
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,233,25
あの,あの,彼の,連体詞 * * * * *,230,25
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,230,25
事,事,事,名詞 普通名詞 一般 * * *,224,8
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,219,24
俺,俺,俺,代名詞 * * * * *,219,22
うち,うち,内,名詞 普通名詞 副詞可能 * * *,214,25
さあ,さあ,さあ,感動詞 一般 * * * *,214,25
ば,ば,ば,助詞 接続助詞 * * * *,208,25
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,204,25
たち,たち,達,接尾辞 名詞的 一般 * * *,201,24
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,196,25
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,196,25
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,196,25
本当,本当,本当,名詞 普通名詞 一般 * * *,194,25
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,191,25
ええ,ええ,ええ,感動詞 一般 * * * *,187,23
あっ,あっ,あっ,感動詞 一般 * * * *,185,25
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,184,24
で,で,で,助詞 接続助詞 * * * *,181,25
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,180,25
よう,よう,様,形状詞 助動詞語幹 * * * *,180,25
まで,まで,まで,助詞 副助詞 * * * *,174,25
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,174,24
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,172,25
そんな,そんな,そんな,連体詞 * * * * *,171,25
ちょっと,ちょっと,一寸,副詞 * * * * *,170,25
ここ,ここ,此処,代名詞 * * * * *,170,24
鳴き声,鳴き声,鳴き声,名詞 普通名詞 一般 * * *,170,9
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,169,25
