Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,606,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,571,13
の,の,の,助詞 格助詞 * * * *,571,13
て,て,て,助詞 接続助詞 * * * *,487,13
に,に,に,助詞 格助詞 * * * *,484,13
を,を,を,助詞 格助詞 * * * *,417,13
が,が,が,助詞 格助詞 * * * *,407,13
よ,よ,よ,助詞 終助詞 * * * *,287,13
も,も,も,助詞 係助詞 * * * *,286,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,255,13
ん,ん,の,助詞 準体助詞 * * * *,238,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,236,13
か,か,か,助詞 終助詞 * * * *,217,13
で,で,で,助詞 格助詞 * * * *,190,13
と,と,と,助詞 格助詞 * * * *,190,13
の,の,の,助詞 準体助詞 * * * *,183,13
ね,ね,ね,助詞 終助詞 * * * *,167,12
何,何,何,代名詞 * * * * *,151,13
な,な,な,助詞 終助詞 * * * *,150,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,141,13
こと,こと,こと,名詞 普通名詞 一般 * * *,130,13
って,って,って,助詞 副助詞 * * * *,127,13
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,118,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,117,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,112,13
〜,〜,〜,補助記号 一般 * * * *,110,13
お前,お前,御前,代名詞 * * * * *,109,13
アルカ,アルカ,アルカ,名詞 普通名詞 一般 * * *,102,13
私,私,私,代名詞 * * * * *,102,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,102,9
この,この,此の,連体詞 * * * * *,99,13
お,お,御,接頭辞 * * * * *,96,13
か,か,か,助詞 副助詞 * * * *,96,13
ば,ば,ば,助詞 接続助詞 * * * *,96,13
それ,それ,其れ,代名詞 * * * * *,89,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,87,13
から,から,から,助詞 接続助詞 * * * *,85,12
･,・,・,補助記号 一般 * * * *,79,10
そう,そう,そう,副詞 * * * * *,78,13
人,人,人,名詞 普通名詞 一般 * * *,73,11
どう,どう,どう,副詞 * * * * *,72,13
俺,俺,俺,代名詞 * * * * *,70,12
あッ,あッ,あっ,感動詞 一般 * * * *,69,13
さん,さん,さん,接尾辞 名詞的 一般 * * *,64,12
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,64,12
ロアナ,ロアナ,ロアナ,名詞 固有名詞 人名 一般 * *,63,12
ここ,ここ,此処,代名詞 * * * * *,60,12
あなた,あなた,貴方,代名詞 * * * * *,60,9
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,59,13
ああ,ああ,ああ,感動詞 一般 * * * *,57,13
ら,ら,等,接尾辞 名詞的 一般 * * *,57,12
から,から,から,助詞 格助詞 * * * *,56,13
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,56,12
その,その,其の,連体詞 * * * * *,55,13
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,55,13
あの,あの,彼の,連体詞 * * * * *,54,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,54,12
これ,これ,此れ,代名詞 * * * * *,53,13
もう,もう,もう,副詞 * * * * *,52,13
あんた,あんた,貴方,代名詞 * * * * *,52,8
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,51,13
気,気,気,名詞 普通名詞 一般 * * *,51,12
の,の,の,助詞 終助詞 * * * *,50,11
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,49,12
さ,さ,さ,助詞 終助詞 * * * *,49,11
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,46,13
ハズキ,ハズキ,ハズキ,名詞 普通名詞 一般 * * *,46,13
だけ,だけ,だけ,助詞 副助詞 * * * *,45,13
女将,女将,女将,名詞 普通名詞 一般 * * *,45,11
達,達,達,接尾辞 名詞的 一般 * * *,45,11
わ,わ,わ,助詞 終助詞 * * * *,44,10
けど,けど,けれど,助詞 接続助詞 * * * *,41,11
男,男,男,名詞 普通名詞 一般 * * *,41,10
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,40,13
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,40,13
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,40,13
カレン,カレン,カレン,名詞 固有名詞 一般 * * *,39,13
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,39,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,39,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,39,8
パラム,パラム,パラム,名詞 固有名詞 人名 一般 * *,39,8
もの,もの,物,名詞 普通名詞 サ変可能 * * *,38,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,38,11
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,37,12
うん,うん,うん,感動詞 一般 * * * *,37,11
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,37,11
女,女,女,名詞 普通名詞 一般 * * *,37,11
仕事,仕事,仕事,名詞 普通名詞 サ変可能 * * *,37,9
剣,剣,剣,名詞 普通名詞 一般 * * *,36,7
村,村,村,名詞 普通名詞 一般 * * *,36,5
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,35,12
剱,剱,佩刀,名詞 普通名詞 一般 * * *,34,11
者,者,者,名詞 普通名詞 一般 * * *,34,11
様,様,様,接尾辞 名詞的 一般 * * *,34,9
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,33,13
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,33,8
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,32,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,32,9
ヴァレル,ヴァレル,ヴァレル,名詞 普通名詞 一般 * * *,32,8
誰,誰,誰,代名詞 * * * * *,31,12
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,31,11
い,い,い,助詞 終助詞 * * * *,31,10
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,31,10
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,29,11
う,う,うー,感動詞 フィラー * * * *,29,10
天,天,天,名詞 普通名詞 一般 * * *,29,10
師匠,師匠,師匠,名詞 普通名詞 一般 * * *,29,8
濁,濁,濁,名詞 普通名詞 一般 * * *,29,8
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,28,12
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,28,12
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,28,11
が,が,が,助詞 接続助詞 * * * *,28,10
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,28,9
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,27,13
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,27,11
で,で,で,助詞 接続助詞 * * * *,27,11
て,てる,てる,助動詞 * * * 下一段-タ行 連体形-省略,27,10
あれ,あれ,彼れ,代名詞 * * * * *,27,9
えッ,えッ,えっ,感動詞 一般 * * * *,27,9
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,27,9
ジン,ジン,ジン,名詞 固有名詞 人名 一般 * *,27,8
おい,おい,おい,感動詞 一般 * * * *,26,8
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,26,8
党首,党首,党首,名詞 普通名詞 一般 * * *,26,7
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,25,11
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,25,10
ユ,ユ,ユ,名詞 普通名詞 一般 * * *,25,9
ラン,ラン,ラン,名詞 普通名詞 サ変可能 * * *,25,9
死ん,死ぬ,死ぬ,動詞 一般 * * 五段-ナ行 連用形-撥音便,25,9
生き,生きる,生きる,動詞 一般 * * 上一段-カ行 連用形-一般,25,9
精,精,精,名詞 普通名詞 一般 * * *,25,8
そんな,そんな,そんな,連体詞 * * * * *,24,10
復讐,復讐,復讐,名詞 普通名詞 サ変可能 * * *,24,8
