Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
〜,〜,〜,補助記号 一般 * * * *,345,2
て,て,て,助詞 接続助詞 * * * *,312,2
の,の,の,助詞 格助詞 * * * *,257,2
に,に,に,助詞 格助詞 * * * *,216,2
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,184,2
も,も,も,助詞 係助詞 * * * *,180,2
お,お,御,接頭辞 * * * * *,160,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,130,2
は,は,は,助詞 係助詞 * * * *,126,2
ん,ん,の,助詞 準体助詞 * * * *,124,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,110,2
な,な,な,助詞 終助詞 * * * *,108,2
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,108,2
が,が,が,助詞 格助詞 * * * *,104,2
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,100,2
で,で,で,助詞 格助詞 * * * *,100,2
か,か,か,助詞 終助詞 * * * *,98,2
さん,さん,さん,接尾辞 名詞的 一般 * * *,92,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,86,2
や,や,や,助詞 副助詞 * * * *,84,2
節子,節子,節子,名詞 固有名詞 人名 名 * *,82,2
兄ちゃん,兄ちゃん,兄ちゃん,名詞 普通名詞 一般 * * *,80,2
何,何,何,代名詞 * * * * *,74,2
わ,わ,わ,助詞 終助詞 * * * *,72,2
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,68,2
と,と,と,助詞 格助詞 * * * *,56,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,54,2
もう,もう,もう,副詞 * * * * *,54,2
やろ,や,や,助動詞 * * * 助動詞-ヤ 意志推量形,54,2
母,母,母,名詞 普通名詞 一般 * * *,54,2
なぁ,なぁ,な,助詞 終助詞 * * * *,52,2
よ,よ,よ,助詞 終助詞 * * * *,52,2
か,か,か,助詞 副助詞 * * * *,50,2
あっ,あっ,あっ,感動詞 一般 * * * *,46,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,46,2
から,から,から,助詞 接続助詞 * * * *,42,2
て,て,って,助詞 副助詞 * * * *,42,2
こと,こと,こと,名詞 普通名詞 一般 * * *,40,2
で,で,で,助詞 接続助詞 * * * *,40,2
の,の,の,助詞 終助詞 * * * *,40,2
うん,うん,うん,感動詞 一般 * * * *,38,2
それ,それ,其れ,代名詞 * * * * *,38,2
もん,もん,もん,名詞 普通名詞 一般 * * *,38,2
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,38,2
あ〜,あ〜,ああ,感動詞 一般 * * * *,36,2
から,から,から,助詞 格助詞 * * * *,36,2
の,の,の,助詞 準体助詞 * * * *,36,2
ねん,ねん,ねん,助詞 終助詞 * * * *,34,2
あんた,あんた,貴方,代名詞 * * * * *,32,2
これ,これ,此れ,代名詞 * * * * *,32,2
どない,どない,どない,形状詞 一般 * * * *,32,2
や,や,や,助詞 終助詞 * * * *,32,2
ら,ら,等,接尾辞 名詞的 一般 * * *,32,2
音,音,音,名詞 普通名詞 一般 * * *,31,2
おば,おば,伯母,名詞 普通名詞 一般 * * *,30,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,30,2
はい,はい,はい,感動詞 一般 * * * *,30,2
イヤ,イヤ,嫌,形状詞 一般 * * * *,30,2
あか,あく,あく,動詞 一般 * * 五段-カ行 未然形-一般,28,2
うち,うち,内,名詞 普通名詞 副詞可能 * * *,28,2
ええ,よい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,28,2
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,28,2
この,この,此の,連体詞 * * * * *,26,2
で,で,で,助詞 終助詞 * * * *,26,2
へ,へ,へ,助詞 格助詞 * * * *,26,2
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,26,2
清太,清太,清太,名詞 固有名詞 人名 名 * *,26,2
けど,けど,けれど,助詞 接続助詞 * * * *,24,2
さかい,さかい,さかい,助詞 接続助詞 * * * *,24,2
そ,そ,そう,副詞 * * * * *,24,2
空襲,空襲,空襲,名詞 普通名詞 サ変可能 * * *,24,2
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,22,2
ね,ね,ね,助詞 終助詞 * * * *,22,2
はっ,はる,はる,助動詞 * * * 五段-ラ行 連用形-促音便,22,2
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,22,2
