Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,359,2
の,の,の,助詞 格助詞 * * * *,306,2
さん,さん,さん,接尾辞 名詞的 一般 * * *,303,2
に,に,に,助詞 格助詞 * * * *,283,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,253,2
ん,ん,の,助詞 準体助詞 * * * *,253,2
は,は,は,助詞 係助詞 * * * *,247,2
が,が,が,助詞 格助詞 * * * *,242,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,232,2
よ,よ,よ,助詞 終助詞 * * * *,197,2
も,も,も,助詞 係助詞 * * * *,191,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,167,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,165,2
ね,ね,ね,助詞 終助詞 * * * *,165,2
か,か,か,助詞 終助詞 * * * *,158,2
を,を,を,助詞 格助詞 * * * *,157,2
で,で,で,助詞 格助詞 * * * *,148,2
と,と,と,助詞 格助詞 * * * *,148,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,134,2
何,何,何,代名詞 * * * * *,122,2
こと,こと,こと,名詞 普通名詞 一般 * * *,117,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,110,2
の,の,の,助詞 準体助詞 * * * *,110,2
響子,響子,響子,名詞 固有名詞 人名 名 * *,97,2
お,お,御,接頭辞 * * * * *,93,2
五,五,5,名詞 数詞 * * * *,93,2
代,代,代,名詞 普通名詞 助数詞可能 * * *,93,2
って,って,って,助詞 副助詞 * * * *,92,2
私,私,私,代名詞 * * * * *,91,2
そう,そう,そう,副詞 * * * * *,84,2
ああ,ああ,ああ,感動詞 一般 * * * *,82,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,81,2
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,79,2
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,78,2
から,から,から,助詞 接続助詞 * * * *,76,2
な,な,な,助詞 終助詞 * * * *,75,2
どう,どう,どう,副詞 * * * * *,73,2
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,70,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,67,2
あの,あの,彼の,連体詞 * * * * *,66,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,63,2
か,か,か,助詞 副助詞 * * * *,60,2
それ,それ,其れ,代名詞 * * * * *,60,2
わ,わ,わ,助詞 終助詞 * * * *,58,2
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,55,2
君,君,君,接尾辞 名詞的 一般 * * *,55,2
管理人,管理人,管理人,名詞 普通名詞 一般 * * *,52,2
あ,あ,あっ,感動詞 一般 * * * *,49,2
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,44,2
あっ,あっ,あっ,感動詞 一般 * * * *,43,2
ば,ば,ば,助詞 接続助詞 * * * *,43,2
僕,僕,僕,代名詞 * * * * *,43,2
けど,けど,けれど,助詞 接続助詞 * * * *,42,2
八神,八神,八神,名詞 固有名詞 人名 姓 * *,42,2
の,の,の,助詞 終助詞 * * * *,41,2
もう,もう,もう,副詞 * * * * *,41,2
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,39,2
から,から,から,助詞 格助詞 * * * *,39,2
これ,これ,此れ,代名詞 * * * * *,39,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,39,2
俺,俺,俺,代名詞 * * * * *,39,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,38,2
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,37,2
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,37,2
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,35,2
まあ,まあ,まあ,副詞 * * * * *,34,2
朱美,朱美,朱美,名詞 固有名詞 人名 名 * *,34,2
あなた,あなた,貴方,代名詞 * * * * *,33,2
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,33,2
で,で,で,助詞 接続助詞 * * * *,33,2
先生,先生,先生,名詞 普通名詞 一般 * * *,33,2
五代,五代,五代,名詞 固有名詞 人名 姓 * *,32,2
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,31,2
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,31,2
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,31,2
好き,好き,好き,形状詞 一般 * * * *,31,2
はい,はい,はい,感動詞 一般 * * * *,30,2
惣一郎,惣一郎,惣一郎,名詞 固有名詞 人名 名 * *,30,2
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,29,2
この,この,此の,連体詞 * * * * *,29,2
そんな,そんな,そんな,連体詞 * * * * *,29,2
ん,ん,んっ,感動詞 一般 * * * *,29,2
男,男,男,名詞 普通名詞 一般 * * *,29,2
ええ,ええ,ええ,感動詞 一般 * * * *,28,2
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,28,2
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,28,2
人,人,人,名詞 普通名詞 一般 * * *,28,2
え,え,えっ,感動詞 一般 * * * *,27,2
なんて,なんて,なんて,助詞 副助詞 * * * *,27,2
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,27,2
その,その,其の,連体詞 * * * * *,26,2
はあ,はあ,はあ,感動詞 一般 * * * *,26,2
誰,誰,誰,代名詞 * * * * *,26,2
えっ,えっ,えっ,感動詞 一般 * * * *,25,2
さ,さ,さ,助詞 終助詞 * * * *,25,2
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,25,2
ちょっと,ちょっと,一寸,副詞 * * * * *,25,2
結婚,結婚,結婚,名詞 普通名詞 サ変可能 * * *,25,2
い,い,い,助詞 終助詞 * * * *,24,2
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,24,2
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,23,2
あんた,あんた,貴方,代名詞 * * * * *,23,2
あら,あら,あら,感動詞 一般 * * * *,22,2
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,22,2
ねえ,ねえ,姉,名詞 普通名詞 一般 * * *,22,2
音無,音無,音無,名詞 固有名詞 人名 姓 * *,22,2
だけ,だけ,だけ,助詞 副助詞 * * * *,21,2
手紙,手紙,手紙,名詞 普通名詞 一般 * * *,21,1
こんな,こんな,こんな,連体詞 * * * * *,20,2
し,し,し,助詞 接続助詞 * * * *,20,2
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,20,2
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,20,2
ほら,ほら,ほら,感動詞 一般 * * * *,20,2
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,20,2
君,君,君,代名詞 * * * * *,20,2
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,20,2
気,気,気,名詞 普通名詞 一般 * * *,20,2
まで,まで,まで,助詞 副助詞 * * * *,19,2
わけ,わけ,訳,名詞 普通名詞 一般 * * *,19,2
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,19,2
様,様,様,接尾辞 名詞的 一般 * * *,19,2
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,18,2
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,18,2
話,話,話,名詞 普通名詞 サ変可能 * * *,18,2
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,17,2
さあ,さあ,さあ,感動詞 一般 * * * *,17,2
じゃあ,じゃあ,で,接続詞 * * * * *,17,2
なあ,なあ,な,助詞 終助詞 * * * *,17,2
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,17,2
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,17,2
やっぱり,やっぱり,矢張り,副詞 * * * * *,17,2
本当,本当,本当,名詞 普通名詞 一般 * * *,17,2
あたし,あたし,私,代名詞 * * * * *,17,1
いや,いや,否,感動詞 一般 * * * *,16,2
なんか,なんか,なんか,助詞 副助詞 * * * *,16,2
ホント,ホント,本当,名詞 普通名詞 一般 * * *,16,2
三鷹,三鷹,三鷹,名詞 固有名詞 地名 一般 * *,16,2
写真,写真,写真,名詞 普通名詞 一般 * * *,16,2
幸せ,幸せ,幸せ,名詞 普通名詞 形状詞可能 * * *,16,2
部屋,部屋,部屋,名詞 普通名詞 一般 * * *,16,2
あ,あ,あー,感動詞 フィラー * * * *,15,2
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,15,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,15,2
だ,だ,た,助動詞 * * * 助動詞-タ 連体形-一般,15,2
ねえ,ねえ,ね,助詞 終助詞 * * * *,15,2
まだ,まだ,未だ,副詞 * * * * *,15,2
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,15,2
うん,うん,うん,感動詞 一般 * * * *,14,2
じゃ,じゃ,で,助詞 格助詞 * * * *,14,2
そんな,そんな,そんな,形状詞 一般 * * * *,14,2
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,14,2
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,14,2
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,14,2
顔,顔,顔,名詞 普通名詞 一般 * * *,14,2
あれ,あれ,彼れ,代名詞 * * * * *,13,2
いつ,いつ,いつ,代名詞 * * * * *,13,2
が,が,が,助詞 接続助詞 * * * *,13,2
ここ,ここ,此処,代名詞 * * * * *,13,2
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,13,2
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,13,2
たち,たち,達,接尾辞 名詞的 一般 * * *,13,2
とこ,とこ,とこ,名詞 普通名詞 一般 * * *,13,2
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,13,2
ましょう,ます,ます,助動詞 * * * 助動詞-マス 意志推量形,13,2
今,今,今,名詞 普通名詞 副詞可能 * * *,13,2
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,13,2
言わ,言う,言う,動詞 一般 * * 五段-ワア行 未然形-一般,13,2
飲ん,飲む,飲む,動詞 一般 * * 五段-マ行 連用形-撥音便,13,2
ハハハ,ハハハ,ははは,感動詞 一般 * * * *,13,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,12,2
いやあ,いやあ,いや,感動詞 一般 * * * *,12,2
かしら,かしら,かしら,助詞 終助詞 * * * *,12,2
ご,ご,御,接頭辞 * * * * *,12,2
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,12,2
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,12,2
て,てる,てる,助動詞 * * * 下一段-タ行 連体形-省略,12,2
もん,もん,もん,名詞 普通名詞 一般 * * *,12,2
前,前,前,名詞 普通名詞 副詞可能 * * *,12,2
明日菜,明日菜,明日菜,名詞 固有名詞 人名 名 * *,12,2
アハハハ,アハハハ,あはは,感動詞 一般 * * * *,12,1
姫,姫,姫,名詞 普通名詞 一般 * * *,12,1
あんな,あんな,あんな,連体詞 * * * * *,11,2
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,11,2
すみ,すむ,すむ,動詞 一般 * * 五段-マ行 連用形-一般,11,2
そう,そう,そう,形状詞 助動詞語幹 * * * *,11,2
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,11,2
と,と,と,助詞 接続助詞 * * * *,11,2
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,11,2
なら,なる,成る,動詞 非自立可能 * * 五段-ラ行 未然形-一般,11,2
へ,へ,へ,助詞 格助詞 * * * *,11,2
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,11,2
もの,もの,物,名詞 普通名詞 サ変可能 * * *,11,2
別,別,別,名詞 普通名詞 形状詞可能 * * *,11,2
悪い,悪い,悪い,形容詞 一般 * * 形容詞 連体形-一般,11,2
とき,とき,時,名詞 普通名詞 副詞可能 * * *,11,1
いけ,いける,行く,動詞 非自立可能 * * 下一段-カ行 未然形-一般,10,2
うう,うう,うう,感動詞 一般 * * * *,10,2
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,10,2
しまっ,しまう,仕舞う,動詞 非自立可能 * * 五段-ワア行 連用形-促音便,10,2
