Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,50,1
て,て,て,助詞 接続助詞 * * * *,47,1
に,に,に,助詞 格助詞 * * * *,43,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,42,1
の,の,の,助詞 格助詞 * * * *,42,1
を,を,を,助詞 格助詞 * * * *,29,1
銀河,銀河,銀河,名詞 普通名詞 一般 * * *,29,1
で,で,で,助詞 格助詞 * * * *,24,1
も,も,も,助詞 係助詞 * * * *,24,1
か,か,か,助詞 終助詞 * * * *,19,1
よ,よ,よ,助詞 終助詞 * * * *,19,1
と,と,と,助詞 格助詞 * * * *,18,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,17,1
が,が,が,助詞 格助詞 * * * *,16,1
な,な,な,助詞 終助詞 * * * *,16,1
ん,ん,の,助詞 準体助詞 * * * *,15,1
ベイ,ベイ,ベイ,名詞 普通名詞 一般 * * *,15,1
か,か,か,助詞 副助詞 * * * *,14,1
の,の,の,助詞 準体助詞 * * * *,14,1
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,13,1
俺,俺,俺,代名詞 * * * * *,12,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,11,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,11,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,11,1
ケンタ,ケンタ,ケンタ,名詞 固有名詞 一般 * * *,11,1
バトル,バトル,バトル,名詞 普通名詞 一般 * * *,11,1
何,何,何,代名詞 * * * * *,11,1
ぁ,ぁ,ぁ,補助記号 一般 * * * *,10,1
さ,さ,さ,助詞 終助詞 * * * *,10,1
そう,そう,そう,副詞 * * * * *,10,1
ポイント,ポイント,ポイント,名詞 普通名詞 助数詞可能 * * *,10,1
お前,お前,御前,代名詞 * * * * *,9,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,9,1
どこ,どこ,どこ,代名詞 * * * * *,9,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,9,1
強く,強い,強い,形容詞 一般 * * 形容詞 連用形-一般,9,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,8,1
って,って,って,助詞 副助詞 * * * *,8,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,8,1
ゃ,ゃ,ヤ,記号 一般 * * * *,8,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,8,1
ら,ら,等,接尾辞 名詞的 一般 * * *,8,1
ア,ア,ア,名詞 普通名詞 一般 * * *,8,1
ボク,ボク,僕,代名詞 * * * * *,8,1
ああ,ああ,ああ,感動詞 一般 * * * *,7,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,7,1
っ,っ,っ,補助記号 一般 * * * *,7,1
サジタリオ,サジタリオ,サジタリオ,名詞 普通名詞 一般 * * *,7,1
シュート,シュート,シュート,名詞 普通名詞 サ変可能 * * *,7,1
あ,あ,あっ,感動詞 一般 * * * *,6,1
い,い,い,助詞 終助詞 * * * *,6,1
この,この,此の,連体詞 * * * * *,6,1
これ,これ,此れ,代名詞 * * * * *,6,1
さあ,さあ,さあ,感動詞 一般 * * * *,6,1
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,6,1
なんて,なんて,なんて,助詞 副助詞 * * * *,6,1
ひ,ひ,一,名詞 数詞 * * * *,6,1
ハンターズ,ハンターズ,ハンターズ,名詞 普通名詞 一般 * * *,6,1
フェイス,フェイス,フェース,名詞 普通名詞 一般 * * *,6,1
ブレーダー,ブレーダー,ブレーダー,名詞 普通名詞 一般 * * *,6,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,5,1
え,え,えっ,感動詞 一般 * * * *,5,1
から,から,から,助詞 格助詞 * * * *,5,1
から,から,から,助詞 接続助詞 * * * *,5,1
こと,こと,こと,名詞 普通名詞 一般 * * *,5,1
こんな,こんな,こんな,連体詞 * * * * *,5,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,5,1
その,その,其の,連体詞 * * * * *,5,1
それ,それ,其れ,代名詞 * * * * *,5,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,5,1
どう,どう,どう,副詞 * * * * *,5,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,5,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,5,1
もう,もう,もう,副詞 * * * * *,5,1
や,や,や,助詞 副助詞 * * * *,5,1
ょ,ょ,よ,助詞 終助詞 * * * *,5,1
よく,よく,良く,副詞 * * * * *,5,1
ん,ん,ん,助詞 格助詞 * * * *,5,1
勝負,勝負,勝負,名詞 普通名詞 サ変可能 * * *,5,1
大会,大会,大会,名詞 普通名詞 一般 * * *,5,1
相手,相手,相手,名詞 普通名詞 一般 * * *,5,1
選手,選手,選手,名詞 普通名詞 一般 * * *,5,1
あいつ,あいつ,彼奴,代名詞 * * * * *,4,1
ぃ,ぃ,ぃ,補助記号 一般 * * * *,4,1
う,う,うー,感動詞 フィラー * * * *,4,1
うん,うん,うん,感動詞 一般 * * * *,4,1
ぇ,ぇ,ぇ,補助記号 一般 * * * *,4,1
く,く,九,名詞 数詞 * * * *,4,1
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,4,1
そんな,そんな,そんな,連体詞 * * * * *,4,1
たち,たち,達,接尾辞 名詞的 一般 * * *,4,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,4,1
なっ,なっ,なあ,感動詞 一般 * * * *,4,1
ねえ,ねえ,ねえ,感動詞 一般 * * * *,4,1
の,の,の,助詞 終助詞 * * * *,4,1
み,みる,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,4,1
わ,わ,わ,助詞 終助詞 * * * *,4,1
レオーネ,レオーネ,レオーネ,名詞 普通名詞 一般 * * *,4,1
強い,強い,強い,形容詞 一般 * * 形容詞 連体形-一般,4,1
練習,練習,練習,名詞 普通名詞 サ変可能 * * *,4,1
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,4,1
貴様,貴様,貴様,代名詞 * * * * *,4,1
逃げ,逃げる,逃げる,動詞 一般 * * 下一段-ガ行 連用形-一般,4,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,3,1
うわ,うわ,うわ,感動詞 一般 * * * *,3,1
おい,おい,おい,感動詞 一般 * * * *,3,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,3,1
こう,こう,こう,副詞 * * * * *,3,1
ここ,ここ,此処,代名詞 * * * * *,3,1
さ,さ,さ,接尾辞 名詞的 一般 * * *,3,1
すっ,すっ,すっ,副詞 * * * * *,3,1
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,3,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,3,1
たい,たい,たい,助動詞 * * * 助動詞-タイ 連体形-一般,3,1
たく,たい,たい,助動詞 * * * 助動詞-タイ 連用形-一般,3,1
なんか,なんか,なんか,助詞 副助詞 * * * *,3,1
ね,ね,ね,助詞 終助詞 * * * *,3,1
ねェ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,3,1
ば,ば,ば,助詞 接続助詞 * * * *,3,1
ひ,ひ,ひ,記号 一般 * * * *,3,1
ひどい,ひどい,酷い,形容詞 一般 * * 形容詞 終止形-一般,3,1
へ,へ,へ,助詞 格助詞 * * * *,3,1
また,また,又,副詞 * * * * *,3,1
まだ,まだ,未だ,副詞 * * * * *,3,1
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,3,1
もっと,もっと,もっと,副詞 * * * * *,3,1
やめ,やめる,やめる,動詞 一般 * * 下一段-マ行 連用形-一般,3,1
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,3,1
よう,よう,様,形状詞 助動詞語幹 * * * *,3,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,3,1
アタック,アタック,アタック,名詞 普通名詞 サ変可能 * * *,3,1
カッコ,カッコ,格好,名詞 普通名詞 一般 * * *,3,1
キョウヤ,キョウヤ,キョウヤ,名詞 普通名詞 一般 * * *,3,1
スリー,スリー,スリー,名詞 普通名詞 一般 * * *,3,1
フッ,フッ,ふっ,副詞 * * * * *,3,1
ベイバトル,ベイバトル,ベイバトル,名詞 普通名詞 一般 * * *,3,1
ベスト,ベスト,ベスト,名詞 普通名詞 形状詞可能 * * *,3,1
ワン,ワン,ワン,名詞 普通名詞 一般 * * *,3,1
全部,全部,全部,名詞 普通名詞 副詞可能 * * *,3,1
凄い,凄い,凄い,形容詞 一般 * * 形容詞 連体形-一般,3,1
助け,助ける,助ける,動詞 一般 * * 下一段-カ行 連用形-一般,3,1
回戦,回戦,回戦,接尾辞 名詞的 助数詞 * * *,3,1
奴,奴,奴,名詞 普通名詞 一般 * * *,3,1
心,心,心,名詞 普通名詞 サ変可能 * * *,3,1
持久力,持久力,持久力,名詞 普通名詞 一般 * * *,3,1
攻撃力,攻撃力,攻撃力,名詞 普通名詞 一般 * * *,3,1
数,数,数,名詞 普通名詞 一般 * * *,3,1
機,機,機,名詞 普通名詞 助数詞可能 * * *,3,1
湯宮,湯宮,湯宮,名詞 固有名詞 人名 姓 * *,3,1
百,百,100,名詞 数詞 * * * *,3,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,3,1
誰,誰,誰,代名詞 * * * * *,3,1
鋼,鋼,鋼,接頭辞 * * * * *,3,1
あ,あ,あー,感動詞 フィラー * * * *,2,1
あぁ,あぁ,ああ,感動詞 一般 * * * *,2,1
あああ,あああ,ああ,感動詞 一般 * * * *,2,1
い,い,いー,感動詞 フィラー * * * *,2,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,2,1
いく,いく,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,2,1
いけ,いく,行く,動詞 非自立可能 * * 五段-カ行 命令形,2,1
うるせえ,うるさい,煩い,形容詞 一般 * * 形容詞 終止形-一般,2,1
えっ,えっ,えっ,感動詞 一般 * * * *,2,1
えっと,えっと,えーと,感動詞 フィラー * * * *,2,1
おぼえ,おぼえる,覚える,動詞 一般 * * 下一段-ア行 連用形-一般,2,1
お礼,お礼,お礼,名詞 普通名詞 一般 * * *,2,1
きゅうり,きゅうり,胡瓜,名詞 普通名詞 一般 * * *,2,1
きりょく,きりょく,気力,名詞 普通名詞 一般 * * *,2,1
ぎ,ぎ,ぎ,名詞 普通名詞 一般 * * *,2,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,2,1
ご,ご,ご,名詞 普通名詞 副詞可能 * * *,2,1
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,2,1
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,2,1
しい,しい,しい,名詞 普通名詞 一般 * * *,2,1
しか,しか,しか,助詞 副助詞 * * * *,2,1
じ,じ,じ,接尾辞 名詞的 一般 * * *,2,1
じゃ,じゃ,で,助詞 格助詞 * * * *,2,1
じゃ,じゃ,で,接続詞 * * * * *,2,1
じゃあ,じゃあ,で,助詞 格助詞 * * * *,2,1
すぎ,すぎる,過ぎる,動詞 非自立可能 * * 上一段-ガ行 連用形-一般,2,1
すこ,すく,すく,動詞 一般 * * 五段-カ行 意志推量形,2,1
すみ,すむ,すむ,動詞 一般 * * 五段-マ行 連用形-一般,2,1
ず,ぬ,ず,助動詞 * * * 助動詞-ヌ 連用形-一般,2,1
そんな,そんな,そんな,形状詞 一般 * * * *,2,1
ただし,ただし,但し,接続詞 * * * * *,2,1
だけ,だけ,だけ,助詞 副助詞 * * * *,2,1
だっ,だっ,だっ,副詞 * * * * *,2,1
だァ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2,1
ちゃ,ちゃ,で,助詞 格助詞 * * * *,2,1
ちゃう,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 終止形-一般,2,1
つ,つ,つ,助詞 副助詞 * * * *,2,1
つて,つて,伝,名詞 普通名詞 一般 * * *,2,1
て,てる,てる,助動詞 * * * 下一段-タ行 連体形-省略,2,1
てろ,てる,てる,助動詞 * * * 下一段-タ行 命令形,2,1
てん,てる,てる,助動詞 * * * 下一段-タ行 連体形-撥音便,2,1
で,で,で,助詞 接続助詞 * * * *,2,1
でっかい,でっかい,でかい,形容詞 一般 * * 形容詞 連体形-一般,2,1
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,2,1
とっとと,とっとと,とっとと,副詞 * * * * *,2,1
なぁ,なぁ,な,助詞 終助詞 * * * *,2,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,2,1
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,2,1
なかっ,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-促音便,2,1
なきゃ,ない,ない,助動詞 * * * 助動詞-ナイ 仮定形-融合,2,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,2,1
なり,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,2,1
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,2,1
なれ,なれる,なれる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,2,1
なん,なん,何,代名詞 * * * * *,2,1
ひきょう,ひきょう,卑怯,名詞 普通名詞 形状詞可能 * * *,2,1
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,2,1
まで,まで,まで,助詞 副助詞 * * * *,2,1
もん,もん,もん,名詞 普通名詞 一般 * * *,2,1
やがっ,やがる,やがる,助動詞 * * * 五段-ラ行 連用形-促音便,2,1
やら,やら,やら,助詞 副助詞 * * * *,2,1
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,2,1
よっ,よっ,よっ,感動詞 一般 * * * *,2,1
ろっ,ろっ,六,名詞 数詞 * * * *,2,1
ん,ん,んっ,感動詞 一般 * * * *,2,1
ィ,ィ,い,助詞 終助詞 * * * *,2,1
ウ,ウ,ウ,名詞 普通名詞 一般 * * *,2,1
エイト,エイト,エイト,名詞 普通名詞 一般 * * *,2,1
キョウヤ,キョウヤ,キョウヤ,名詞 固有名詞 人名 一般 * *,2,1
ギンガ,ギンガ,銀河,名詞 普通名詞 一般 * * *,2,1
ググ,ググ,ぐぐ,副詞 * * * * *,2,1
ゴ,ゴ,ご,名詞 普通名詞 一般 * * *,2,1
ストームペガシス,ストームペガシス,ストームペガシス,名詞 普通名詞 一般 * * *,2,1
フン,フン,糞,名詞 普通名詞 一般 * * *,2,1
ベイブレード,ベイブレード,ベイブレード,名詞 固有名詞 一般 * * *,2,1
ベンケイ,ベンケイ,ベンケイ,名詞 固有名詞 人名 一般 * *,2,1
