Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,553,5
て,て,て,助詞 接続助詞 * * * *,535,5
に,に,に,助詞 格助詞 * * * *,527,5
を,を,を,助詞 格助詞 * * * *,395,5
は,は,は,助詞 係助詞 * * * *,393,5
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,378,5
が,が,が,助詞 格助詞 * * * *,366,5
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,263,5
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,258,5
と,と,と,助詞 格助詞 * * * *,247,5
で,で,で,助詞 格助詞 * * * *,242,5
さん,さん,さん,接尾辞 名詞的 一般 * * *,230,5
よ,よ,よ,助詞 終助詞 * * * *,226,5
も,も,も,助詞 係助詞 * * * *,207,5
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,198,5
ん,ん,の,助詞 準体助詞 * * * *,190,5
の,の,の,助詞 準体助詞 * * * *,158,5
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,122,5
か,か,か,助詞 終助詞 * * * *,121,5
か,か,か,助詞 副助詞 * * * *,119,5
〜,〜,〜,補助記号 一般 * * * *,115,5
から,から,から,助詞 接続助詞 * * * *,114,5
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,111,5
ね,ね,ね,助詞 終助詞 * * * *,109,5
って,って,って,助詞 副助詞 * * * *,102,5
猫,猫,猫,名詞 普通名詞 一般 * * *,90,3
それ,それ,其れ,代名詞 * * * * *,85,5
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,83,5
和香,和香,和香,名詞 固有名詞 人名 名 * *,80,2
けど,けど,けれど,助詞 接続助詞 * * * *,70,5
こと,こと,こと,名詞 普通名詞 一般 * * *,70,5
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,68,5
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,67,5
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,65,5
その,その,其の,連体詞 * * * * *,62,5
この,この,此の,連体詞 * * * * *,59,5
な,な,な,助詞 終助詞 * * * *,59,5
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,58,5
