Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1776,25
は,は,は,助詞 係助詞 * * * *,1299,25
に,に,に,助詞 格助詞 * * * *,1281,25
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1192,25
を,を,を,助詞 格助詞 * * * *,1000,25
が,が,が,助詞 格助詞 * * * *,974,25
て,て,て,助詞 接続助詞 * * * *,966,25
で,で,で,助詞 格助詞 * * * *,640,25
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,615,25
も,も,も,助詞 係助詞 * * * *,595,25
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,575,25
と,と,と,助詞 格助詞 * * * *,524,25
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,521,25
ん,ん,の,助詞 準体助詞 * * * *,503,25
よ,よ,よ,助詞 終助詞 * * * *,489,25
〜,〜,〜,補助記号 一般 * * * *,386,25
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,355,25
の,の,の,助詞 準体助詞 * * * *,336,25
か,か,か,助詞 終助詞 * * * *,309,25
って,って,って,助詞 副助詞 * * * *,296,25
俺,俺,俺,代名詞 * * * * *,295,25
ね,ね,ね,助詞 終助詞 * * * *,288,25
ハル,ハル,ハル,名詞 固有名詞 人名 名 * *,288,25
こと,こと,こと,名詞 普通名詞 一般 * * *,272,25
な,な,な,助詞 終助詞 * * * *,268,25
か,か,か,助詞 副助詞 * * * *,251,25
ワス,ワス,ワス,名詞 普通名詞 一般 * * *,231,19
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,230,25
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,223,25
僕,僕,僕,代名詞 * * * * *,200,25
超,超,超,接頭辞 * * * * *,195,23
なん,なん,何,代名詞 * * * * *,189,25
これ,これ,此れ,代名詞 * * * * *,186,25
検索,検索,検索,名詞 普通名詞 サ変可能 * * *,186,25
たち,たち,達,接尾辞 名詞的 一般 * * *,183,25
それ,それ,其れ,代名詞 * * * * *,180,25
この,この,此の,連体詞 * * * * *,172,25
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,172,22
お前,お前,御前,代名詞 * * * * *,170,24
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,162,25
うん,うん,うん,感動詞 一般 * * * *,160,25
エリ,エリ,襟,名詞 普通名詞 一般 * * *,158,20
お,お,御,接頭辞 * * * * *,156,24
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,155,24
から,から,から,助詞 接続助詞 * * * *,150,25
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,147,25
の,の,の,助詞 終助詞 * * * *,145,23
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,144,23
ノ,ノ,の,助詞 格助詞 * * * *,135,16
人工知能,人工知能,人工知能,名詞 普通名詞 一般 * * *,133,24
そう,そう,そう,副詞 * * * * *,132,25
私,私,私,代名詞 * * * * *,132,22
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,131,25
何,何,何,代名詞 * * * * *,129,25
どう,どう,どう,副詞 * * * * *,121,24
レる,レる,れる,助動詞 * * * 助動詞-レル 終止形-一般,120,16
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,116,24
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,115,25
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,114,25
さん,さん,さん,接尾辞 名詞的 一般 * * *,114,19
から,から,から,助詞 格助詞 * * * *,113,25
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,113,22
あ,あ,あっ,感動詞 一般 * * * *,109,25
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,108,25
今,今,今,名詞 普通名詞 副詞可能 * * *,106,25
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,106,24
ノレ,ノレ,ノレ,名詞 普通名詞 一般 * * *,106,18
その,その,其の,連体詞 * * * * *,105,24
アストラ,アストラ,アストラ,名詞 普通名詞 一般 * * *,105,17
虎次郎,虎次郎,虎次郎,名詞 固有名詞 人名 名 * *,103,19
ば,ば,ば,助詞 接続助詞 * * * *,99,22
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,97,20
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,92,25
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,91,23
し,し,し,助詞 接続助詞 * * * *,91,22
ネット,ネット,ネット,名詞 普通名詞 一般 * * *,90,25
けど,けど,けれど,助詞 接続助詞 * * * *,88,25
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,87,25
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,87,25
ここ,ここ,此処,代名詞 * * * * *,85,25
だけ,だけ,だけ,助詞 副助詞 * * * *,85,25
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,85,24
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,84,24
えっ,えっ,えっ,感動詞 一般 * * * *,84,22
エリ,エリ,エリ,名詞 固有名詞 人名 一般 * *,84,18
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,82,23
君,君,君,接尾辞 名詞的 一般 * * *,80,17
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,79,23
あっ,あっ,あっ,感動詞 一般 * * * *,79,22
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,78,25
え,え,えっ,感動詞 一般 * * * *,77,22
そんな,そんな,そんな,連体詞 * * * * *,76,24
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,76,23
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,74,23
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,74,21
あの,あの,彼の,連体詞 * * * * *,73,23
やつ,やつ,奴,名詞 普通名詞 一般 * * *,73,20
手,手,手,名詞 普通名詞 助数詞可能 * * *,70,25
で,で,で,助詞 接続助詞 * * * *,70,23
うわ〜,うわ〜,うわ,感動詞 一般 * * * *,70,19
様,様,様,接尾辞 名詞的 一般 * * *,70,19
まで,まで,まで,助詞 副助詞 * * * *,69,22
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,68,23
っ,っ,っ,補助記号 一般 * * * *,68,22
なんて,なんて,なんて,助詞 副助詞 * * * *,67,25
海,海,海,名詞 普通名詞 一般 * * *,67,25
誰,誰,誰,代名詞 * * * * *,67,19
そして,そして,そして,接続詞 * * * * *,66,25
ため,ため,為,名詞 普通名詞 副詞可能 * * *,66,25
はじめ,はじめ,はじめ,名詞 普通名詞 副詞可能 * * *,66,9
合体,合体,合体,名詞 普通名詞 サ変可能 * * *,65,16
ハァ,ハァ,はあ,感動詞 一般 * * * *,65,14
わ,わ,わ,助詞 終助詞 * * * *,64,18
レイ,レイ,レイ,名詞 固有名詞 一般 * * *,63,14
力,力,力,名詞 普通名詞 一般 * * *,62,23
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,62,22
年,年,年,名詞 普通名詞 助数詞可能 * * *,60,24
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,60,21
もう,もう,もう,副詞 * * * * *,60,21
ウイルス,ウイルス,ウイルス,名詞 普通名詞 一般 * * *,59,24
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,59,23
と,と,と,助詞 接続助詞 * * * *,59,23
ら,ら,等,接尾辞 名詞的 一般 * * *,59,21
ああ,ああ,ああ,感動詞 一般 * * * *,58,21
花嵐,花嵐,花嵐,名詞 普通名詞 一般 * * *,58,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,56,22
極,極,極,名詞 普通名詞 一般 * * *,56,8
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,55,22
ん,ん,んっ,感動詞 一般 * * * *,55,21
勇仁,勇仁,勇仁,名詞 固有名詞 人名 名 * *,55,8
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,53,23
なに,なに,何,代名詞 * * * * *,53,21
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,53,18
はい,はい,はい,感動詞 一般 * * * *,53,17
モンスター,モンスター,モンスター,名詞 普通名詞 一般 * * *,52,25
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,51,22
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,50,20
どこ,どこ,どこ,代名詞 * * * * *,50,19
ミエーヌモン,ミエーヌモン,ミエーヌモン,名詞 普通名詞 一般 * * *,50,13
亜衣,亜衣,亜衣,名詞 固有名詞 人名 名 * *,50,13
人,人,人,接尾辞 名詞的 一般 * * *,49,19
世界,世界,世界,名詞 普通名詞 一般 * * *,49,17
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,48,19
新海,新海,新海,名詞 固有名詞 人名 姓 * *,47,25
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,47,23
･,・,・,補助記号 一般 * * * *,47,9
あれ,あれ,彼れ,代名詞 * * * * *,46,20
できる,できる,出来る,動詞 非自立可能 * * 上一段-カ行 終止形-一般,45,24
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,45,16
エリ,エリ,エリ,名詞 固有名詞 人名 名 * *,45,14
よう,よう,様,形状詞 助動詞語幹 * * * *,44,22
あいつ,あいつ,彼奴,代名詞 * * * * *,44,20
へ,へ,へ,助詞 格助詞 * * * *,44,19
気,気,気,名詞 普通名詞 一般 * * *,44,17
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,43,22
とき,とき,時,名詞 普通名詞 副詞可能 * * *,43,20
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,42,20
が,が,が,助詞 接続助詞 * * * *,42,17
日,日,日,名詞 普通名詞 副詞可能 * * *,41,25
絶対,絶対,絶対,名詞 普通名詞 副詞可能 * * *,41,20
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,40,19
中,中,中,名詞 普通名詞 副詞可能 * * *,40,19
う,う,うう,感動詞 一般 * * * *,40,18
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,40,17
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,40,15
主人公,主人公,主人公,名詞 普通名詞 一般 * * *,40,11
貴様,貴様,貴様,代名詞 * * * * *,39,25
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,39,19
わかっ,わかる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,39,18
あなた,あなた,貴方,代名詞 * * * * *,39,16
あれ,あれ,あれ,感動詞 一般 * * * *,38,20
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,38,20
体,体,体,名詞 普通名詞 助数詞可能 * * *,38,20
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,38,19
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,38,19
済み,済み,済み,接尾辞 名詞的 一般 * * *,37,25
いく,いく,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,37,19
あぁ,あぁ,ああ,感動詞 一般 * * * *,37,18
人,人,人,名詞 普通名詞 一般 * * *,37,17
すべて,すべて,全て,名詞 普通名詞 副詞可能 * * *,37,15
人間,人間,人間,名詞 普通名詞 一般 * * *,37,14
テラ,テラ,テラ,名詞 普通名詞 一般 * * *,37,2
考え,考える,考える,動詞 一般 * * 下一段-ア行 連用形-一般,36,25
あ〜,あ〜,ああ,感動詞 一般 * * * *,36,16
こんな,こんな,こんな,連体詞 * * * * *,36,15
ハックモン,ハックモン,ハックモン,名詞 普通名詞 一般 * * *,36,11
姿,姿,姿,名詞 普通名詞 一般 * * *,35,24
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,35,17
結果,結果,結果,名詞 普通名詞 副詞可能 * * *,34,25
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,34,19
ちょっと,ちょっと,一寸,副詞 * * * * *,34,17
う,う,うー,感動詞 フィラー * * * *,34,14
超,超,超,接尾辞 名詞的 一般 * * *,34,14
数,数,数,名詞 普通名詞 一般 * * *,33,25
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,33,20
よく,よく,良く,副詞 * * * * *,33,19
前,前,前,名詞 普通名詞 副詞可能 * * *,32,19
い,い,い,助詞 終助詞 * * * *,32,17
こっち,こっち,此方,代名詞 * * * * *,32,15
さ,さ,さ,助詞 終助詞 * * * *,32,15
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,32,14
出会っ,出会う,出会う,動詞 一般 * * 五段-ワア行 連用形-促音便,31,25
現実,現実,現実,名詞 普通名詞 一般 * * *,31,25
未来,未来,未来,名詞 普通名詞 一般 * * *,31,24
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,31,17
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,31,17
じゃあ,じゃあ,で,接続詞 * * * * *,31,16
ねえ,ねえ,ね,助詞 終助詞 * * * *,31,14
宇宙,宇宙,宇宙,名詞 普通名詞 一般 * * *,31,12
山,山,山,接尾辞 名詞的 一般 * * *,31,10
トキ,トキ,鴇,名詞 普通名詞 一般 * * *,31,2
ある,ある,或る,連体詞 * * * * *,30,24
べき,べし,べし,助動詞 * * * 文語助動詞-ベシ 連体形-一般,30,24
じゃ,じゃ,で,助詞 格助詞 * * * *,30,18
や,や,や,助詞 副助詞 * * * *,30,18
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,30,17
あ,あ,あー,感動詞 フィラー * * * *,30,16
行く,行く,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,30,16
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,30,15
フッ,フッ,ふっ,副詞 * * * * *,30,15
本当,本当,本当,名詞 普通名詞 一般 * * *,30,15
よ〜,よ〜,よ,助詞 終助詞 * * * *,30,14
レイ,レイ,レイ,名詞 普通名詞 一般 * * *,30,9
ノー,ノー,ノー,名詞 普通名詞 一般 * * *,29,18
能力,能力,能力,名詞 普通名詞 一般 * * *,29,18
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,29,17
もの,もの,物,名詞 普通名詞 サ変可能 * * *,29,17
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,29,16
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,29,16
うわっ,うわっ,うわ,感動詞 一般 * * * *,29,15
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,29,14
情報,情報,情報,名詞 普通名詞 一般 * * *,29,13
え〜っ,え〜っ,ええ,感動詞 一般 * * * *,29,12
センター,センター,センター,名詞 普通名詞 一般 * * *,29,10
人類,人類,人類,名詞 普通名詞 一般 * * *,28,24
生命体,生命体,生命体,名詞 普通名詞 一般 * * *,28,24
化,化,化,接尾辞 名詞的 サ変可能 * * *,28,20
そこ,そこ,其処,代名詞 * * * * *,28,17
できる,できる,出来る,動詞 非自立可能 * * 上一段-カ行 連体形-一般,28,16
こそ,こそ,こそ,助詞 係助詞 * * * *,28,15
で,で,で,接続詞 * * * * *,28,15
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,28,15
こいつ,こいつ,此奴,代名詞 * * * * *,28,13
クッ,クッ,くっ,副詞 * * * * *,28,11
ワトソン,ワトソン,ワトソン,名詞 固有名詞 人名 一般 * *,28,8
ござる,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,28,4
マイク,マイク,マイク,名詞 普通名詞 一般 * * *,28,3
より,よる,よる,動詞 一般 * * 五段-ラ行 連用形-一般,27,24
動き,動く,動く,動詞 一般 * * 五段-カ行 連用形-一般,27,24
いや,いや,否,感動詞 一般 * * * *,27,20
くっ,くっ,くっ,感動詞 一般 * * * *,27,15
そう,そう,そう,形状詞 助動詞語幹 * * * *,27,15
しか,しか,しか,助詞 副助詞 * * * *,27,13
テラーモン,テラーモン,テラーモン,名詞 普通名詞 一般 * * *,27,2
クリスマス,クリスマス,クリスマス,名詞 普通名詞 一般 * * *,27,1
実体化,実体化,実体化,名詞 普通名詞 一般 * * *,26,25
中学,中学,中学,名詞 普通名詞 一般 * * *,26,24
変え,変える,変える,動詞 一般 * * 下一段-ア行 連用形-一般,26,24
知能,知能,知能,名詞 普通名詞 一般 * * *,26,24
自ら,自ら,自ら,名詞 普通名詞 副詞可能 * * *,26,24
行動,行動,行動,名詞 普通名詞 サ変可能 * * *,26,24
探し,探す,探す,動詞 一般 * * 五段-サ行 連用形-一般,26,20
持つ,持つ,持つ,動詞 一般 * * 五段-タ行 連体形-一般,26,18
まだ,まだ,未だ,副詞 * * * * *,26,14
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,26,14
ほんと,ほんと,本当,名詞 普通名詞 一般 * * *,26,13
備え,備える,備える,動詞 一般 * * 下一段-ア行 連用形-一般,25,24
深く,深い,深い,形容詞 一般 * * 形容詞 連用形-一般,25,24
られ,られる,られる,助動詞 * * * 助動詞-レル 連用形-一般,25,16
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,25,15
自分,自分,自分,名詞 普通名詞 一般 * * *,25,14
ちゃう,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 終止形-一般,25,13
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,25,13
モニタ,モニタ,モニター,名詞 普通名詞 一般 * * *,25,11
サクシモン,サクシモン,サクシモン,名詞 普通名詞 一般 * * *,25,6
