Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2693,51
は,は,は,助詞 係助詞 * * * *,2469,51
に,に,に,助詞 格助詞 * * * *,2424,51
て,て,て,助詞 接続助詞 * * * *,2408,51
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1904,51
〜,〜,〜,補助記号 一般 * * * *,1902,51
を,を,を,助詞 格助詞 * * * *,1849,51
が,が,が,助詞 格助詞 * * * *,1793,51
も,も,も,助詞 係助詞 * * * *,1556,51
よ,よ,よ,助詞 終助詞 * * * *,1477,51
で,で,で,助詞 格助詞 * * * *,1159,51
と,と,と,助詞 格助詞 * * * *,934,51
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,909,51
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,874,51
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,874,51
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,849,51
ね,ね,ね,助詞 終助詞 * * * *,821,51
プリキュア,プリキュア,プリキュア,名詞 固有名詞 一般 * * *,817,51
の,の,の,助詞 準体助詞 * * * *,813,51
わ,わ,わ,助詞 終助詞 * * * *,769,51
ん,ん,の,助詞 準体助詞 * * * *,763,51
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,748,49
わたし,わたし,私,代名詞 * * * * *,715,49
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,599,51
こと,こと,こと,名詞 普通名詞 一般 * * *,596,51
な,な,な,助詞 終助詞 * * * *,535,51
って,って,って,助詞 副助詞 * * * *,530,51
たち,たち,達,接尾辞 名詞的 一般 * * *,530,48
か,か,か,助詞 終助詞 * * * *,516,51
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,492,51
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,462,51
から,から,から,助詞 接続助詞 * * * *,460,51
の,の,の,助詞 終助詞 * * * *,448,51
キュア,キュア,キュア,名詞 普通名詞 一般 * * *,448,51
あっ,あっ,あっ,感動詞 一般 * * * *,434,51
うん,うん,うん,感動詞 一般 * * * *,424,50
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,419,51
か,か,か,助詞 副助詞 * * * *,418,51
お,お,御,接頭辞 * * * * *,410,47
何,何,何,代名詞 * * * * *,393,51
愛,愛,愛,名詞 普通名詞 一般 * * *,389,51
チョイ,チョイ,ちょい,副詞 * * * * *,377,29
めぐみ,めぐみ,恵み,名詞 普通名詞 一般 * * *,375,48
ひめ,ひめ,ひめ,名詞 固有名詞 人名 名 * *,373,44
サイアーク,サイアーク,サイアーク,名詞 普通名詞 一般 * * *,373,41
さま,さま,様,接尾辞 名詞的 一般 * * *,361,46
これ,これ,此れ,代名詞 * * * * *,344,51
それ,それ,其れ,代名詞 * * * * *,330,51
幸せ,幸せ,幸せ,名詞 普通名詞 形状詞可能 * * *,322,50
この,この,此の,連体詞 * * * * *,320,50
ラブリー,ラブリー,ラブリー,名詞 普通名詞 一般 * * *,316,51
そう,そう,そう,副詞 * * * * *,310,50
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,297,42
