Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,244,1
は,は,は,助詞 係助詞 * * * *,243,1
に,に,に,助詞 格助詞 * * * *,214,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,205,1
て,て,て,助詞 接続助詞 * * * *,204,1
を,を,を,助詞 格助詞 * * * *,204,1
〜,〜,〜,補助記号 一般 * * * *,195,1
が,が,が,助詞 格助詞 * * * *,162,1
よ,よ,よ,助詞 終助詞 * * * *,106,1
も,も,も,助詞 係助詞 * * * *,97,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,95,1
か,か,か,助詞 終助詞 * * * *,88,1
の,の,の,助詞 準体助詞 * * * *,80,1
と,と,と,助詞 格助詞 * * * *,78,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,76,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,72,1
で,で,で,助詞 格助詞 * * * *,69,1
な,な,な,助詞 終助詞 * * * *,61,1
ん,ん,の,助詞 準体助詞 * * * *,61,1
アレン,アレン,アレン,名詞 固有名詞 人名 一般 * *,54,1
何,何,何,代名詞 * * * * *,54,1
どう,どう,どう,副詞 * * * * *,46,1
ね,ね,ね,助詞 終助詞 * * * *,46,1
こと,こと,こと,名詞 普通名詞 一般 * * *,45,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,45,1
ハイタカ,ハイタカ,はいたか,名詞 普通名詞 一般 * * *,45,1
テナー,テナー,テナー,名詞 普通名詞 一般 * * *,44,1
テルー,テルー,テルー,名詞 普通名詞 一般 * * *,40,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,39,1
魔法,魔法,魔法,名詞 普通名詞 一般 * * *,36,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,35,1
その,その,其の,連体詞 * * * * *,34,1
お,お,御,接頭辞 * * * * *,33,1
この,この,此の,連体詞 * * * * *,33,1
クモ,クモ,蜘蛛,名詞 普通名詞 一般 * * *,32,1
わ,わ,わ,助詞 終助詞 * * * *,31,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,31,1
私,私,私,代名詞 * * * * *,30,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,29,1
あの,あの,彼の,連体詞 * * * * *,28,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,28,1
から,から,から,助詞 接続助詞 * * * *,27,1
僕,僕,僕,代名詞 * * * * *,27,1
命,命,命,名詞 普通名詞 一般 * * *,27,1
の,の,の,助詞 終助詞 * * * *,26,1
ウサギ,ウサギ,兎,名詞 普通名詞 一般 * * *,26,1
あっ,あっ,あっ,感動詞 一般 * * * *,25,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,24,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,24,1
ハァ,ハァ,はあ,感動詞 一般 * * * *,24,1
使い,使い,使い,名詞 普通名詞 一般 * * *,24,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,23,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,23,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,23,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,23,1
そう,そう,そう,副詞 * * * * *,22,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,22,1
お前,お前,御前,代名詞 * * * * *,21,1
ここ,ここ,此処,代名詞 * * * * *,20,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,20,1
あなた,あなた,貴方,代名詞 * * * * *,19,1
か,か,か,助詞 副助詞 * * * *,19,1
が,が,が,助詞 接続助詞 * * * *,19,1
それ,それ,其れ,代名詞 * * * * *,19,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,19,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,18,1
コ,コ,こ,名詞 普通名詞 一般 * * *,18,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,17,1
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,17,1
って,って,って,助詞 副助詞 * * * *,17,1
ら,ら,等,接尾辞 名詞的 一般 * * *,17,1
様,様,様,接尾辞 名詞的 一般 * * *,17,1
い,い,い,助詞 終助詞 * * * *,16,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,16,1
うっ,うっ,うう,感動詞 一般 * * * *,16,1
から,から,から,助詞 格助詞 * * * *,16,1
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,16,1
風,風,風,名詞 普通名詞 一般 * * *,16,1
あ,あ,あっ,感動詞 一般 * * * *,15,1
あんた,あんた,貴方,代名詞 * * * * *,15,1
で,で,で,助詞 接続助詞 * * * *,15,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,14,1
いや,いや,否,感動詞 一般 * * * *,14,1
もう,もう,もう,副詞 * * * * *,14,1
君,君,君,代名詞 * * * * *,14,1
女,女,女,名詞 普通名詞 一般 * * *,14,1
心,心,心,名詞 普通名詞 サ変可能 * * *,14,1
手,手,手,名詞 普通名詞 助数詞可能 * * *,14,1
来る,来る,来る,動詞 非自立可能 * * カ行変格 終止形-一般,14,1
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,13,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,13,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,13,1
よう,よう,様,形状詞 助動詞語幹 * * * *,13,1
人,人,人,名詞 普通名詞 一般 * * *,13,1
人間,人間,人間,名詞 普通名詞 一般 * * *,13,1
名,名,名,名詞 普通名詞 一般 * * *,13,1
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,13,1
死,死,死,名詞 普通名詞 一般 * * *,13,1
自分,自分,自分,名詞 普通名詞 一般 * * *,13,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,12,1
これ,これ,此れ,代名詞 * * * * *,12,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,12,1
なら,なる,成る,動詞 非自立可能 * * 五段-ラ行 未然形-一般,12,1
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,12,1
ハッ,ハッ,はっ,感動詞 一般 * * * *,12,1
世界,世界,世界,名詞 普通名詞 一般 * * *,12,1
光,光,光,名詞 普通名詞 一般 * * *,12,1
竜,竜,竜,名詞 普通名詞 一般 * * *,12,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,11,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,11,1
ため,ため,為,名詞 普通名詞 副詞可能 * * *,11,1
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,11,1
など,など,など,助詞 副助詞 * * * *,11,1
はい,はい,はい,感動詞 一般 * * * *,11,1
人,人,人,接尾辞 名詞的 一般 * * *,11,1
今,今,今,名詞 普通名詞 副詞可能 * * *,11,1
大賢,大賢,大賢,名詞 普通名詞 一般 * * *,11,1
永遠,永遠,永遠,名詞 普通名詞 一般 * * *,11,1
顔,顔,顔,名詞 普通名詞 一般 * * *,11,1
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,10,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,10,1
さぁ,さぁ,さ,助詞 終助詞 * * * *,10,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,10,1
だけ,だけ,だけ,助詞 副助詞 * * * *,10,1
ば,ば,ば,助詞 接続助詞 * * * *,10,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,10,1
剣,剣,剣,名詞 普通名詞 一般 * * *,10,1
力,力,力,名詞 普通名詞 一般 * * *,10,1
均衡,均衡,均衡,名詞 普通名詞 一般 * * *,10,1
少し,少し,少し,副詞 * * * * *,10,1
真,真,真,名詞 普通名詞 一般 * * *,10,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,10,1
達,達,達,接尾辞 名詞的 一般 * * *,10,1
音,音,音,名詞 普通名詞 一般 * * *,10,1
さ,さ,さ,助詞 終助詞 * * * *,9,1
そなた,そなた,其方,代名詞 * * * * *,9,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,9,1
まで,まで,まで,助詞 副助詞 * * * *,9,1
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,9,1
わし,わし,わし,代名詞 * * * * *,9,1
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,9,1
男,男,男,名詞 普通名詞 一般 * * *,9,1
空,空,空,名詞 普通名詞 一般 * * *,9,1
連れ,連れる,連れる,動詞 一般 * * 下一段-ラ行 連用形-一般,9,1
闇,闇,闇,名詞 普通名詞 一般 * * *,9,1
ああっ,ああっ,ああ,感動詞 一般 * * * *,8,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,8,1
いえ,いえ,いえ,感動詞 一般 * * * *,8,1
いつ,いつ,いつ,代名詞 * * * * *,8,1
けど,けど,けれど,助詞 接続助詞 * * * *,8,1
すま,すむ,すむ,動詞 一般 * * 五段-マ行 未然形-一般,8,1
ちょっと,ちょっと,一寸,副詞 * * * * *,8,1
つもり,つもり,積もり,名詞 普通名詞 一般 * * *,8,1
なきゃ,ない,ない,助動詞 * * * 助動詞-ナイ 仮定形-融合,8,1
ほう,ほう,方,名詞 普通名詞 一般 * * *,8,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,8,1
死ん,死ぬ,死ぬ,動詞 一般 * * 五段-ナ行 連用形-撥音便,8,1
誰,誰,誰,代名詞 * * * * *,8,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,7,1
おい,おい,おい,感動詞 一般 * * * *,7,1
こんな,こんな,こんな,連体詞 * * * * *,7,1
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,7,1
そして,そして,そして,接続詞 * * * * *,7,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,7,1
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,7,1
どこ,どこ,どこ,代名詞 * * * * *,7,1
なんて,なんて,なんて,助詞 副助詞 * * * *,7,1
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,7,1
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,7,1
や,や,や,助詞 副助詞 * * * *,7,1
やめ,やめる,やめる,動詞 一般 * * 下一段-マ行 連用形-一般,7,1
やめろ,やめる,やめる,動詞 一般 * * 下一段-マ行 命令形,7,1
ヤァ,ヤァ,ヤァ,名詞 普通名詞 一般 * * *,7,1
レバンネン,レバンネン,レバンネン,名詞 普通名詞 一般 * * *,7,1
・,・,・,補助記号 一般 * * * *,7,1
不安,不安,不安,名詞 普通名詞 形状詞可能 * * *,7,1
中,中,中,名詞 普通名詞 副詞可能 * * *,7,1
大切,大切,大切,形状詞 一般 * * * *,7,1
