Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,109,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,105,2
の,の,の,助詞 格助詞 * * * *,105,2
て,て,て,助詞 接続助詞 * * * *,103,2
を,を,を,助詞 格助詞 * * * *,97,2
悪魔,悪魔,悪魔,名詞 普通名詞 一般 * * *,77,2
に,に,に,助詞 格助詞 * * * *,76,2
が,が,が,助詞 格助詞 * * * *,71,2
くん,くん,君,接尾辞 名詞的 一般 * * *,65,2
ん,ん,の,助詞 準体助詞 * * * *,51,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,47,2
たち,たち,達,接尾辞 名詞的 一般 * * *,46,2
と,と,と,助詞 格助詞 * * * *,44,2
も,も,も,助詞 係助詞 * * * *,41,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,40,2
の,の,の,助詞 準体助詞 * * * *,40,2
よ,よ,よ,助詞 終助詞 * * * *,40,2
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,26,2
か,か,か,助詞 終助詞 * * * *,25,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,25,2
で,で,で,助詞 格助詞 * * * *,25,2
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,24,2
何,何,何,代名詞 * * * * *,24,2
モン,モン,モン,名詞 普通名詞 一般 * * *,24,1
こと,こと,こと,名詞 普通名詞 一般 * * *,23,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,23,2
どう,どう,どう,副詞 * * * * *,21,2
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,20,2
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,18,2
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,18,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,18,2
か,か,か,助詞 副助詞 * * * *,17,2
で,で,で,助詞 接続助詞 * * * *,17,2
君,君,君,代名詞 * * * * *,17,2
ああ,ああ,ああ,感動詞 一般 * * * *,16,2
ね,ね,ね,助詞 終助詞 * * * *,16,2
そう,そう,そう,副詞 * * * * *,15,2
な,な,な,助詞 終助詞 * * * *,15,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,14,2
ぼく,ぼく,僕,代名詞 * * * * *,14,1
スフィンクス,スフィンクス,スフィンクス,名詞 普通名詞 一般 * * *,14,1
あ,あ,あっ,感動詞 一般 * * * *,13,2
この,この,此の,連体詞 * * * * *,12,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,12,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,12,2
僕,僕,僕,代名詞 * * * * *,12,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,11,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,11,2
もう,もう,もう,副詞 * * * * *,11,2
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,10,2
うわー,うわー,うわ,感動詞 一般 * * * *,10,2
って,って,って,助詞 副助詞 * * * *,10,2
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,10,2
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,10,2
学校,学校,学校,名詞 普通名詞 一般 * * *,10,2
百目,百目,百目,名詞 固有名詞 人名 姓 * *,10,2
魔力,魔力,魔力,名詞 普通名詞 一般 * * *,10,2
たましい,たましい,魂,名詞 普通名詞 一般 * * *,10,1
あなた,あなた,貴方,代名詞 * * * * *,9,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,9,2
これ,これ,此れ,代名詞 * * * * *,9,2
はい,はい,はい,感動詞 一般 * * * *,9,2
へ,へ,へ,助詞 格助詞 * * * *,9,2
まで,まで,まで,助詞 副助詞 * * * *,9,2
わ,わ,わ,助詞 終助詞 * * * *,9,2
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,9,2
見え,見える,見える,動詞 一般 * * 下一段-ア行 未然形-一般,9,2
サタン,サタン,サタン,名詞 普通名詞 一般 * * *,9,1
人形,人形,人形,名詞 普通名詞 一般 * * *,9,1
子ども,子ども,子供,名詞 普通名詞 一般 * * *,9,1
から,から,から,助詞 接続助詞 * * * *,8,2
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,8,2
それ,それ,其れ,代名詞 * * * * *,8,2
ため,ため,為,名詞 普通名詞 副詞可能 * * *,8,2
