Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
ブッダ,ブッダ,ブッダ,名詞 固有名詞 人名 一般 * *,354,1
イエス,イエス,イエス,名詞 固有名詞 人名 一般 * *,308,1
の,の,の,助詞 格助詞 * * * *,221,1
よ,よ,よ,助詞 終助詞 * * * *,210,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,196,1
て,て,て,助詞 接続助詞 * * * *,191,1
は,は,は,助詞 係助詞 * * * *,163,1
に,に,に,助詞 格助詞 * * * *,156,1
が,が,が,助詞 格助詞 * * * *,150,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,132,1
で,で,で,助詞 格助詞 * * * *,117,1
ね,ね,ね,助詞 終助詞 * * * *,108,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,103,1
か,か,か,助詞 終助詞 * * * *,99,1
も,も,も,助詞 係助詞 * * * *,95,1
〜,〜,〜,補助記号 一般 * * * *,88,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,85,1
の,の,の,助詞 準体助詞 * * * *,85,1
を,を,を,助詞 格助詞 * * * *,85,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,84,1
あっ,あっ,あっ,感動詞 一般 * * * *,83,1
ん,ん,の,助詞 準体助詞 * * * *,79,1
と,と,と,助詞 格助詞 * * * *,73,1
大輔,大輔,大輔,名詞 固有名詞 人名 名 * *,71,1
って,って,って,助詞 副助詞 * * * *,65,1
か,か,か,助詞 副助詞 * * * *,64,1
えっ,えっ,えっ,感動詞 一般 * * * *,63,1
うん,うん,うん,感動詞 一般 * * * *,60,1
私,私,私,代名詞 * * * * *,59,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,54,1
な,な,な,助詞 終助詞 * * * *,52,1
から,から,から,助詞 接続助詞 * * * *,48,1
何,何,何,代名詞 * * * * *,48,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,46,1
の,の,の,助詞 終助詞 * * * *,45,1
なん,なん,何,代名詞 * * * * *,44,1
お,お,御,接頭辞 * * * * *,43,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,42,1
どう,どう,どう,副詞 * * * * *,42,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,42,1
ああ,ああ,ああ,感動詞 一般 * * * *,41,1
そう,そう,そう,副詞 * * * * *,40,1
幸平,幸平,幸平,名詞 固有名詞 人名 名 * *,40,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,39,1
けど,けど,けれど,助詞 接続助詞 * * * *,37,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,37,1
たち,たち,達,接尾辞 名詞的 一般 * * *,36,1
い,い,い,助詞 終助詞 * * * *,35,1
こと,こと,こと,名詞 普通名詞 一般 * * *,34,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,34,1
ん,ん,ん,助詞 格助詞 * * * *,33,1
それ,それ,其れ,代名詞 * * * * *,32,1
もう,もう,もう,副詞 * * * * *,32,1
良太,良太,良太,名詞 固有名詞 人名 名 * *,31,1
音,音,音,名詞 普通名詞 一般 * * *,31,1
この,この,此の,連体詞 * * * * *,30,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,27,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,26,1
ね〜,ね〜,ね,助詞 終助詞 * * * *,26,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,25,1
君,君,君,代名詞 * * * * *,25,1
これ,これ,此れ,代名詞 * * * * *,24,1
ちょっと,ちょっと,一寸,副詞 * * * * *,24,1
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,23,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,23,1
なんて,なんて,なんて,助詞 副助詞 * * * *,23,1
ここ,ここ,此処,代名詞 * * * * *,22,1
し,し,し,助詞 接続助詞 * * * *,22,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,22,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,21,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,21,1
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,21,1
あ〜,あ〜,ああ,感動詞 一般 * * * *,20,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,20,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,20,1
ホント,ホント,本当,名詞 普通名詞 一般 * * *,20,1
松田,松田,松田,名詞 固有名詞 人名 姓 * *,20,1
いや,いや,否,感動詞 一般 * * * *,19,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,19,1
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,18,1
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,18,1
人,人,人,名詞 普通名詞 一般 * * *,18,1
俺,俺,俺,代名詞 * * * * *,18,1
店主,店主,店主,名詞 普通名詞 一般 * * *,18,1
