Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,679,3
は,は,は,助詞 係助詞 * * * *,561,3
に,に,に,助詞 格助詞 * * * *,542,3
て,て,て,助詞 接続助詞 * * * *,418,3
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,406,3
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,398,3
を,を,を,助詞 格助詞 * * * *,395,3
が,が,が,助詞 格助詞 * * * *,385,3
金田一,金田一,金田一,名詞 固有名詞 人名 姓 * *,292,3
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,271,3
ん,ん,の,助詞 準体助詞 * * * *,231,3
も,も,も,助詞 係助詞 * * * *,215,3
と,と,と,助詞 格助詞 * * * *,202,3
で,で,で,助詞 格助詞 * * * *,191,3
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,189,3
の,の,の,助詞 準体助詞 * * * *,187,3
か,か,か,助詞 終助詞 * * * *,181,3
さん,さん,さん,接尾辞 名詞的 一般 * * *,180,3
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,169,3
よ,よ,よ,助詞 終助詞 * * * *,169,3
剣持,剣持,剣持,名詞 固有名詞 人名 姓 * *,148,3
美雪,美雪,美雪,名詞 固有名詞 人名 名 * *,131,3
こと,こと,こと,名詞 普通名詞 一般 * * *,127,3
この,この,此の,連体詞 * * * * *,126,3
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,126,3
あっ,あっ,あっ,感動詞 一般 * * * *,114,3
ね,ね,ね,助詞 終助詞 * * * *,98,3
か,か,か,助詞 副助詞 * * * *,92,3
な,な,な,助詞 終助詞 * * * *,89,3
何,何,何,代名詞 * * * * *,87,3
から,から,から,助詞 格助詞 * * * *,79,3
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,79,3
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,78,3
って,って,って,助詞 副助詞 * * * *,77,3
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,76,3
