Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,12556,22
は,は,は,助詞 係助詞 * * * *,11806,22
に,に,に,助詞 格助詞 * * * *,11250,22
を,を,を,助詞 格助詞 * * * *,10089,22
て,て,て,助詞 接続助詞 * * * *,9423,22
が,が,が,助詞 格助詞 * * * *,6682,22
と,と,と,助詞 格助詞 * * * *,6227,22
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,4603,22
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,4483,22
も,も,も,助詞 係助詞 * * * *,4298,22
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,3811,22
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,3613,22
の,の,の,助詞 準体助詞 * * * *,3144,22
で,で,で,助詞 格助詞 * * * *,3031,22
か,か,か,助詞 終助詞 * * * *,2733,22
こと,こと,こと,名詞 普通名詞 一般 * * *,2571,22
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,2519,22
が,が,が,助詞 接続助詞 * * * *,2080,22
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,2034,22
な,な,な,助詞 終助詞 * * * *,1984,22
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,1981,22
･,・,・,補助記号 一般 * * * *,1872,22
それ,それ,其れ,代名詞 * * * * *,1666,22
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,1492,22
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,1390,22
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,1341,22
その,その,其の,連体詞 * * * * *,1267,22
ば,ば,ば,助詞 接続助詞 * * * *,1231,22
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,1187,22
か,か,か,助詞 副助詞 * * * *,1176,22
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,1126,22
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,1104,22
ヤン,ヤン,ヤン,名詞 固有名詞 人名 一般 * *,1086,22
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,1072,22
帝国,帝国,帝国,名詞 普通名詞 一般 * * *,1061,22
お,お,御,接頭辞 * * * * *,1007,22
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,963,22
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,954,22
そう,そう,そう,副詞 * * * * *,929,22
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,891,22
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,884,22
から,から,から,助詞 格助詞 * * * *,880,22
この,この,此の,連体詞 * * * * *,875,22
私,私,私,代名詞 * * * * *,852,22
軍,軍,軍,名詞 普通名詞 一般 * * *,852,22
から,から,から,助詞 接続助詞 * * * *,847,22
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,845,22
ん,ん,の,助詞 準体助詞 * * * *,842,22
よう,よう,様,形状詞 助動詞語幹 * * * *,839,22
もの,もの,物,名詞 普通名詞 サ変可能 * * *,772,22
何,何,何,代名詞 * * * * *,766,22
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,760,22
ね,ね,ね,助詞 終助詞 * * * *,734,22
どう,どう,どう,副詞 * * * * *,700,22
ら,ら,等,接尾辞 名詞的 一般 * * *,675,22
カイザー,カイザー,カイザー,名詞 普通名詞 一般 * * *,663,16
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,656,22
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,646,22
提督,提督,提督,名詞 普通名詞 一般 * * *,625,21
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,623,22
敵,敵,敵,名詞 普通名詞 一般 * * *,621,22
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,615,22
これ,これ,此れ,代名詞 * * * * *,608,22
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,595,22
ラインハルト,ラインハルト,ラインハルト,名詞 固有名詞 人名 一般 * *,592,22
俺,俺,俺,代名詞 * * * * *,581,22
よ,よ,よ,助詞 終助詞 * * * *,577,22
同盟,同盟,同盟,名詞 普通名詞 サ変可能 * * *,575,22
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,566,22
陛下,陛下,陛下,名詞 普通名詞 一般 * * *,560,21
閣下,閣下,閣下,名詞 普通名詞 一般 * * *,556,22
艦隊,艦隊,艦隊,名詞 普通名詞 一般 * * *,525,22
