Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,946,13
は,は,は,助詞 係助詞 * * * *,701,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,559,13
に,に,に,助詞 格助詞 * * * *,554,13
て,て,て,助詞 接続助詞 * * * *,521,13
が,が,が,助詞 格助詞 * * * *,478,13
も,も,も,助詞 係助詞 * * * *,462,13
日向,日向,日向,名詞 普通名詞 一般 * * *,397,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,382,13
で,で,で,助詞 格助詞 * * * *,355,13
と,と,と,助詞 格助詞 * * * *,340,13
よ,よ,よ,助詞 終助詞 * * * *,335,13
か,か,か,助詞 終助詞 * * * *,303,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,298,13
を,を,を,助詞 格助詞 * * * *,292,13
ん,ん,の,助詞 準体助詞 * * * *,272,13
影山,影山,影山,名詞 固有名詞 人名 姓 * *,266,13
な,な,な,助詞 終助詞 * * * *,261,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,226,13
の,の,の,助詞 準体助詞 * * * *,207,13
音,音,音,名詞 普通名詞 一般 * * *,189,13
俺,俺,俺,代名詞 * * * * *,184,13
ね,ね,ね,助詞 終助詞 * * * *,181,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,180,13
か,か,か,助詞 副助詞 * * * *,172,13
って,って,って,助詞 副助詞 * * * *,172,13
〜,〜,〜,補助記号 一般 * * * *,170,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,154,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,150,13
こと,こと,こと,名詞 普通名詞 一般 * * *,146,13
･,・,・,補助記号 一般 * * * *,138,12
澤村,澤村,澤村,名詞 固有名詞 人名 姓 * *,132,11
田中,田中,田中,名詞 固有名詞 人名 姓 * *,131,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,124,13
笛,笛,笛,名詞 普通名詞 一般 * * *,119,11
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,115,13
西谷,西谷,西谷,名詞 固有名詞 人名 姓 * *,111,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,108,13
なん,なん,何,代名詞 * * * * *,107,13
から,から,から,助詞 接続助詞 * * * *,101,13
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,100,13
あっ,あっ,あっ,感動詞 一般 * * * *,99,13
けど,けど,けれど,助詞 接続助詞 * * * *,97,13
お前,お前,御前,代名詞 * * * * *,96,13
東峰,東峰,東峰,名詞 固有名詞 地名 一般 * *,95,11
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,92,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,92,13
山口,山口,山口,名詞 固有名詞 人名 姓 * *,90,12
から,から,から,助詞 格助詞 * * * *,88,13
それ,それ,其れ,代名詞 * * * * *,88,13
はい,はい,はい,感動詞 一般 * * * *,87,13
んっ,んっ,んっ,感動詞 一般 * * * *,87,13
繋心,繋心,繋心,名詞 固有名詞 人名 名 * *,83,11
黄金,黄金,黄金,名詞 普通名詞 一般 * * *,82,8
お,お,御,接頭辞 * * * * *,80,13
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,80,13
今,今,今,名詞 普通名詞 副詞可能 * * *,80,13
ブロック,ブロック,ブロック,名詞 普通名詞 サ変可能 * * *,80,12
菅原,菅原,菅原,名詞 固有名詞 人名 姓 * *,80,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,79,13
月島,月島,月島,名詞 固有名詞 地名 一般 * *,79,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,78,13
あ,あ,あっ,感動詞 一般 * * * *,76,13
烏野,烏野,烏野,名詞 固有名詞 人名 姓 * *,75,13
川,川,川,名詞 普通名詞 一般 * * *,75,8
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,74,13
なあ,なあ,な,助詞 終助詞 * * * *,73,13
クッ,クッ,くっ,副詞 * * * * *,72,13
ああ,ああ,ああ,感動詞 一般 * * * *,71,13
ボール,ボール,ボール,名詞 普通名詞 一般 * * *,71,12
何,何,何,代名詞 * * * * *,70,13
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,69,13
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,68,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,68,13
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,65,13
し,し,し,助詞 接続助詞 * * * *,64,13
やつ,やつ,奴,名詞 普通名詞 一般 * * *,62,13
そう,そう,そう,副詞 * * * * *,62,12
