Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
よ,よ,よ,助詞 終助詞 * * * *,777,10
の,の,の,助詞 格助詞 * * * *,764,10
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,731,10
は,は,は,助詞 係助詞 * * * *,687,10
て,て,て,助詞 接続助詞 * * * *,670,10
に,に,に,助詞 格助詞 * * * *,530,10
ん,ん,の,助詞 準体助詞 * * * *,501,10
が,が,が,助詞 格助詞 * * * *,443,10
か,か,か,助詞 終助詞 * * * *,441,10
も,も,も,助詞 係助詞 * * * *,420,10
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,387,10
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,360,10
を,を,を,助詞 格助詞 * * * *,321,10
で,で,で,助詞 格助詞 * * * *,315,10
と,と,と,助詞 格助詞 * * * *,307,10
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,298,10
ね,ね,ね,助詞 終助詞 * * * *,275,10
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,245,10
〜,〜,〜,補助記号 一般 * * * *,240,10
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,237,10
な,な,な,助詞 終助詞 * * * *,218,10
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,205,10
犬,犬,犬,名詞 普通名詞 一般 * * *,198,10
金,金,金,接尾辞 名詞的 一般 * * *,196,10
アイリ,アイリ,アイリ,名詞 固有名詞 人名 名 * *,195,10
マリ,マリ,マリ,名詞 固有名詞 地名 国 * *,180,10
何,何,何,代名詞 * * * * *,174,10
か,か,か,助詞 副助詞 * * * *,151,10
健太郎,健太郎,健太郎,名詞 固有名詞 人名 名 * *,151,10
から,から,から,助詞 接続助詞 * * * *,150,10
チカ,チカ,チカ,名詞 固有名詞 人名 名 * *,145,10
こと,こと,こと,名詞 普通名詞 一般 * * *,144,10
この,この,此の,連体詞 * * * * *,144,10
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,143,10
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,142,10
リョウ,リョウ,リョウ,名詞 固有名詞 人名 名 * *,141,10
俺,俺,俺,代名詞 * * * * *,140,10
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,139,10
の,の,の,助詞 準体助詞 * * * *,135,10
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,131,10
って,って,って,助詞 副助詞 * * * *,128,10
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,123,10
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,115,10
