Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,2982,49
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2656,49
に,に,に,助詞 格助詞 * * * *,2519,49
の,の,の,助詞 格助詞 * * * *,2408,49
て,て,て,助詞 接続助詞 * * * *,2334,49
が,が,が,助詞 格助詞 * * * *,1909,49
を,を,を,助詞 格助詞 * * * *,1823,49
も,も,も,助詞 係助詞 * * * *,1459,49
よ,よ,よ,助詞 終助詞 * * * *,1342,49
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1274,49
で,で,で,助詞 格助詞 * * * *,1214,49
と,と,と,助詞 格助詞 * * * *,1145,49
か,か,か,助詞 終助詞 * * * *,1120,49
の,の,の,助詞 準体助詞 * * * *,1038,49
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1021,49
ん,ん,の,助詞 準体助詞 * * * *,1004,49
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,892,49
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,888,49
〜,〜,〜,補助記号 一般 * * * *,859,49
な,な,な,助詞 終助詞 * * * *,804,49
俺,俺,俺,代名詞 * * * * *,772,49
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,697,49
ね,ね,ね,助詞 終助詞 * * * *,684,49
こと,こと,こと,名詞 普通名詞 一般 * * *,629,49
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,584,49
って,って,って,助詞 副助詞 * * * *,570,49
たち,たち,達,接尾辞 名詞的 一般 * * *,550,49
か,か,か,助詞 副助詞 * * * *,521,49
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,491,48
どう,どう,どう,副詞 * * * * *,474,49
なん,なん,何,代名詞 * * * * *,460,49
何,何,何,代名詞 * * * * *,439,49
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,411,49
グレン,グレン,グレン,名詞 固有名詞 人名 一般 * *,399,48
そう,そう,そう,副詞 * * * * *,396,49
これ,これ,此れ,代名詞 * * * * *,378,49
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,374,49
それ,それ,其れ,代名詞 * * * * *,373,49
この,この,此の,連体詞 * * * * *,370,49
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,357,49
ヴィリウス,ヴィリウス,ヴィリウス,名詞 普通名詞 一般 * * *,355,45
ら,ら,等,接尾辞 名詞的 一般 * * *,344,48
から,から,から,助詞 接続助詞 * * * *,342,49
・,・,・,補助記号 一般 * * * *,336,45
お,お,御,接頭辞 * * * * *,329,49
お前,お前,御前,代名詞 * * * * *,318,49
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,312,49
ば,ば,ば,助詞 接続助詞 * * * *,304,48
さん,さん,さん,接尾辞 名詞的 一般 * * *,269,49
様,様,様,接尾辞 名詞的 一般 * * *,265,46
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,263,46
私,私,私,代名詞 * * * * *,261,46
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,256,47
から,から,から,助詞 格助詞 * * * *,253,48
チュウキ,チュウキ,チュウキ,名詞 普通名詞 一般 * * *,251,47
モード,モード,モード,名詞 普通名詞 一般 * * *,249,39
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,244,49
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,244,48
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,241,48
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,238,47
トクサ,トクサ,木賊,名詞 普通名詞 一般 * * *,235,47
ビーグ,ビーグ,ビーグ,名詞 普通名詞 一般 * * *,235,44
その,その,其の,連体詞 * * * * *,231,46
テンカイナイト,テンカイナイト,テンカイナイト,名詞 普通名詞 一般 * * *,230,45
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,226,49
ブレイヴン,ブレイヴン,ブレイヴン,名詞 普通名詞 一般 * * *,226,46
っ,っ,っ,補助記号 一般 * * * *,226,45
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,225,48
はぁ,はぁ,はあ,感動詞 一般 * * * *,225,43
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,223,47
けど,けど,けれど,助詞 接続助詞 * * * *,222,49
うん,うん,うん,感動詞 一般 * * * *,222,44
もう,もう,もう,副詞 * * * * *,215,49
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,214,47
セイラン,セイラン,セイラン,名詞 普通名詞 一般 * * *,210,49
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,206,48
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,206,45
キューブ,キューブ,キューブ,名詞 普通名詞 一般 * * *,204,41
人,人,人,接尾辞 名詞的 一般 * * *,202,43
スライガー,スライガー,スライガー,名詞 普通名詞 一般 * * *,196,38
の,の,の,助詞 終助詞 * * * *,192,46
ノックス,ノックス,ノックス,名詞 普通名詞 一般 * * *,191,37
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,190,45
ブライ,ブライ,ブライ,名詞 固有名詞 地名 一般 * *,186,36
玄,玄,玄,名詞 固有名詞 人名 姓 * *,185,28
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,184,44
ここ,ここ,此処,代名詞 * * * * *,182,46
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,179,47
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,177,48
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,172,46
勇者,勇者,勇者,名詞 普通名詞 一般 * * *,169,34
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,165,46
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,164,49
ベニ,ベニ,紅,名詞 普通名詞 一般 * * *,163,25
え,え,えっ,感動詞 一般 * * * *,162,45
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,161,46
うわ〜,うわ〜,うわ,感動詞 一般 * * * *,161,43
レディ,レディ,レディー,名詞 普通名詞 一般 * * *,161,37
わ,わ,わ,助詞 終助詞 * * * *,158,36
あっ,あっ,あっ,感動詞 一般 * * * *,156,45
君,君,君,接尾辞 名詞的 一般 * * *,156,41
よう,よう,様,形状詞 助動詞語幹 * * * *,155,44
ため,ため,為,名詞 普通名詞 副詞可能 * * *,154,43
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,154,42
世界,世界,世界,名詞 普通名詞 一般 * * *,153,39
今,今,今,名詞 普通名詞 副詞可能 * * *,149,46
あの,あの,彼の,連体詞 * * * * *,148,44
奴,奴,奴,名詞 普通名詞 一般 * * *,147,46
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,145,46
が,が,が,助詞 接続助詞 * * * *,145,45
へ,へ,へ,助詞 格助詞 * * * *,144,45
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,143,47
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,143,41
力,力,力,名詞 普通名詞 一般 * * *,143,41
僕,僕,僕,代名詞 * * * * *,142,40
ホワイト,ホワイト,ホワイト,名詞 普通名詞 一般 * * *,140,46
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,139,43
コンストラクション,コンストラクション,コンストラクション,名詞 普通名詞 一般 * * *,139,40
ドラゴン,ドラゴン,ドラゴン,名詞 普通名詞 一般 * * *,138,26
黒,黒,黒,名詞 普通名詞 一般 * * *,137,24
まで,まで,まで,助詞 副助詞 * * * *,136,44
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,132,42
なに,なに,何,代名詞 * * * * *,132,42
トリビュトン,トリビュトン,トリビュトン,名詞 普通名詞 一般 * * *,132,40
騎士,騎士,騎士,名詞 普通名詞 一般 * * *,132,25
で,で,で,助詞 接続助詞 * * * *,128,46
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,127,40
そんな,そんな,そんな,連体詞 * * * * *,126,42
だけ,だけ,だけ,助詞 副助詞 * * * *,125,43
地球,地球,地球,名詞 普通名詞 一般 * * *,125,30
あいつ,あいつ,彼奴,代名詞 * * * * *,124,40
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,124,34
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,119,45
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,119,44
もの,もの,物,名詞 普通名詞 サ変可能 * * *,118,41
ヴァローン,ヴァローン,ヴァローン,名詞 普通名詞 一般 * * *,117,39
どこ,どこ,どこ,代名詞 * * * * *,116,40
マイク,マイク,マイク,名詞 普通名詞 一般 * * *,114,5
テンカイドラゴン,テンカイドラゴン,テンカイドラゴン,名詞 普通名詞 一般 * * *,113,20
わかっ,わかる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,112,44
ござる,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,110,5
うお,うお,うお,名詞 固有名詞 人名 一般 * *,108,43
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,107,41
ライデン,ライデン,ライデン,名詞 普通名詞 一般 * * *,107,36
惑星,惑星,惑星,名詞 普通名詞 一般 * * *,107,36
皆,皆,皆,名詞 普通名詞 副詞可能 * * *,106,44
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,106,43
おう,おう,おお,感動詞 一般 * * * *,106,40
ドール,ドール,ドール,名詞 普通名詞 一般 * * *,106,36
なんて,なんて,なんて,助詞 副助詞 * * * *,105,43
あなた,あなた,貴方,代名詞 * * * * *,105,36
手,手,手,名詞 普通名詞 助数詞可能 * * *,104,39
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,103,42
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,103,41
あれ,あれ,彼れ,代名詞 * * * * *,103,40
ちょっと,ちょっと,一寸,副詞 * * * * *,103,40
し,し,し,助詞 接続助詞 * * * *,102,36
敵,敵,敵,名詞 普通名詞 一般 * * *,102,35
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,101,40
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,101,39
さ,さ,さ,助詞 終助詞 * * * *,100,36
また,また,又,接続詞 * * * * *,99,41
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,98,42
こんな,こんな,こんな,連体詞 * * * * *,96,39
えっ,えっ,えっ,感動詞 一般 * * * *,95,42
はい,はい,はい,感動詞 一般 * * * *,94,36
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,94,35
と,と,と,助詞 接続助詞 * * * *,93,43
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,92,39
じゃあ,じゃあ,で,接続詞 * * * * *,91,36
鍵,鍵,鍵,名詞 普通名詞 一般 * * *,91,15
ああ,ああ,ああ,感動詞 一般 * * * *,90,41
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,90,39
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,89,41
よし,よし,よし,名詞 普通名詞 一般 * * *,88,42
気,気,気,名詞 普通名詞 一般 * * *,88,41
こっち,こっち,此方,代名詞 * * * * *,88,34
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,87,41
我,我,我,代名詞 * * * * *,87,39
ガーディアン,ガーディアン,ガーディアン,名詞 普通名詞 一般 * * *,87,25
キイロ,キイロ,黄色,名詞 普通名詞 一般 * * *,87,6
テンカイフォートレス,テンカイフォートレス,テンカイフォートレス,名詞 普通名詞 一般 * * *,86,17
ホワイト,ホワイト,ホワイト,名詞 固有名詞 人名 一般 * *,84,27
うわっ,うわっ,うわ,感動詞 一般 * * * *,83,38
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,83,38
わけ,わけ,訳,名詞 普通名詞 一般 * * *,83,34
ほんと,ほんと,本当,名詞 普通名詞 一般 * * *,83,28
はっ,はっ,はっ,感動詞 一般 * * * *,82,33
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,81,39
誰,誰,誰,代名詞 * * * * *,79,37
そして,そして,そして,接続詞 * * * * *,78,38
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,78,35
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,78,32
は,は,はあ,感動詞 一般 * * * *,78,31
仲間,仲間,仲間,名詞 普通名詞 一般 * * *,77,28
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,76,36
ブロック,ブロック,ブロック,名詞 普通名詞 サ変可能 * * *,75,20
あぁ,あぁ,ああ,感動詞 一般 * * * *,74,35
ましょう,ます,ます,助動詞 * * * 助動詞-マス 意志推量形,74,33
前,前,前,名詞 普通名詞 副詞可能 * * *,74,30
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,74,27
化,化,化,接尾辞 名詞的 サ変可能 * * *,74,15
あ,あ,あっ,感動詞 一般 * * * *,73,38
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,73,37
こそ,こそ,こそ,助詞 係助詞 * * * *,73,34
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,73,34
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,73,33
さぁ,さぁ,さ,助詞 終助詞 * * * *,73,31
とき,とき,時,名詞 普通名詞 副詞可能 * * *,71,33
いや,いや,否,感動詞 一般 * * * *,70,38
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,70,35
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,70,33
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,70,30
いく,いく,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,69,32
ほう,ほう,方,名詞 普通名詞 一般 * * *,69,30
シグマ,シグマ,シグマ,記号 文字 * * * *,69,13
パパ,パパ,パパ,名詞 普通名詞 一般 * * *,68,16
まだ,まだ,未だ,副詞 * * * * *,67,36
まま,まま,侭,名詞 普通名詞 副詞可能 * * *,67,29
相手,相手,相手,名詞 普通名詞 一般 * * *,66,29
キミ,キミ,君,代名詞 * * * * *,66,28
次,次,次,名詞 普通名詞 一般 * * *,66,28
ヴィクリプス,ヴィクリプス,ヴィクリプス,名詞 普通名詞 一般 * * *,66,26
モンキング,モンキング,モンキング,名詞 普通名詞 一般 * * *,66,5
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,65,36
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,65,29
スペクトロス,スペクトロス,スペクトロス,名詞 普通名詞 一般 * * *,65,25
あんた,あんた,貴方,代名詞 * * * * *,65,24
合体,合体,合体,名詞 普通名詞 サ変可能 * * *,65,18
より,より,より,助詞 格助詞 * * * *,64,33
攻撃,攻撃,攻撃,名詞 普通名詞 サ変可能 * * *,64,28
パレス,パレス,パレス,名詞 普通名詞 一般 * * *,63,37
