Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,4937,49
・,・,・,補助記号 一般 * * * *,4609,49
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,3303,49
て,て,て,助詞 接続助詞 * * * *,3035,49
は,は,は,助詞 係助詞 * * * *,2886,49
に,に,に,助詞 格助詞 * * * *,2659,49
が,が,が,助詞 格助詞 * * * *,2412,49
よ,よ,よ,助詞 終助詞 * * * *,2238,49
も,も,も,助詞 係助詞 * * * *,2030,49
〜,〜,〜,補助記号 一般 * * * *,1792,49
ん,ん,の,助詞 準体助詞 * * * *,1671,49
で,で,で,助詞 格助詞 * * * *,1664,49
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1662,49
か,か,か,助詞 終助詞 * * * *,1484,49
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1413,49
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1390,49
を,を,を,助詞 格助詞 * * * *,1378,49
な,な,な,助詞 終助詞 * * * *,1196,49
と,と,と,助詞 格助詞 * * * *,1177,49
何,何,何,代名詞 * * * * *,1133,49
ね,ね,ね,助詞 終助詞 * * * *,1060,49
の,の,の,助詞 準体助詞 * * * *,1029,49
あっ,あっ,あっ,感動詞 一般 * * * *,929,49
お,お,御,接頭辞 * * * * *,885,49
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,882,49
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,876,49
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,839,48
って,って,って,助詞 副助詞 * * * *,812,49
か,か,か,助詞 副助詞 * * * *,799,49
うん,うん,うん,感動詞 一般 * * * *,786,49
久保,久保,久保,名詞 固有名詞 人名 姓 * *,729,48
先生,先生,先生,名詞 普通名詞 一般 * * *,719,49
キクチ,キクチ,キクチ,名詞 固有名詞 人名 姓 * *,690,48
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,687,49
人,人,人,接尾辞 名詞的 一般 * * *,687,49
そう,そう,そう,副詞 * * * * *,661,49
こと,こと,こと,名詞 普通名詞 一般 * * *,650,49
藤原,藤原,藤原,名詞 固有名詞 人名 姓 * *,635,49
から,から,から,助詞 接続助詞 * * * *,634,49
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,634,49
子,子,子,名詞 普通名詞 一般 * * *,624,49
まつ子,まつ子,まつ子,名詞 固有名詞 人名 名 * *,608,49
の,の,の,助詞 終助詞 * * * *,590,48
たち,たち,達,接尾辞 名詞的 一般 * * *,576,49
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,561,49
それ,それ,其れ,代名詞 * * * * *,553,49
たかし,たかし,たかし,名詞 固有名詞 人名 名 * *,526,48
ああ,ああ,ああ,感動詞 一般 * * * *,520,48
これ,これ,此れ,代名詞 * * * * *,512,49
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,507,49
みみ,みみ,耳,名詞 普通名詞 一般 * * *,497,49
どう,どう,どう,副詞 * * * * *,494,49
なな,なな,なな,名詞 固有名詞 人名 名 * *,475,49
俺,俺,俺,代名詞 * * * * *,449,49
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,446,49
さん,さん,さん,接尾辞 名詞的 一般 * * *,440,48
もう,もう,もう,副詞 * * * * *,434,49
のぼる,のぼる,のぼる,名詞 固有名詞 人名 名 * *,427,48
山田,山田,山田,名詞 固有名詞 人名 姓 * *,424,49
この,この,此の,連体詞 * * * * *,419,49
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,408,49
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,405,49
えっ,えっ,えっ,感動詞 一般 * * * *,403,49
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,402,49
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,401,49
わ,わ,わ,助詞 終助詞 * * * *,400,48
私,私,私,代名詞 * * * * *,398,47
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,395,49
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,392,49
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,388,49
･,・,・,補助記号 一般 * * * *,361,47
うっ,うっ,うう,感動詞 一般 * * * *,359,47
から,から,から,助詞 格助詞 * * * *,352,49
一同,一同,一同,名詞 普通名詞 一般 * * *,348,47
けど,けど,けれど,助詞 接続助詞 * * * *,346,49
のの,のの,のの,名詞 普通名詞 一般 * * *,338,49
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,332,49
や,や,や,助詞 副助詞 * * * *,329,46
地底,地底,地底,名詞 普通名詞 一般 * * *,329,27
しげ,しげ,しげ,名詞 固有名詞 人名 名 * *,328,48
はい,はい,はい,感動詞 一般 * * * *,308,47
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,303,49
うう,うう,うう,感動詞 一般 * * * *,301,44
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,289,49
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,289,49
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,286,49
ば,ば,ば,助詞 接続助詞 * * * *,284,49
なん,なん,何,代名詞 * * * * *,284,48
お父さん,お父さん,お父さん,名詞 普通名詞 一般 * * *,284,43
なんて,なんて,なんて,助詞 副助詞 * * * *,280,48
君,君,君,接尾辞 名詞的 一般 * * *,271,41
町内会,町内会,町内会,名詞 普通名詞 一般 * * *,268,28
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,267,49
音,音,音,名詞 普通名詞 一般 * * *,267,49
で,で,で,助詞 接続助詞 * * * *,265,49
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,264,41
長,長,長,接尾辞 名詞的 一般 * * *,264,29
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,255,48
その,その,其の,連体詞 * * * * *,254,49
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,247,48
お母さん,お母さん,お母さん,名詞 普通名詞 一般 * * *,243,42
そんな,そんな,そんな,連体詞 * * * * *,238,49
あ〜,あ〜,ああ,感動詞 一般 * * * *,236,47
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,235,49
食べ,食べる,食べる,動詞 一般 * * 下一段-バ行 連用形-一般,235,43
だけ,だけ,だけ,助詞 副助詞 * * * *,218,48
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,215,45
んっ,んっ,んっ,感動詞 一般 * * * *,213,15
児童,児童,児童,名詞 普通名詞 一般 * * *,212,34
誰,誰,誰,代名詞 * * * * *,206,49
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,205,48
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,201,46
なあ,なあ,な,助詞 終助詞 * * * *,201,41
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,199,48
野郎,野郎,野郎,名詞 普通名詞 一般 * * *,199,26
い,い,い,助詞 終助詞 * * * *,198,48
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,198,47
うち,うち,内,名詞 普通名詞 副詞可能 * * *,192,46
ポチ,ポチ,ぽち,副詞 * * * * *,192,36
ちょっと,ちょっと,一寸,副詞 * * * * *,191,48
はあ,はあ,はあ,感動詞 一般 * * * *,190,42
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,186,47
お前,お前,御前,代名詞 * * * * *,185,45
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,181,45
どこ,どこ,どこ,代名詞 * * * * *,179,46
