Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,3990,39
は,は,は,助詞 係助詞 * * * *,3988,39
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,3369,39
に,に,に,助詞 格助詞 * * * *,3072,39
て,て,て,助詞 接続助詞 * * * *,2998,39
を,を,を,助詞 格助詞 * * * *,2779,39
が,が,が,助詞 格助詞 * * * *,2422,39
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1567,39
と,と,と,助詞 格助詞 * * * *,1389,39
の,の,の,助詞 準体助詞 * * * *,1323,39
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1301,39
ん,ん,の,助詞 準体助詞 * * * *,1241,39
も,も,も,助詞 係助詞 * * * *,1231,39
で,で,で,助詞 格助詞 * * * *,1196,39
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1072,39
か,か,か,助詞 終助詞 * * * *,1028,39
俺,俺,俺,代名詞 * * * * *,781,39
ジョルノ,ジョルノ,ジョルノ,名詞 普通名詞 一般 * * *,780,36
こと,こと,こと,名詞 普通名詞 一般 * * *,779,39
な,な,な,助詞 終助詞 * * * *,773,39
よ,よ,よ,助詞 終助詞 * * * *,765,39
ブチャラティ,ブチャラティ,ブチャラティ,名詞 普通名詞 一般 * * *,755,38
この,この,此の,連体詞 * * * * *,752,39
･,・,・,補助記号 一般 * * * *,744,39
か,か,か,助詞 副助詞 * * * *,698,39
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,689,39
何,何,何,代名詞 * * * * *,674,39
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,580,39
ミスタ,ミスタ,ミスター,名詞 普通名詞 一般 * * *,574,31
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,541,39
お前,お前,御前,代名詞 * * * * *,509,39
が,が,が,助詞 接続助詞 * * * *,504,39
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,468,39
ナランチャ,ナランチャ,ナランチャ,名詞 普通名詞 一般 * * *,468,27
から,から,から,助詞 格助詞 * * * *,464,39
って,って,って,助詞 副助詞 * * * *,452,39
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,451,39
音,音,音,名詞 普通名詞 一般 * * *,408,38
ああ,ああ,ああ,感動詞 一般 * * * *,401,39
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,401,37
それ,それ,其れ,代名詞 * * * * *,368,39
