Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,993,11
の,の,の,助詞 格助詞 * * * *,980,11
に,に,に,助詞 格助詞 * * * *,812,11
は,は,は,助詞 係助詞 * * * *,720,11
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,712,11
が,が,が,助詞 格助詞 * * * *,663,11
も,も,も,助詞 係助詞 * * * *,538,11
ん,ん,の,助詞 準体助詞 * * * *,506,11
よ,よ,よ,助詞 終助詞 * * * *,489,11
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,443,11
〜,〜,〜,補助記号 一般 * * * *,436,11
で,で,で,助詞 格助詞 * * * *,426,11
を,を,を,助詞 格助詞 * * * *,384,11
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,349,11
さん,さん,さん,接尾辞 名詞的 一般 * * *,348,11
と,と,と,助詞 格助詞 * * * *,338,11
か,か,か,助詞 終助詞 * * * *,337,11
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,305,11
の,の,の,助詞 準体助詞 * * * *,279,11
な,な,な,助詞 終助詞 * * * *,260,11
って,って,って,助詞 副助詞 * * * *,238,11
お,お,御,接頭辞 * * * * *,231,11
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,228,11
ね,ね,ね,助詞 終助詞 * * * *,222,11
こと,こと,こと,名詞 普通名詞 一般 * * *,215,11
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,196,11
落語,落語,落語,名詞 普通名詞 一般 * * *,185,11
どう,どう,どう,副詞 * * * * *,173,11
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,170,11
師匠,師匠,師匠,名詞 普通名詞 一般 * * *,168,11
い,い,い,助詞 終助詞 * * * *,157,11
ぇ,ぇ,ぇ,補助記号 一般 * * * *,147,11
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,139,11
から,から,から,助詞 接続助詞 * * * *,135,11
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,135,11
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,134,11
なん,なん,何,代名詞 * * * * *,133,11
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,130,11
か,か,か,助詞 副助詞 * * * *,125,11
小夏,小夏,小夏,名詞 固有名詞 人名 名 * *,124,11
お前,お前,御前,代名詞 * * * * *,123,11
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,123,11
この,この,此の,連体詞 * * * * *,109,11
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,108,11
ねぇ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,107,11
助六,助六,助六,名詞 固有名詞 人名 名 * *,105,11
樋口,樋口,樋口,名詞 固有名詞 人名 姓 * *,104,10
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,101,11
それ,それ,其れ,代名詞 * * * * *,98,11
から,から,から,助詞 格助詞 * * * *,97,11
あたし,あたし,私,代名詞 * * * * *,93,11
何,何,何,代名詞 * * * * *,93,11
ねぇ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,91,11
あっ,あっ,あっ,感動詞 一般 * * * *,87,11
そう,そう,そう,副詞 * * * * *,85,11
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,84,11
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,84,11
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,83,11
オイラ,オイラ,オイラ,代名詞 * * * * *,82,10
あの,あの,彼の,連体詞 * * * * *,81,11
はっ,はっ,はっ,感動詞 一般 * * * *,81,11
もう,もう,もう,副詞 * * * * *,81,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,79,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,77,11
ぁ,ぁ,ぁ,補助記号 一般 * * * *,76,11
その,その,其の,連体詞 * * * * *,75,11
与太,与太,与太,名詞 普通名詞 一般 * * *,75,10
が,が,が,助詞 接続助詞 * * * *,73,11
の,の,の,助詞 終助詞 * * * *,71,10
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,70,11
