Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,232,2
て,て,て,助詞 接続助詞 * * * *,203,2
に,に,に,助詞 格助詞 * * * *,198,2
は,は,は,助詞 係助詞 * * * *,162,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,142,2
が,が,が,助詞 格助詞 * * * *,128,2
を,を,を,助詞 格助詞 * * * *,128,2
プリキュア,プリキュア,プリキュア,名詞 固有名詞 一般 * * *,127,2
も,も,も,助詞 係助詞 * * * *,116,2
よ,よ,よ,助詞 終助詞 * * * *,112,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,100,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,92,2
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,90,2
の,の,の,助詞 準体助詞 * * * *,83,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,69,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,69,2
と,と,と,助詞 格助詞 * * * *,68,2
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,65,2
で,で,で,助詞 格助詞 * * * *,64,2
何,何,何,代名詞 * * * * *,64,2
ん,ん,の,助詞 準体助詞 * * * *,63,2
フー,フー,フー,名詞 固有名詞 人名 一般 * *,63,1
ね,ね,ね,助詞 終助詞 * * * *,62,2
･,・,・,補助記号 一般 * * * *,59,2
から,から,から,助詞 接続助詞 * * * *,56,2
って,って,って,助詞 副助詞 * * * *,56,2
の,の,の,助詞 終助詞 * * * *,54,2
あゆみ,あゆみ,あゆみ,名詞 固有名詞 人名 名 * *,52,1
わたし,わたし,私,代名詞 * * * * *,51,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,50,2
キュア,キュア,キュア,名詞 普通名詞 一般 * * *,50,2
たち,たち,達,接尾辞 名詞的 一般 * * *,49,2
力,力,力,名詞 普通名詞 一般 * * *,49,2
か,か,か,助詞 終助詞 * * * *,44,2
あっ,あっ,あっ,感動詞 一般 * * * *,37,2
フュージョン,フュージョン,フュージョン,名詞 普通名詞 一般 * * *,37,2
か,か,か,助詞 副助詞 * * * *,36,2
どう,どう,どう,副詞 * * * * *,36,2
うん,うん,うん,感動詞 一般 * * * *,33,2
シフォン,シフォン,シフォン,名詞 普通名詞 一般 * * *,33,2
こと,こと,こと,名詞 普通名詞 一般 * * *,32,2
えっ,えっ,えっ,感動詞 一般 * * * *,31,2
そう,そう,そう,副詞 * * * * *,30,2
な,な,な,助詞 終助詞 * * * *,30,2
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,29,2
わたしたち,わたしたち,私達,名詞 普通名詞 一般 * * *,28,2
この,この,此の,連体詞 * * * * *,27,2
ココ,ココ,ココ,名詞 普通名詞 一般 * * *,27,1
あなた,あなた,貴方,代名詞 * * * * *,25,2
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,25,2
友達,友達,友達,名詞 普通名詞 一般 * * *,25,2
ルル,ルル,ルル,名詞 固有名詞 人名 一般 * *,25,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,24,2
ば,ば,ば,助詞 接続助詞 * * * *,24,2
わ,わ,わ,助詞 終助詞 * * * *,24,2
で,で,で,助詞 接続助詞 * * * *,23,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,23,2
子,子,子,名詞 普通名詞 一般 * * *,23,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,22,2
え,え,えっ,感動詞 一般 * * * *,21,2
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,21,2
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,21,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,21,2
もう,もう,もう,副詞 * * * * *,21,2
あの,あの,彼の,連体詞 * * * * *,20,2
それ,それ,其れ,代名詞 * * * * *,20,2
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,20,2
お,お,御,接頭辞 * * * * *,19,2
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,19,2
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,19,2
なん,なん,何,代名詞 * * * * *,19,2
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,19,2
リセット,リセット,リセット,名詞 普通名詞 サ変可能 * * *,19,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,18,2
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,18,2
光,光,光,名詞 普通名詞 一般 * * *,18,2
ザケンナー,ザケンナー,ザケンナー,名詞 普通名詞 一般 * * *,18,1
ニャ,ニャ,ニャ,名詞 普通名詞 一般 * * *,18,1
大きく,大きい,大きい,形容詞 一般 * * 形容詞 連用形-一般,18,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,17,2
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,17,2
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,16,2
や,や,や,助詞 副助詞 * * * *,16,2
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,16,2
ー,ー,ー,補助記号 一般 * * * *,16,2
クル,クル,クル,名詞 普通名詞 一般 * * *,16,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,15,2
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,15,2
今,今,今,名詞 普通名詞 副詞可能 * * *,15,2
町,町,町,名詞 普通名詞 一般 * * *,15,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,14,2
これ,これ,此れ,代名詞 * * * * *,14,2
どこ,どこ,どこ,代名詞 * * * * *,14,2
ひと,ひと,一,名詞 数詞 * * * *,14,2
ライト,ライト,ライト,名詞 普通名詞 一般 * * *,14,2
でしゅ,でしゅ,でしゅ,助動詞 * * * 助動詞-デス 終止形-一般,14,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,13,2
ちょっと,ちょっと,一寸,副詞 * * * * *,13,2
フレッシュ,フレッシュ,フレッシュ,形状詞 一般 * * * *,13,2
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,12,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,12,2
けど,けど,けれど,助詞 接続助詞 * * * *,12,2
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,12,2
そんな,そんな,そんな,連体詞 * * * * *,12,2
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,12,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,12,2
なんて,なんて,なんて,助詞 副助詞 * * * *,12,2
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,12,2
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,12,2
ナツ,ナツ,夏,名詞 普通名詞 副詞可能 * * *,12,1
フー,フー,ふう,副詞 * * * * *,12,1
私,私,私,代名詞 * * * * *,12,1
ええ,ええ,ええ,感動詞 一般 * * * *,11,2
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,11,2
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,11,2
まだ,まだ,未だ,副詞 * * * * *,11,2
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,11,2
人,人,人,名詞 普通名詞 一般 * * *,11,2
応援,応援,応援,名詞 普通名詞 サ変可能 * * *,11,2
がんばれ,がんばる,頑張る,動詞 一般 * * 五段-ラ行 命令形,11,1
よこせ,よこす,寄越す,動詞 一般 * * 五段-サ行 命令形,11,1
ウザイナー,ウザイナー,ウザイナー,名詞 普通名詞 一般 * * *,11,1
ハッピー,ハッピー,ハッピー,形状詞 一般 * * * *,11,1
メポ,メポ,メポ,名詞 普通名詞 一般 * * *,11,1
ロプ,ロプ,ロプ,名詞 固有名詞 地名 一般 * *,11,1
あれ,あれ,あれ,感動詞 一般 * * * *,10,2
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,10,2
こっち,こっち,此方,代名詞 * * * * *,10,2
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,10,2
っ,っ,っ,補助記号 一般 * * * *,10,2
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,10,2
はい,はい,はい,感動詞 一般 * * * *,10,2
タルト,タルト,タルト,名詞 普通名詞 一般 * * *,10,2
ハート,ハート,ハート,名詞 普通名詞 一般 * * *,10,2
ピーチ,ピーチ,ピーチ,名詞 普通名詞 一般 * * *,10,2
ミラクル,ミラクル,ミラクル,名詞 普通名詞 形状詞可能 * * *,10,2
他,他,他,名詞 普通名詞 副詞可能 * * *,10,2
全然,全然,全然,副詞 * * * * *,10,2
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,10,2
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,10,2
エコー,エコー,エコー,名詞 普通名詞 一般 * * *,10,1
ナッツ,ナッツ,ナッツ,名詞 普通名詞 一般 * * *,10,1
ああ,ああ,ああ,感動詞 一般 * * * *,9,2
あれ,あれ,彼れ,代名詞 * * * * *,9,2
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,9,2
お母さん,お母さん,お母さん,名詞 普通名詞 一般 * * *,9,2
しよう,する,為る,動詞 非自立可能 * * サ行変格 意志推量形,9,2
すべて,すべて,全て,名詞 普通名詞 副詞可能 * * *,9,2
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,9,2
ら,ら,等,接尾辞 名詞的 一般 * * *,9,2
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,9,2
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,9,2
一,一,1,名詞 数詞 * * * *,9,2
助け,助ける,助ける,動詞 一般 * * 下一段-カ行 連用形-一般,9,2
絶対,絶対,絶対,名詞 普通名詞 副詞可能 * * *,9,2
自分,自分,自分,名詞 普通名詞 一般 * * *,9,2
たー,た,た,助動詞 * * * 助動詞-タ 終止形-一般,9,1
ラピ,ラピ,ラピ,名詞 普通名詞 一般 * * *,9,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,8,2
から,から,から,助詞 格助詞 * * * *,8,2
さがし,さがす,探す,動詞 一般 * * 五段-サ行 連用形-一般,8,2
しるし,しるし,印,名詞 普通名詞 一般 * * *,8,2
その,その,其の,連体詞 * * * * *,8,2
ため,ため,為,名詞 普通名詞 副詞可能 * * *,8,2
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,8,2
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,8,2
また,また,又,接続詞 * * * * *,8,2
もっと,もっと,もっと,副詞 * * * * *,8,2
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,8,2
気持ち,気持ち,気持ち,名詞 普通名詞 一般 * * *,8,2
聞い,聞く,聞く,動詞 一般 * * 五段-カ行 連用形-イ音便,8,2
言う,言う,言う,動詞 一般 * * 五段-ワア行 連体形-一般,8,2
誰,誰,誰,代名詞 * * * * *,8,2
違う,違う,違う,動詞 一般 * * 五段-ワア行 終止形-一般,8,2
あゆみ,あゆみ,歩み,名詞 普通名詞 一般 * * *,8,1
いったい,いったい,一体,副詞 * * * * *,8,1
なぎさ,なぎさ,渚,名詞 普通名詞 一般 * * *,8,1
ナツ,ナツ,ナツ,名詞 固有名詞 人名 名 * *,8,1
ホシイナー,ホシイナー,ホシイナー,名詞 普通名詞 一般 * * *,8,1
空,空,空,名詞 普通名詞 一般 * * *,8,1
いく,いく,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,7,2
いっ,いく,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,7,2
がんばっ,がんばる,頑張る,動詞 一般 * * 五段-ラ行 連用形-促音便,7,2
きっと,きっと,きっと,副詞 * * * * *,7,2
ここ,ここ,此処,代名詞 * * * * *,7,2
し,し,し,助詞 接続助詞 * * * *,7,2
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,7,2
だけ,だけ,だけ,助詞 副助詞 * * * *,7,2
ちゃんと,ちゃんと,ちゃんと,副詞 * * * * *,7,2
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,7,2
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,7,2
まで,まで,まで,助詞 副助詞 * * * *,7,2
もし,もし,若し,副詞 * * * * *,7,2
もん,もん,もの,助詞 終助詞 * * * *,7,2
パイン,パイン,パイン,名詞 普通名詞 一般 * * *,7,2
ルミナス,ルミナス,ルミナス,名詞 普通名詞 一般 * * *,7,2
前,前,前,名詞 普通名詞 副詞可能 * * *,7,2
大切,大切,大切,形状詞 一般 * * * *,7,2
