Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1280,13
は,は,は,助詞 係助詞 * * * *,1071,13
て,て,て,助詞 接続助詞 * * * *,976,13
に,に,に,助詞 格助詞 * * * *,958,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,851,13
を,を,を,助詞 格助詞 * * * *,639,13
が,が,が,助詞 格助詞 * * * *,630,13
も,も,も,助詞 係助詞 * * * *,511,13
と,と,と,助詞 格助詞 * * * *,454,13
で,で,で,助詞 格助詞 * * * *,453,13
よ,よ,よ,助詞 終助詞 * * * *,402,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,396,13
ん,ん,の,助詞 準体助詞 * * * *,380,13
か,か,か,助詞 終助詞 * * * *,371,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,343,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,339,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,324,13
の,の,の,助詞 準体助詞 * * * *,313,13
俺,俺,俺,代名詞 * * * * *,296,13
な,な,な,助詞 終助詞 * * * *,275,13
何,何,何,代名詞 * * * * *,275,13
って,って,って,助詞 副助詞 * * * *,236,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,218,13
さん,さん,さん,接尾辞 名詞的 一般 * * *,217,13
か,か,か,助詞 副助詞 * * * *,208,13
〜,〜,〜,補助記号 一般 * * * *,199,12
ニノ,ニノ,ニノ,名詞 固有名詞 人名 一般 * *,197,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,180,13
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,161,13
ね,ね,ね,助詞 終助詞 * * * *,158,13
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,155,13
から,から,から,助詞 接続助詞 * * * *,150,13
この,この,此の,連体詞 * * * * *,148,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,146,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,143,13
私,私,私,代名詞 * * * * *,142,13
それ,それ,其れ,代名詞 * * * * *,133,13
そう,そう,そう,副詞 * * * * *,132,13
リク,リク,リク,名詞 普通名詞 一般 * * *,131,13
から,から,から,助詞 格助詞 * * * *,128,13
これ,これ,此れ,代名詞 * * * * *,123,13
ああ,ああ,ああ,感動詞 一般 * * * *,119,13
お前,お前,御前,代名詞 * * * * *,116,13
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,116,13
あ,あ,あっ,感動詞 一般 * * * *,115,13
うっ,うっ,うう,感動詞 一般 * * * *,113,13
事,事,事,名詞 普通名詞 一般 * * *,111,8
あっ,あっ,あっ,感動詞 一般 * * * *,101,13
わ,わ,わ,助詞 終助詞 * * * *,99,12
その,その,其の,連体詞 * * * * *,98,13
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,96,13
もう,もう,もう,副詞 * * * * *,95,13
どう,どう,どう,副詞 * * * * *,94,13
子,子,子,名詞 普通名詞 一般 * * *,94,13
ば,ば,ば,助詞 接続助詞 * * * *,93,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,88,13
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,86,13
お,お,御,接頭辞 * * * * *,85,13
ほら,ほら,ほら,感動詞 一般 * * * *,85,12
なんて,なんて,なんて,助詞 副助詞 * * * *,83,13
こと,こと,こと,名詞 普通名詞 一般 * * *,82,9
だけ,だけ,だけ,助詞 副助詞 * * * *,81,13
今,今,今,名詞 普通名詞 副詞可能 * * *,81,13
