Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,294,1
伊純,伊純,伊純,名詞 固有名詞 人名 名 * *,226,1
に,に,に,助詞 格助詞 * * * *,221,1
は,は,は,助詞 係助詞 * * * *,211,1
て,て,て,助詞 接続助詞 * * * *,195,1
が,が,が,助詞 格助詞 * * * *,124,1
を,を,を,助詞 格助詞 * * * *,124,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,120,1
ああ,ああ,ああ,感動詞 一般 * * * *,93,1
ん,ん,の,助詞 準体助詞 * * * *,93,1
も,も,も,助詞 係助詞 * * * *,90,1
ポコン,ポコン,ぽこん,副詞 * * * * *,90,1
よ,よ,よ,助詞 終助詞 * * * *,86,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,76,1
沙紀,沙紀,沙紀,名詞 固有名詞 人名 名 * *,75,1
で,で,で,助詞 格助詞 * * * *,74,1
たち,たち,達,接尾辞 名詞的 一般 * * *,71,1
と,と,と,助詞 格助詞 * * * *,71,1
私,私,私,代名詞 * * * * *,67,1
蒼,蒼,蒼,名詞 普通名詞 一般 * * *,62,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,61,1
ね,ね,ね,助詞 終助詞 * * * *,60,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,60,1
こと,こと,こと,名詞 普通名詞 一般 * * *,58,1
って,って,って,助詞 副助詞 * * * *,58,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,57,1
の,の,の,助詞 準体助詞 * * * *,55,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,53,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,47,1
の,の,の,助詞 終助詞 * * * *,44,1
ん,ん,ん,助詞 格助詞 * * * *,44,1
あ,あ,あっ,感動詞 一般 * * * *,43,1
あさひ,あさひ,朝日,名詞 普通名詞 一般 * * *,42,1
時,時,時,名詞 普通名詞 副詞可能 * * *,42,1
世界,世界,世界,名詞 普通名詞 一般 * * *,41,1
小夏,小夏,小夏,名詞 固有名詞 人名 名 * *,40,1
か,か,か,助詞 終助詞 * * * *,38,1
この,この,此の,連体詞 * * * * *,34,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,34,1
か,か,か,助詞 副助詞 * * * *,33,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,33,1
もう,もう,もう,副詞 * * * * *,32,1
長老,長老,長老,名詞 普通名詞 一般 * * *,31,1
レミィ,レミィ,レミィ,名詞 普通名詞 一般 * * *,29,1
なん,なん,何,代名詞 * * * * *,28,1
レノ,レノ,レノ,名詞 固有名詞 人名 一般 * *,27,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,26,1
･,・,・,補助記号 一般 * * * *,26,1
ここ,ここ,此処,代名詞 * * * * *,25,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,25,1
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,25,1
うん,うん,うん,感動詞 一般 * * * *,24,1
ん,む,む,助動詞 * * * 文語助動詞-ム 終止形-撥音便,24,1
ん,ん,の,助詞 終助詞 * * * *,24,1
わ,わ,わ,助詞 終助詞 * * * *,23,1
ダンス,ダンス,ダンス,名詞 普通名詞 サ変可能 * * *,23,1
から,から,から,助詞 接続助詞 * * * *,22,1
どう,どう,どう,副詞 * * * * *,22,1
ば,ば,ば,助詞 接続助詞 * * * *,21,1
