Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,10740,105
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,9588,105
は,は,は,助詞 係助詞 * * * *,8817,105
て,て,て,助詞 接続助詞 * * * *,8555,105
に,に,に,助詞 格助詞 * * * *,8483,105
が,が,が,助詞 格助詞 * * * *,6686,105
を,を,を,助詞 格助詞 * * * *,5658,105
ん,ん,の,助詞 準体助詞 * * * *,4665,105
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,4565,105
・,・,・,補助記号 一般 * * * *,4565,48
か,か,か,助詞 終助詞 * * * *,4387,105
も,も,も,助詞 係助詞 * * * *,4355,105
よ,よ,よ,助詞 終助詞 * * * *,4231,105
で,で,で,助詞 格助詞 * * * *,4188,105
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,3955,105
と,と,と,助詞 格助詞 * * * *,3949,105
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,3875,105
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,3686,105
な,な,な,助詞 終助詞 * * * *,3151,105
の,の,の,助詞 準体助詞 * * * *,2731,105
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,2350,105
〜,〜,〜,補助記号 一般 * * * *,2007,106
ね,ね,ね,助詞 終助詞 * * * *,1942,105
ああ,ああ,ああ,感動詞 一般 * * * *,1918,105
さん,さん,さん,接尾辞 名詞的 一般 * * *,1909,105
何,何,何,代名詞 * * * * *,1906,105
あっ,あっ,あっ,感動詞 一般 * * * *,1847,103
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,1737,105
から,から,から,助詞 接続助詞 * * * *,1642,105
わし,わし,わし,代名詞 * * * * *,1636,105
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,1624,105
こと,こと,こと,名詞 普通名詞 一般 * * *,1589,105
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,1585,105
この,この,此の,連体詞 * * * * *,1511,105
これ,これ,此れ,代名詞 * * * * *,1508,105
って,って,って,助詞 副助詞 * * * *,1466,104
か,か,か,助詞 副助詞 * * * *,1450,105
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,1415,105
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,1380,105
どう,どう,どう,副詞 * * * * *,1365,105
大原,大原,大原,名詞 固有名詞 一般 * * *,1343,76
そう,そう,そう,副詞 * * * * *,1336,105
･,・,・,補助記号 一般 * * * *,1294,105
それ,それ,其れ,代名詞 * * * * *,1267,105
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,1243,105
お,お,御,接頭辞 * * * * *,1194,104
うん,うん,うん,感動詞 一般 * * * *,1053,101
両津,両津,両津,名詞 固有名詞 人名 姓 * *,1029,105
たち,たち,達,接尾辞 名詞的 一般 * * *,1027,104
なん,なん,何,代名詞 * * * * *,1027,78
から,から,から,助詞 格助詞 * * * *,1003,105
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,975,105
わ,わ,わ,助詞 終助詞 * * * *,959,100
部長,部長,部長,名詞 普通名詞 一般 * * *,942,86
えっ,えっ,えっ,感動詞 一般 * * * *,924,104
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,916,102
が,が,が,助詞 接続助詞 * * * *,914,105
お前,お前,御前,代名詞 * * * * *,914,104
音,音,音,名詞 普通名詞 一般 * * *,894,103
はい,はい,はい,感動詞 一般 * * * *,860,101
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,851,104
両,両,両,名詞 普通名詞 一般 * * *,845,99
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,802,105
