Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,643,12
の,の,の,助詞 格助詞 * * * *,572,12
て,て,て,助詞 接続助詞 * * * *,568,12
に,に,に,助詞 格助詞 * * * *,552,12
は,は,は,助詞 係助詞 * * * *,538,12
が,が,が,助詞 格助詞 * * * *,465,12
タキタ,タキタ,タキタ,名詞 普通名詞 一般 * * *,450,12
を,を,を,助詞 格助詞 * * * *,384,12
ん,ん,の,助詞 準体助詞 * * * *,377,12
よ,よ,よ,助詞 終助詞 * * * *,369,12
も,も,も,助詞 係助詞 * * * *,344,12
か,か,か,助詞 終助詞 * * * *,304,12
ミカ,ミカ,ミカ,名詞 固有名詞 人名 名 * *,296,12
な,な,な,助詞 終助詞 * * * *,275,12
龍,龍,竜,名詞 普通名詞 一般 * * *,271,12
ジロー,ジロー,ジロウ,名詞 固有名詞 人名 名 * *,261,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,260,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,244,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,243,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,236,12
あっ,あっ,あっ,感動詞 一般 * * * *,235,12
で,で,で,助詞 格助詞 * * * *,222,12
〜,〜,〜,補助記号 一般 * * * *,211,12
と,と,と,助詞 格助詞 * * * *,210,12
ギブス,ギブス,ギプス,名詞 普通名詞 一般 * * *,188,12
の,の,の,助詞 準体助詞 * * * *,186,12
ハア,ハア,はあ,感動詞 一般 * * * *,185,12
あ,あ,あっ,感動詞 一般 * * * *,171,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,164,12
ああ,ああ,ああ,感動詞 一般 * * * *,155,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,149,12
って,って,って,助詞 副助詞 * * * *,144,12
うっ,うっ,うう,感動詞 一般 * * * *,142,12
ね,ね,ね,助詞 終助詞 * * * *,135,12
音,音,音,名詞 普通名詞 一般 * * *,135,12
から,から,から,助詞 接続助詞 * * * *,123,12
ニコ,ニコ,にこ,副詞 * * * * *,123,12
俺,俺,俺,代名詞 * * * * *,122,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,116,12
ヴァナベル,ヴァナベル,ヴァナベル,名詞 普通名詞 一般 * * *,113,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,108,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,107,12
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,103,11
ソラヤ,ソラヤ,ソラヤ,名詞 普通名詞 一般 * * *,101,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,99,12
こと,こと,こと,名詞 普通名詞 一般 * * *,95,12
