Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1331,22
は,は,は,助詞 係助詞 * * * *,1268,22
て,て,て,助詞 接続助詞 * * * *,1224,22
に,に,に,助詞 格助詞 * * * *,1158,22
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,900,22
が,が,が,助詞 格助詞 * * * *,810,22
を,を,を,助詞 格助詞 * * * *,710,22
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,637,22
で,で,で,助詞 格助詞 * * * *,632,22
も,も,も,助詞 係助詞 * * * *,630,22
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,598,22
と,と,と,助詞 格助詞 * * * *,578,22
よ,よ,よ,助詞 終助詞 * * * *,569,22
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,549,22
ん,ん,の,助詞 準体助詞 * * * *,495,22
か,か,か,助詞 終助詞 * * * *,445,22
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,442,22
って,って,って,助詞 副助詞 * * * *,409,22
何,何,何,代名詞 * * * * *,380,22
ね,ね,ね,助詞 終助詞 * * * *,344,22
こと,こと,こと,名詞 普通名詞 一般 * * *,315,22
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,312,22
の,の,の,助詞 準体助詞 * * * *,312,22
か,か,か,助詞 副助詞 * * * *,287,22
あっ,あっ,あっ,感動詞 一般 * * * *,282,22
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,259,22
それ,それ,其れ,代名詞 * * * * *,248,22
から,から,から,助詞 接続助詞 * * * *,235,22
昴,昴,昴,名詞 普通名詞 一般 * * *,232,20
な,な,な,助詞 終助詞 * * * *,231,22
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,220,22
フラウ,フラウ,フラウ,名詞 普通名詞 一般 * * *,213,19
〜,〜,〜,補助記号 一般 * * * *,209,22
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,207,22
愛理,愛理,愛理,名詞 固有名詞 人名 名 * *,207,16
の,の,の,助詞 終助詞 * * * *,196,22
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,190,22
姉,姉,姉,名詞 普通名詞 一般 * * *,179,21
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,177,22
これ,これ,此れ,代名詞 * * * * *,167,22
どう,どう,どう,副詞 * * * * *,165,22
音,音,音,名詞 普通名詞 一般 * * *,154,22
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,146,22
そう,そう,そう,副詞 * * * * *,146,22
ロボット,ロボット,ロボット,名詞 普通名詞 一般 * * *,143,21
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,142,22
君島,君島,君島,名詞 固有名詞 人名 姓 * *,142,17
淳和,淳和,淳和,名詞 固有名詞 人名 姓 * *,140,18
カイ,カイ,カイ,名詞 固有名詞 人名 一般 * *,139,21
うん,うん,うん,感動詞 一般 * * * *,138,22
けど,けど,けれど,助詞 接続助詞 * * * *,138,21
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,134,21
えっ,えっ,えっ,感動詞 一般 * * * *,131,22
ハァ,ハァ,はあ,感動詞 一般 * * * *,131,21
みさ,みさ,みさ,名詞 固有名詞 人名 名 * *,125,20
さん,さん,さん,接尾辞 名詞的 一般 * * *,121,21
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,120,22
希,希,希,名詞 固有名詞 人名 名 * *,119,20
から,から,から,助詞 格助詞 * * * *,118,22
この,この,此の,連体詞 * * * * *,118,22
俺,俺,俺,代名詞 * * * * *,116,22
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,115,22
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,115,22
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,114,21
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,113,22
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,113,22
私,私,私,代名詞 * * * * *,113,22
その,その,其の,連体詞 * * * * *,112,22
もう,もう,もう,副詞 * * * * *,110,21
部,部,部,名詞 普通名詞 助数詞可能 * * *,109,18
