Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,659,3
の,の,の,助詞 格助詞 * * * *,595,3
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,537,3
に,に,に,助詞 格助詞 * * * *,451,3
て,て,て,助詞 接続助詞 * * * *,420,3
が,が,が,助詞 格助詞 * * * *,418,3
火神,火神,火神,名詞 普通名詞 一般 * * *,347,3
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,311,3
ンッ,ンッ,ンッ,名詞 普通名詞 一般 * * *,306,2
も,も,も,助詞 係助詞 * * * *,303,3
を,を,を,助詞 格助詞 * * * *,300,3
で,で,で,助詞 格助詞 * * * *,298,3
と,と,と,助詞 格助詞 * * * *,254,3
よ,よ,よ,助詞 終助詞 * * * *,241,3
か,か,か,助詞 終助詞 * * * *,236,3
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,208,3
の,の,の,助詞 準体助詞 * * * *,196,3
ん,ん,の,助詞 準体助詞 * * * *,192,3
黒子,黒子,黒子,名詞 普通名詞 一般 * * *,192,3
青峰,青峰,青峰,名詞 固有名詞 人名 名 * *,179,3
日向,日向,日向,名詞 普通名詞 一般 * * *,168,3
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,163,3
ンンッ,ンンッ,ンンッ,名詞 普通名詞 一般 * * *,162,2
な,な,な,助詞 終助詞 * * * *,149,3
こと,こと,こと,名詞 普通名詞 一般 * * *,147,3
木吉,木吉,木吉,名詞 固有名詞 人名 姓 * *,139,3
俺,俺,俺,代名詞 * * * * *,135,3
あっ,あっ,あっ,感動詞 一般 * * * *,124,3
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,121,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,119,3
観客,観客,観客,名詞 普通名詞 一般 * * *,115,3
ホイッスル,ホイッスル,ホイッスル,名詞 普通名詞 一般 * * *,112,3
か,か,か,助詞 副助詞 * * * *,109,3
歓声,歓声,歓声,名詞 普通名詞 一般 * * *,103,3
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,102,3
ハッ,ハッ,はっ,感動詞 一般 * * * *,99,3
黄瀬,黄瀬,黄瀬,名詞 固有名詞 地名 一般 * *,99,3
紫原,紫原,紫原,名詞 固有名詞 人名 姓 * *,98,3
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,96,3
それ,それ,其れ,代名詞 * * * * *,94,3
何,何,何,代名詞 * * * * *,92,3
赤司,赤司,赤司,名詞 固有名詞 人名 姓 * *,90,3
伊月,伊月,伊月,名詞 固有名詞 人名 姓 * *,89,3
君,君,君,接尾辞 名詞的 一般 * * *,89,3
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,82,3
お前,お前,御前,代名詞 * * * * *,81,3
たち,たち,達,接尾辞 名詞的 一般 * * *,81,3
これ,これ,此れ,代名詞 * * * * *,80,3
が,が,が,助詞 接続助詞 * * * *,77,3
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,76,3
リコ,リコ,リコ,名詞 固有名詞 一般 * * *,75,3
だけ,だけ,だけ,助詞 副助詞 * * * *,74,3
って,って,って,助詞 副助詞 * * * *,74,3
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,66,3
なっ,なっ,なあ,感動詞 一般 * * * *,63,3
今,今,今,名詞 普通名詞 副詞可能 * * *,63,3
ハァハァ,ハァハァ,はあはあ,副詞 * * * * *,63,2
から,から,から,助詞 格助詞 * * * *,62,3
もう,もう,もう,副詞 * * * * *,62,3
ね,ね,ね,助詞 終助詞 * * * *,61,3
えっ,えっ,えっ,感動詞 一般 * * * *,60,3
･,・,・,補助記号 一般 * * * *,60,3
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,59,3
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,59,3
