Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,803,12
の,の,の,助詞 格助詞 * * * *,801,12
は,は,は,助詞 係助詞 * * * *,718,12
に,に,に,助詞 格助詞 * * * *,629,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,530,12
も,も,も,助詞 係助詞 * * * *,522,12
が,が,が,助詞 格助詞 * * * *,467,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,439,12
で,で,で,助詞 格助詞 * * * *,421,12
と,と,と,助詞 格助詞 * * * *,406,12
ね,ね,ね,助詞 終助詞 * * * *,398,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,395,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,372,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,348,12
〜,〜,〜,補助記号 一般 * * * *,314,12
か,か,か,助詞 終助詞 * * * *,311,12
を,を,を,助詞 格助詞 * * * *,303,12
よ,よ,よ,助詞 終助詞 * * * *,302,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,257,12
ん,ん,の,助詞 準体助詞 * * * *,256,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,241,12
か,か,か,助詞 副助詞 * * * *,218,12
の,の,の,助詞 準体助詞 * * * *,213,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,207,12
っす,っす,っす,助動詞 * * * 助動詞-デス 終止形-一般,203,10
お,お,御,接頭辞 * * * * *,193,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,193,12
流川,流川,流川,名詞 固有名詞 人名 姓 * *,192,12
何,何,何,代名詞 * * * * *,185,12
って,って,って,助詞 副助詞 * * * *,170,12
奈々,奈々,奈々,名詞 固有名詞 人名 名 * *,170,12
な,な,な,助詞 終助詞 * * * *,168,12
えッ,えッ,えっ,感動詞 一般 * * * *,167,12
から,から,から,助詞 接続助詞 * * * *,163,12
私,私,私,代名詞 * * * * *,150,12
はい,はい,はい,感動詞 一般 * * * *,144,12
あッ,あッ,あっ,感動詞 一般 * * * *,143,12
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,140,12
そう,そう,そう,副詞 * * * * *,134,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,134,12
それ,それ,其れ,代名詞 * * * * *,133,12
くん,くん,君,接尾辞 名詞的 一般 * * *,133,10
魚心,魚心,魚心,名詞 普通名詞 一般 * * *,133,10
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,131,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,131,12
奈々子,奈々子,奈々子,名詞 固有名詞 人名 名 * *,130,12
し,し,し,助詞 接続助詞 * * * *,120,12
市,市,市,名詞 普通名詞 一般 * * *,119,12
から,から,から,助詞 格助詞 * * * *,117,12
けど,けど,けれど,助詞 接続助詞 * * * *,116,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,111,12
こと,こと,こと,名詞 普通名詞 一般 * * *,110,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,109,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,102,12
うん,うん,うん,感動詞 一般 * * * *,99,12
縁,縁,縁,名詞 普通名詞 一般 * * *,98,12
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,93,12
わ,わ,わ,助詞 終助詞 * * * *,92,12
ゆい,ゆい,ゆい,名詞 固有名詞 人名 名 * *,90,11
こ,くる,来る,動詞 非自立可能 * * カ行変格 未然形-一般,85,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,85,12
これ,これ,此れ,代名詞 * * * * *,83,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,83,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,77,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,77,12
私達,私達,私達,名詞 普通名詞 一般 * * *,76,12
沙織,沙織,沙織,名詞 固有名詞 人名 名 * *,75,9
縁,縁,縁,名詞 固有名詞 人名 名 * *,73,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,72,12
ろ,ろ,ろ,名詞 普通名詞 一般 * * *,72,12
の,の,の,助詞 終助詞 * * * *,71,12
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,67,12
どる,どる,とる,助動詞 * * * 五段-ラ行 終止形-一般,66,12
ば,ば,ば,助詞 接続助詞 * * * *,66,12
もう,もう,もう,副詞 * * * * *,66,12
あの,あの,彼の,連体詞 * * * * *,65,12
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,65,12
どう,どう,どう,副詞 * * * * *,64,12
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,63,12
この,この,此の,連体詞 * * * * *,63,12
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,61,12
二人,二人,二人,名詞 普通名詞 副詞可能 * * *,61,9
が,が,が,助詞 接続助詞 * * * *,59,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,56,12
ガールズ,ガールズ,ガールズ,名詞 普通名詞 一般 * * *,56,10
で,で,で,助詞 接続助詞 * * * *,55,12
人,人,人,名詞 普通名詞 一般 * * *,55,12
す,す,っす,助動詞 * * * 助動詞-デス 終止形-一般,55,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,54,12
･,・,・,補助記号 一般 * * * *,53,12
ああ,ああ,ああ,感動詞 一般 * * * *,53,11
達,達,達,接尾辞 名詞的 一般 * * *,52,11
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,51,12
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,51,10
その,その,其の,連体詞 * * * * *,50,12
だけ,だけ,だけ,助詞 副助詞 * * * *,50,12
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,50,10
ちょっと,ちょっと,一寸,副詞 * * * * *,48,12
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,48,11
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,47,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,46,12
