Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1897,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1691,12
よ,よ,よ,助詞 終助詞 * * * *,1595,12
て,て,て,助詞 接続助詞 * * * *,1329,12
は,は,は,助詞 係助詞 * * * *,1292,12
に,に,に,助詞 格助詞 * * * *,1240,12
ん,ん,の,助詞 準体助詞 * * * *,953,12
が,が,が,助詞 格助詞 * * * *,943,12
江口,江口,江口,名詞 固有名詞 人名 姓 * *,740,12
音,音,音,名詞 普通名詞 一般 * * *,726,12
か,か,か,助詞 終助詞 * * * *,694,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,673,12
も,も,も,助詞 係助詞 * * * *,654,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,644,12
で,で,で,助詞 格助詞 * * * *,643,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,604,12
な,な,な,助詞 終助詞 * * * *,591,12
と,と,と,助詞 格助詞 * * * *,557,12
を,を,を,助詞 格助詞 * * * *,524,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,518,12
の,の,の,助詞 準体助詞 * * * *,474,12
俺,俺,俺,代名詞 * * * * *,426,12
たち,たち,達,接尾辞 名詞的 一般 * * *,382,12
って,って,って,助詞 副助詞 * * * *,377,12
何,何,何,代名詞 * * * * *,364,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,348,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,340,12
ね,ね,ね,助詞 終助詞 * * * *,315,12
こと,こと,こと,名詞 普通名詞 一般 * * *,293,12
から,から,から,助詞 接続助詞 * * * *,287,12
〜,〜,〜,補助記号 一般 * * * *,285,12
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,281,12
くん,くん,君,接尾辞 名詞的 一般 * * *,279,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,253,12
か,か,か,助詞 副助詞 * * * *,250,12
権田,権田,権田,名詞 固有名詞 人名 姓 * *,249,11
この,この,此の,連体詞 * * * * *,247,12
ら,ら,等,接尾辞 名詞的 一般 * * *,240,12
てめえ,てめえ,てまえ,代名詞 * * * * *,235,12
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,234,12
ああ,ああ,ああ,感動詞 一般 * * * *,226,12
よし子,よし子,よし子,名詞 固有名詞 人名 名 * *,224,10
野郎,野郎,野郎,名詞 普通名詞 一般 * * *,221,12
どう,どう,どう,副詞 * * * * *,220,12
うん,うん,うん,感動詞 一般 * * * *,218,12
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,209,12
そう,そう,そう,副詞 * * * * *,208,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,208,12
けど,けど,けれど,助詞 接続助詞 * * * *,203,12
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,194,12
原沢,原沢,原沢,名詞 固有名詞 人名 姓 * *,192,12
もう,もう,もう,副詞 * * * * *,184,12
お前,お前,御前,代名詞 * * * * *,180,12
石川,石川,石川,名詞 固有名詞 地名 一般 * *,176,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,173,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,161,12
丸川,丸川,丸川,名詞 固有名詞 人名 姓 * *,161,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,160,12
殴る,殴る,殴る,動詞 一般 * * 五段-ラ行 連体形-一般,155,12
から,から,から,助詞 格助詞 * * * *,154,12
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,153,12
の,の,の,助詞 終助詞 * * * *,145,12
エンジン,エンジン,エンジン,名詞 普通名詞 一般 * * *,142,12
それ,それ,其れ,代名詞 * * * * *,138,12
あ,あ,あっ,感動詞 一般 * * * *,135,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,135,12
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,132,12
わ,わ,わ,助詞 終助詞 * * * *,132,12
私,私,私,代名詞 * * * * *,130,12
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,127,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,126,12
これ,これ,此れ,代名詞 * * * * *,125,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,122,12
桜井,桜井,桜井,名詞 固有名詞 地名 一般 * *,122,11
て,てる,てる,助動詞 * * * 下一段-タ行 連体形-省略,121,12
い,い,い,助詞 終助詞 * * * *,116,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,116,12
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,115,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,114,12
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,113,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,113,12
湘,湘,湘,名詞 固有名詞 地名 一般 * *,112,12
爆,爆,爆,名詞 普通名詞 一般 * * *,112,12
ス,ッス,です,助動詞 * * * 助動詞-デス 終止形-一般,110,12
なん,なん,何,代名詞 * * * * *,109,12
