Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,983,10
の,の,の,助詞 格助詞 * * * *,728,10
に,に,に,助詞 格助詞 * * * *,595,10
を,を,を,助詞 格助詞 * * * *,595,10
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,509,10
て,て,て,助詞 接続助詞 * * * *,477,10
も,も,も,助詞 係助詞 * * * *,410,10
が,が,が,助詞 格助詞 * * * *,380,10
と,と,と,助詞 格助詞 * * * *,347,10
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,346,10
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,309,10
の,の,の,助詞 準体助詞 * * * *,288,10
で,で,で,助詞 格助詞 * * * *,273,10
ハクノ,ハクノ,ハクノ,名詞 普通名詞 一般 * * *,272,10
セイバー,セイバー,セイバー,名詞 普通名詞 一般 * * *,206,10
か,か,か,助詞 終助詞 * * * *,203,10
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,203,10
よ,よ,よ,助詞 終助詞 * * * *,172,10
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,165,10
マスター,マスター,マスター,名詞 普通名詞 サ変可能 * * *,155,10
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,150,10
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,141,10
な,な,な,助詞 終助詞 * * * *,138,10
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,132,10
こと,こと,こと,名詞 普通名詞 一般 * * *,128,10
リン,リン,燐,名詞 普通名詞 一般 * * *,128,10
それ,それ,其れ,代名詞 * * * * *,110,10
そう,そう,そう,副詞 * * * * *,104,10
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,104,10
か,か,か,助詞 副助詞 * * * *,103,10
ね,ね,ね,助詞 終助詞 * * * *,102,10
が,が,が,助詞 接続助詞 * * * *,97,10
あっ,あっ,あっ,感動詞 一般 * * * *,92,10
何,何,何,代名詞 * * * * *,91,10
ん,ん,の,助詞 準体助詞 * * * *,90,10
もの,もの,物,名詞 普通名詞 サ変可能 * * *,89,10
俺,俺,俺,代名詞 * * * * *,88,10
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,83,10
ここ,ここ,此処,代名詞 * * * * *,78,10
ば,ば,ば,助詞 接続助詞 * * * *,78,10
その,その,其の,連体詞 * * * * *,76,10
あなた,あなた,貴方,代名詞 * * * * *,75,10
って,って,って,助詞 副助詞 * * * *,75,10
私,私,私,代名詞 * * * * *,75,9
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,73,10
ラニ,ラニ,ラニ,名詞 普通名詞 一般 * * *,73,5
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,71,7
この,この,此の,連体詞 * * * * *,70,10
から,から,から,助詞 接続助詞 * * * *,66,10
たち,たち,達,接尾辞 名詞的 一般 * * *,65,10
奏者,奏者,奏者,名詞 普通名詞 一般 * * *,65,10
から,から,から,助詞 格助詞 * * * *,62,10
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,61,10
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,61,9
聖杯,聖杯,聖杯,名詞 普通名詞 一般 * * *,59,10
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,58,10
だけ,だけ,だけ,助詞 副助詞 * * * *,58,10
