Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,731,12
の,の,の,助詞 格助詞 * * * *,619,12
は,は,は,助詞 係助詞 * * * *,601,12
仙,仙,仙,名詞 普通名詞 一般 * * *,542,12
狐,狐,狐,名詞 普通名詞 一般 * * *,515,12
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,501,12
中野,中野,中野,名詞 固有名詞 地名 一般 * *,476,12
に,に,に,助詞 格助詞 * * * *,460,12
の,の,の,助詞 準体助詞 * * * *,430,12
も,も,も,助詞 係助詞 * * * *,422,12
が,が,が,助詞 格助詞 * * * *,377,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,314,12
か,か,か,助詞 終助詞 * * * *,311,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,304,12
を,を,を,助詞 格助詞 * * * *,282,12
で,で,で,助詞 格助詞 * * * *,274,12
と,と,と,助詞 格助詞 * * * *,265,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,264,12
う,う,うー,感動詞 フィラー * * * *,235,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,228,12
よ,よ,よ,助詞 終助詞 * * * *,220,12
ね,ね,ね,助詞 終助詞 * * * *,218,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,202,12
シロ,シロ,白,名詞 普通名詞 一般 * * *,170,10
の,の,の,助詞 終助詞 * * * *,162,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,161,12
ん,ん,の,助詞 準体助詞 * * * *,161,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,158,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,145,12
か,か,か,助詞 副助詞 * * * *,141,12
のう,のう,のう,助詞 終助詞 * * * *,138,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,133,12
おぬし,おぬし,お主,代名詞 * * * * *,131,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,128,12
から,から,から,助詞 接続助詞 * * * *,125,12
やん,やる,遣る,動詞 非自立可能 * * 五段-ラ行 未然形-撥音便,125,12
な,な,な,助詞 終助詞 * * * *,123,12
何,何,何,代名詞 * * * * *,123,12
あっ,あっ,あっ,感動詞 一般 * * * *,121,12
お,お,御,接頭辞 * * * * *,118,12
わらわ,わらわ,童,名詞 普通名詞 一般 * * *,114,12
そう,そう,そう,副詞 * * * * *,113,12
それ,それ,其れ,代名詞 * * * * *,113,12
〜,〜,〜,補助記号 一般 * * * *,110,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,107,12
はい,はい,はい,感動詞 一般 * * * *,106,12
高円寺,高円寺,高円寺,名詞 固有名詞 地名 一般 * *,103,11
こと,こと,こと,名詞 普通名詞 一般 * * *,100,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,100,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,100,12
これ,これ,此れ,代名詞 * * * * *,99,12
わ,わ,わ,助詞 終助詞 * * * *,91,12
音,音,音,名詞 普通名詞 一般 * * *,91,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,81,12
どう,どう,どう,副詞 * * * * *,80,12
し,し,し,助詞 接続助詞 * * * *,78,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,74,12
えっ,えっ,えっ,感動詞 一般 * * * *,73,12
俺,俺,俺,代名詞 * * * * *,73,12
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,72,12
この,この,此の,連体詞 * * * * *,69,12
って,って,って,助詞 副助詞 * * * *,68,12
から,から,から,助詞 格助詞 * * * *,67,12
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,67,12
が,が,が,助詞 接続助詞 * * * *,63,12
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,63,12
じゃ,じゃ,で,助詞 格助詞 * * * *,61,11
ああ,ああ,ああ,感動詞 一般 * * * *,59,11
けど,けど,けれど,助詞 接続助詞 * * * *,58,12
ば,ば,ば,助詞 接続助詞 * * * *,58,12
もう,もう,もう,副詞 * * * * *,56,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,55,12
フフ,フフ,ふふ,感動詞 一般 * * * *,53,12
ん,ん,んっ,感動詞 一般 * * * *,51,12
少し,少し,少し,副詞 * * * * *,50,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,50,11
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,49,12
その,その,其の,連体詞 * * * * *,48,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,48,12
まで,まで,まで,助詞 副助詞 * * * *,48,11
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,47,12
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,47,12
だけ,だけ,だけ,助詞 副助詞 * * * *,47,10
やー,やー,や,助詞 終助詞 * * * *,46,10
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,45,10
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,44,12
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,44,11
いや,いや,否,感動詞 一般 * * * *,42,12
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,42,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,41,12
で,で,で,助詞 接続助詞 * * * *,41,12
ハァ,ハァ,はあ,感動詞 一般 * * * *,41,9
そう,そう,そう,形状詞 助動詞語幹 * * * *,40,12
よう,よう,様,形状詞 助動詞語幹 * * * *,40,12
キツネ,キツネ,狐,名詞 普通名詞 一般 * * *,40,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,40,11
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,40,10
ん,ん,の,助詞 終助詞 * * * *,40,9
じゃろ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 意志推量形,39,11
と,と,と,助詞 接続助詞 * * * *,37,12
気,気,気,名詞 普通名詞 一般 * * *,36,11
ん,ん,ん,助詞 格助詞 * * * *,35,11
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,35,10
うむ,うむ,うむ,感動詞 一般 * * * *,35,10
ヨーコ,ヨーコ,ヨーコ,名詞 固有名詞 人名 名 * *,35,4
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,34,12
