Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,739,12
アリス,アリス,アリス,名詞 固有名詞 人名 一般 * *,739,12
の,の,の,助詞 格助詞 * * * *,666,12
て,て,て,助詞 接続助詞 * * * *,573,12
に,に,に,助詞 格助詞 * * * *,509,12
よ,よ,よ,助詞 終助詞 * * * *,488,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,437,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,429,12
忍,忍,忍,名詞 固有名詞 人名 名 * *,421,12
〜,〜,〜,補助記号 一般 * * * *,399,12
陽子,陽子,陽子,名詞 固有名詞 人名 名 * *,397,12
が,が,が,助詞 格助詞 * * * *,386,12
も,も,も,助詞 係助詞 * * * *,364,12
綾,綾,綾,名詞 普通名詞 一般 * * *,345,12
で,で,で,助詞 格助詞 * * * *,316,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,313,12
カレン,カレン,カレン,名詞 固有名詞 一般 * * *,306,11
と,と,と,助詞 格助詞 * * * *,281,12
ね,ね,ね,助詞 終助詞 * * * *,278,12
私,私,私,代名詞 * * * * *,259,12
あっ,あっ,あっ,感動詞 一般 * * * *,257,12
何,何,何,代名詞 * * * * *,251,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,239,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,228,12
を,を,を,助詞 格助詞 * * * *,223,12
ん,ん,の,助詞 準体助詞 * * * *,221,12
デス,デス,デス,助動詞 * * * 助動詞-デス 終止形-一般,217,10
か,か,か,助詞 終助詞 * * * *,212,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,200,12
の,の,の,助詞 準体助詞 * * * *,190,12
シノ,シノ,篠,名詞 普通名詞 一般 * * *,172,12
って,って,って,助詞 副助詞 * * * *,164,12
か,か,か,助詞 副助詞 * * * *,160,12
わ,わ,わ,助詞 終助詞 * * * *,149,12
お,お,御,接頭辞 * * * * *,148,12
の,の,の,助詞 終助詞 * * * *,141,12
あ,あ,あっ,感動詞 一般 * * * *,139,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,132,12
そう,そう,そう,副詞 * * * * *,124,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,122,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,117,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,106,12
こと,こと,こと,名詞 普通名詞 一般 * * *,104,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,104,12
それ,それ,其れ,代名詞 * * * * *,99,12
烏丸,烏丸,烏丸,名詞 固有名詞 人名 姓 * *,98,11
･,・,・,補助記号 一般 * * * *,97,12
から,から,から,助詞 接続助詞 * * * *,97,11
どう,どう,どう,副詞 * * * * *,94,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,92,12
ああ,ああ,ああ,感動詞 一般 * * * *,91,12
な,な,な,助詞 終助詞 * * * *,88,12
けど,けど,けれど,助詞 接続助詞 * * * *,87,12
