Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,750,11
の,の,の,助詞 格助詞 * * * *,663,11
に,に,に,助詞 格助詞 * * * *,652,11
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,575,11
は,は,は,助詞 係助詞 * * * *,527,11
で,で,で,助詞 格助詞 * * * *,455,11
も,も,も,助詞 係助詞 * * * *,447,11
よ,よ,よ,助詞 終助詞 * * * *,420,11
が,が,が,助詞 格助詞 * * * *,414,11
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,383,11
と,と,と,助詞 格助詞 * * * *,382,11
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,330,11
か,か,か,助詞 終助詞 * * * *,313,11
ん,ん,の,助詞 準体助詞 * * * *,302,11
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,301,11
って,って,って,助詞 副助詞 * * * *,298,11
ね,ね,ね,助詞 終助詞 * * * *,287,11
の,の,の,助詞 準体助詞 * * * *,267,11
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,247,11
か,か,か,助詞 副助詞 * * * *,243,11
な,な,な,助詞 終助詞 * * * *,243,11
何,何,何,代名詞 * * * * *,228,11
を,を,を,助詞 格助詞 * * * *,215,11
さん,さん,さん,接尾辞 名詞的 一般 * * *,207,11
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,188,11
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,184,11
から,から,から,助詞 接続助詞 * * * *,183,11
彩花,彩花,彩花,名詞 固有名詞 人名 名 * *,166,11
宇佐,宇佐,宇佐,名詞 固有名詞 地名 一般 * *,162,11
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,161,11
し,し,し,助詞 接続助詞 * * * *,156,11
シロ,シロ,白,名詞 普通名詞 一般 * * *,156,11
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,155,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,155,11
けど,けど,けれど,助詞 接続助詞 * * * *,144,11
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,139,11
俺,俺,俺,代名詞 * * * * *,139,11
〜,〜,〜,補助記号 一般 * * * *,137,11
君,君,君,接尾辞 名詞的 一般 * * *,137,10
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,132,11
の,の,の,助詞 終助詞 * * * *,117,11
そう,そう,そう,副詞 * * * * *,116,11
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,116,11
こと,こと,こと,名詞 普通名詞 一般 * * *,115,11
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,115,11
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,108,11
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,108,11
えッ,えッ,えっ,感動詞 一般 * * * *,100,11
住子,住子,住子,名詞 固有名詞 人名 姓 * *,100,11
麻弓,麻弓,麻弓,名詞 固有名詞 人名 名 * *,100,11
それ,それ,其れ,代名詞 * * * * *,96,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,92,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,92,11
私,私,私,代名詞 * * * * *,91,11
お,お,御,接頭辞 * * * * *,89,11
から,から,から,助詞 格助詞 * * * *,89,11
人,人,人,名詞 普通名詞 一般 * * *,89,10
あッ,あッ,あっ,感動詞 一般 * * * *,85,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,84,11
もう,もう,もう,副詞 * * * * *,81,11
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,80,11
律,律,律,名詞 固有名詞 人名 名 * *,80,11
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,79,11
この,この,此の,連体詞 * * * * *,75,11
ああ,ああ,ああ,感動詞 一般 * * * *,73,11
どう,どう,どう,副詞 * * * * *,72,11
本,本,本,名詞 普通名詞 一般 * * *,71,10
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,69,11
うん,うん,うん,感動詞 一般 * * * *,67,11
あの,あの,彼の,連体詞 * * * * *,66,11
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,64,11
これ,これ,此れ,代名詞 * * * * *,63,11
ちょっと,ちょっと,一寸,副詞 * * * * *,61,11
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,60,11
お前,お前,御前,代名詞 * * * * *,59,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,59,11
そんな,そんな,そんな,連体詞 * * * * *,58,11
だけ,だけ,だけ,助詞 副助詞 * * * *,58,11
そう,そう,そう,形状詞 助動詞語幹 * * * *,55,11
好き,好き,好き,形状詞 一般 * * * *,55,11
わ,わ,わ,助詞 終助詞 * * * *,54,11
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,54,11
で,で,で,助詞 接続助詞 * * * *,53,11
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,52,11
千夏,千夏,千夏,名詞 固有名詞 人名 名 * *,52,2
ば,ば,ば,助詞 接続助詞 * * * *,50,10
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,49,11
なんて,なんて,なんて,助詞 副助詞 * * * *,49,11
友達,友達,友達,名詞 普通名詞 一般 * * *,49,11
その,その,其の,連体詞 * * * * *,49,10
と,と,と,助詞 接続助詞 * * * *,48,11
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,47,11
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,47,10
