Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,544,11
て,て,て,助詞 接続助詞 * * * *,528,11
の,の,の,助詞 格助詞 * * * *,471,11
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,450,11
に,に,に,助詞 格助詞 * * * *,429,11
が,が,が,助詞 格助詞 * * * *,315,11
を,を,を,助詞 格助詞 * * * *,311,11
よ,よ,よ,助詞 終助詞 * * * *,262,11
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,250,11
か,か,か,助詞 終助詞 * * * *,248,11
一夏,一夏,一夏,名詞 普通名詞 一般 * * *,237,11
で,で,で,助詞 格助詞 * * * *,225,11
と,と,と,助詞 格助詞 * * * *,223,11
も,も,も,助詞 係助詞 * * * *,223,11
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,199,11
な,な,な,助詞 終助詞 * * * *,193,11
の,の,の,助詞 準体助詞 * * * *,183,11
何,何,何,代名詞 * * * * *,172,11
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,171,11
ね,ね,ね,助詞 終助詞 * * * *,164,11
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,158,11
あッ,あッ,あっ,感動詞 一般 * * * *,155,11
私,私,私,代名詞 * * * * *,154,11
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,153,11
ん,ん,の,助詞 準体助詞 * * * *,150,11
〜,〜,〜,補助記号 一般 * * * *,148,11
そう,そう,そう,副詞 * * * * *,137,11
わ,わ,わ,助詞 終助詞 * * * *,134,11
えッ,えッ,えっ,感動詞 一般 * * * *,127,11
さん,さん,さん,接尾辞 名詞的 一般 * * *,127,11
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,124,11
それ,それ,其れ,代名詞 * * * * *,100,11
から,から,から,助詞 接続助詞 * * * *,98,11
うん,うん,うん,感動詞 一般 * * * *,97,11
か,か,か,助詞 副助詞 * * * *,97,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,97,11
これ,これ,此れ,代名詞 * * * * *,93,11
こと,こと,こと,名詞 普通名詞 一般 * * *,92,11
って,って,って,助詞 副助詞 * * * *,91,10
斑,斑,斑,接尾辞 名詞的 一般 * * *,89,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,88,11
