Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1023,12
は,は,は,助詞 係助詞 * * * *,732,12
て,て,て,助詞 接続助詞 * * * *,662,12
に,に,に,助詞 格助詞 * * * *,661,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,647,12
を,を,を,助詞 格助詞 * * * *,630,12
が,が,が,助詞 格助詞 * * * *,594,12
〜,〜,〜,補助記号 一般 * * * *,404,11
と,と,と,助詞 格助詞 * * * *,349,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,336,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,335,12
で,で,で,助詞 格助詞 * * * *,319,12
も,も,も,助詞 係助詞 * * * *,316,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,311,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,228,12
か,か,か,助詞 終助詞 * * * *,223,12
ん,ん,の,助詞 準体助詞 * * * *,221,11
って,って,って,助詞 副助詞 * * * *,205,11
の,の,の,助詞 準体助詞 * * * *,204,12
よ,よ,よ,助詞 終助詞 * * * *,195,11
音,音,音,名詞 普通名詞 一般 * * *,190,12
あっ,あっ,あっ,感動詞 一般 * * * *,172,12
たち,たち,達,接尾辞 名詞的 一般 * * *,165,12
な,な,な,助詞 終助詞 * * * *,158,12
シックス,シックス,シックス,名詞 普通名詞 一般 * * *,156,11
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,155,12
何,何,何,代名詞 * * * * *,150,12
ね,ね,ね,助詞 終助詞 * * * *,130,12
茂,茂,茂,名詞 固有名詞 人名 名 * *,125,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,124,12
ああ,ああ,ああ,感動詞 一般 * * * *,123,11
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,122,12
事,事,事,名詞 普通名詞 一般 * * *,118,12
それ,それ,其れ,代名詞 * * * * *,115,12
