Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,837,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,805,12
の,の,の,助詞 格助詞 * * * *,804,12
は,は,は,助詞 係助詞 * * * *,804,12
に,に,に,助詞 格助詞 * * * *,729,12
が,が,が,助詞 格助詞 * * * *,613,12
を,を,を,助詞 格助詞 * * * *,501,12
も,も,も,助詞 係助詞 * * * *,429,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,383,12
で,で,で,助詞 格助詞 * * * *,371,12
よ,よ,よ,助詞 終助詞 * * * *,367,12
ん,ん,の,助詞 準体助詞 * * * *,347,12
か,か,か,助詞 終助詞 * * * *,337,12
と,と,と,助詞 格助詞 * * * *,334,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,326,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,303,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,300,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,282,12
の,の,の,助詞 準体助詞 * * * *,281,12
ね,ね,ね,助詞 終助詞 * * * *,241,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,241,12
私,私,私,代名詞 * * * * *,218,12
先生,先生,先生,名詞 普通名詞 一般 * * *,208,12
何,何,何,代名詞 * * * * *,195,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,177,12
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,168,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,165,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,164,12
から,から,から,助詞 接続助詞 * * * *,151,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,143,12
それ,それ,其れ,代名詞 * * * * *,137,12
って,って,って,助詞 副助詞 * * * *,133,12
ああ,ああ,ああ,感動詞 一般 * * * *,132,12
こと,こと,こと,名詞 普通名詞 一般 * * *,130,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,130,12
あ,あ,あっ,感動詞 一般 * * * *,126,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,124,12
か,か,か,助詞 副助詞 * * * *,123,12
そう,そう,そう,副詞 * * * * *,110,12
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,109,12
うっ,うっ,うう,感動詞 一般 * * * *,109,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,109,12
・,・,・,補助記号 一般 * * * *,109,6
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,108,12
これ,これ,此れ,代名詞 * * * * *,102,12
あっ,あっ,あっ,感動詞 一般 * * * *,99,12
〜,〜,〜,補助記号 一般 * * * *,97,10
