Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,3059,39
は,は,は,助詞 係助詞 * * * *,2788,39
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2712,39
に,に,に,助詞 格助詞 * * * *,2434,39
て,て,て,助詞 接続助詞 * * * *,2371,39
を,を,を,助詞 格助詞 * * * *,1799,39
が,が,が,助詞 格助詞 * * * *,1784,39
よ,よ,よ,助詞 終助詞 * * * *,1513,39
も,も,も,助詞 係助詞 * * * *,1331,39
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1301,39
で,で,で,助詞 格助詞 * * * *,1175,39
ん,ん,の,助詞 準体助詞 * * * *,1141,39
の,の,の,助詞 準体助詞 * * * *,1068,39
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1028,39
と,と,と,助詞 格助詞 * * * *,1002,39
か,か,か,助詞 終助詞 * * * *,971,39
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,953,39
ね,ね,ね,助詞 終助詞 * * * *,864,39
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,733,39
〜,〜,〜,補助記号 一般 * * * *,717,38
ナディア,ナディア,ナディア,名詞 固有名詞 人名 一般 * *,704,39
な,な,な,助詞 終助詞 * * * *,624,39
こと,こと,こと,名詞 普通名詞 一般 * * *,580,39
の,の,の,助詞 終助詞 * * * *,571,39
そう,そう,そう,副詞 * * * * *,569,39
ジャン,ジャン,ジャン,名詞 固有名詞 人名 一般 * *,553,39
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,521,38
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,513,39
この,この,此の,連体詞 * * * * *,492,39
って,って,って,助詞 副助詞 * * * *,491,39
どう,どう,どう,副詞 * * * * *,488,39
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,474,39
わ,わ,わ,助詞 終助詞 * * * *,440,39
から,から,から,助詞 接続助詞 * * * *,410,39
それ,それ,其れ,代名詞 * * * * *,398,39
わたし,わたし,私,代名詞 * * * * *,395,37
何,何,何,代名詞 * * * * *,364,39
か,か,か,助詞 副助詞 * * * *,354,39
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,354,39
なん,なん,何,代名詞 * * * * *,342,39
その,その,其の,連体詞 * * * * *,326,39
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,325,39
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,324,39
これ,これ,此れ,代名詞 * * * * *,316,39
キング,キング,キング,名詞 普通名詞 一般 * * *,316,36
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,316,35
マリー,マリー,マリー,名詞 固有名詞 人名 一般 * *,310,33
ネモ,ネモ,ネモ,名詞 固有名詞 人名 一般 * *,307,28
から,から,から,助詞 格助詞 * * * *,302,39
うん,うん,うん,感動詞 一般 * * * *,299,38
い,い,い,助詞 終助詞 * * * *,293,38
お,お,御,接頭辞 * * * * *,287,36
さん,さん,さん,接尾辞 名詞的 一般 * * *,280,38
ミャア,ミャア,ミャア,名詞 普通名詞 一般 * * *,272,33
たち,たち,達,接尾辞 名詞的 一般 * * *,270,38
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,258,38
あの,あの,彼の,連体詞 * * * * *,227,39
もう,もう,もう,副詞 * * * * *,227,39
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,217,39
ぼく,ぼく,僕,代名詞 * * * * *,210,36
サンソン,サンソン,サンソン,名詞 固有名詞 人名 一般 * *,205,35
さ,さ,さ,助詞 終助詞 * * * *,203,35
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,200,36
船長,船長,船長,名詞 普通名詞 一般 * * *,196,27
音,音,音,名詞 普通名詞 一般 * * *,195,36
なんて,なんて,なんて,助詞 副助詞 * * * *,193,33
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,186,39
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,185,38
人,人,人,名詞 普通名詞 一般 * * *,185,33
ば,ば,ば,助詞 接続助詞 * * * *,183,37
グランディス,グランディス,グランディス,名詞 固有名詞 一般 * * *,183,35
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,181,38
もの,もの,物,名詞 普通名詞 サ変可能 * * *,181,38
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,178,36
船,船,船,名詞 普通名詞 一般 * * *,176,29
島,島,島,名詞 普通名詞 一般 * * *,174,20
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,172,36
そんな,そんな,そんな,連体詞 * * * * *,171,35
まで,まで,まで,助詞 副助詞 * * * *,170,39
ハンソン,ハンソン,ハンソン,名詞 固有名詞 人名 一般 * *,168,35
ガーゴイル,ガーゴイル,ガーゴイル,名詞 普通名詞 一般 * * *,167,25
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,165,37
ここ,ここ,此処,代名詞 * * * * *,164,37
へ,へ,へ,助詞 格助詞 * * * *,162,36
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,161,39
エレクトラ,エレクトラ,エレクトラ,名詞 固有名詞 人名 一般 * *,159,24
君,君,君,代名詞 * * * * *,158,34
あっ,あっ,あっ,感動詞 一般 * * * *,157,36
だけ,だけ,だけ,助詞 副助詞 * * * *,154,36
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,153,37
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,150,39
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,150,37
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,148,38
が,が,が,助詞 接続助詞 * * * *,147,37
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,147,36
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,146,31
・,・,・,補助記号 一般 * * * *,146,29
はい,はい,はい,感動詞 一般 * * * *,146,23
で,で,で,助詞 接続助詞 * * * *,141,37
