Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,377,2
て,て,て,助詞 接続助詞 * * * *,276,2
は,は,は,助詞 係助詞 * * * *,268,2
に,に,に,助詞 格助詞 * * * *,256,2
を,を,を,助詞 格助詞 * * * *,230,2
が,が,が,助詞 格助詞 * * * *,225,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,186,2
も,も,も,助詞 係助詞 * * * *,132,2
たち,たち,達,接尾辞 名詞的 一般 * * *,128,2
よ,よ,よ,助詞 終助詞 * * * *,126,2
と,と,と,助詞 格助詞 * * * *,118,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,108,2
プリキュア,プリキュア,プリキュア,名詞 固有名詞 一般 * * *,104,2
で,で,で,助詞 格助詞 * * * *,100,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,95,2
の,の,の,助詞 準体助詞 * * * *,94,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,91,2
何,何,何,代名詞 * * * * *,89,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,85,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,84,2
･,・,・,補助記号 一般 * * * *,82,1
ん,ん,の,助詞 準体助詞 * * * *,76,2
ニャ,ニャ,ニャ,名詞 普通名詞 一般 * * *,73,2
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,72,2
って,って,って,助詞 副助詞 * * * *,65,2
か,か,か,助詞 副助詞 * * * *,62,2
こと,こと,こと,名詞 普通名詞 一般 * * *,59,2
音,音,音,名詞 普通名詞 一般 * * *,59,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,58,2
私,私,私,代名詞 * * * * *,56,2
か,か,か,助詞 終助詞 * * * *,55,2
力,力,力,名詞 普通名詞 一般 * * *,54,2
この,この,此の,連体詞 * * * * *,53,2
私たち,私たち,私達,名詞 普通名詞 一般 * * *,52,2
ね,ね,ね,助詞 終助詞 * * * *,51,2
の,の,の,助詞 終助詞 * * * *,51,2
どう,どう,どう,副詞 * * * * *,49,2
キュア,キュア,キュア,名詞 普通名詞 一般 * * *,46,2
これ,これ,此れ,代名詞 * * * * *,45,2
それ,それ,其れ,代名詞 * * * * *,44,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,44,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,43,2
から,から,から,助詞 接続助詞 * * * *,42,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,42,2
そう,そう,そう,副詞 * * * * *,41,2
世界,世界,世界,名詞 普通名詞 一般 * * *,41,2
パパ,パパ,パパ,名詞 普通名詞 一般 * * *,41,1
フラワー,フラワー,フラワー,名詞 普通名詞 一般 * * *,41,1
プリズム,プリズム,プリズム,名詞 普通名詞 一般 * * *,41,1
わ,わ,わ,助詞 終助詞 * * * *,40,2
音楽,音楽,音楽,名詞 普通名詞 一般 * * *,40,1
な,な,な,助詞 終助詞 * * * *,39,2
お,お,御,接頭辞 * * * * *,38,2
もう,もう,もう,副詞 * * * * *,38,2
ママ,ママ,ママ,名詞 普通名詞 一般 * * *,37,1
様,様,様,接尾辞 名詞的 一般 * * *,36,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,35,2
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,35,2
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,35,2
えっ,えっ,えっ,感動詞 一般 * * * *,34,2
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,34,2
ハミィ,ハミィ,ハミィ,名詞 普通名詞 一般 * * *,33,2
響,響,響き,名詞 普通名詞 一般 * * *,32,2
心,心,心,名詞 普通名詞 サ変可能 * * *,31,2
アコ,アコ,アコ,名詞 固有名詞 人名 一般 * *,31,1
あっ,あっ,あっ,感動詞 一般 * * * *,30,2
から,から,から,助詞 格助詞 * * * *,30,2
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,30,2
その,その,其の,連体詞 * * * * *,29,2
ば,ば,ば,助詞 接続助詞 * * * *,29,2
うん,うん,うん,感動詞 一般 * * * *,28,2
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,27,2
ココ,ココ,ココ,名詞 普通名詞 一般 * * *,27,1
ここ,ここ,此処,代名詞 * * * * *,26,2
アフロディテ,アフロディテ,アフロディテ,名詞 固有名詞 人名 一般 * *,26,1
〜,〜,〜,補助記号 一般 * * * *,25,1
ああ,ああ,ああ,感動詞 一般 * * * *,24,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,23,2
メロディ,メロディ,メロディー,名詞 普通名詞 一般 * * *,23,2
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,21,2
けど,けど,けれど,助詞 接続助詞 * * * *,21,2
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,21,2
魔女,魔女,魔女,名詞 普通名詞 一般 * * *,21,1
あ,あ,あっ,感動詞 一般 * * * *,20,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,20,2
お前,お前,御前,代名詞 * * * * *,20,2
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,20,2
