Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,1954,26
の,の,の,助詞 格助詞 * * * *,1800,26
て,て,て,助詞 接続助詞 * * * *,1630,26
に,に,に,助詞 格助詞 * * * *,1550,26
も,も,も,助詞 係助詞 * * * *,1424,26
が,が,が,助詞 格助詞 * * * *,1338,26
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1292,26
を,を,を,助詞 格助詞 * * * *,1136,26
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,838,26
で,で,で,助詞 格助詞 * * * *,838,26
と,と,と,助詞 格助詞 * * * *,834,26
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,698,26
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,680,26
の,の,の,助詞 準体助詞 * * * *,680,26
か,か,か,助詞 終助詞 * * * *,636,26
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,634,26
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,558,26
何,何,何,代名詞 * * * * *,528,26
よ,よ,よ,助詞 終助詞 * * * *,452,26
ふ,ふ,ふ,名詞 普通名詞 一般 * * *,444,22
〜,〜,〜,補助記号 一般 * * * *,426,26
か,か,か,助詞 副助詞 * * * *,426,26
ん,ん,の,助詞 準体助詞 * * * *,416,26
ね,ね,ね,助詞 終助詞 * * * *,358,26
それ,それ,其れ,代名詞 * * * * *,330,26
ー,ー,ー,補助記号 一般 * * * *,330,22
こと,こと,こと,名詞 普通名詞 一般 * * *,324,26
な,な,な,助詞 終助詞 * * * *,324,26
わ,わ,わ,助詞 終助詞 * * * *,312,26
この,この,此の,連体詞 * * * * *,298,26
どう,どう,どう,副詞 * * * * *,280,26
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,278,26
そう,そう,そう,副詞 * * * * *,276,26
さん,さん,さん,接尾辞 名詞的 一般 * * *,272,26
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,264,26
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,260,26
から,から,から,助詞 接続助詞 * * * *,254,26
み,み,み,名詞 普通名詞 一般 * * *,252,22
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,250,26
これ,これ,此れ,代名詞 * * * * *,242,26
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,228,26
お,お,御,接頭辞 * * * * *,224,26
から,から,から,助詞 格助詞 * * * *,220,26
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,220,26
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,218,26
ろん,ろん,ろん,名詞 固有名詞 人名 名 * *,214,22
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,210,26
はい,はい,はい,感動詞 一般 * * * *,205,26
が,が,が,助詞 接続助詞 * * * *,198,26
ば,ば,ば,助詞 接続助詞 * * * *,194,26
私,私,私,代名詞 * * * * *,194,26
お前,お前,御前,代名詞 * * * * *,188,24
その,その,其の,連体詞 * * * * *,180,26
俺,俺,俺,代名詞 * * * * *,178,24
の,の,の,助詞 終助詞 * * * *,172,26
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,166,26
あの,あの,彼の,連体詞 * * * * *,164,24
ふ,ふ,ふ,接尾辞 名詞的 一般 * * *,164,24
様,様,様,接尾辞 名詞的 一般 * * *,164,22
あッ,あッ,あっ,感動詞 一般 * * * *,162,24
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,162,24
ああ,ああ,ああ,感動詞 一般 * * * *,158,24
ラティファ,ラティファ,ラティファ,名詞 固有名詞 人名 一般 * *,158,24
