Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,279,1
は,は,は,助詞 係助詞 * * * *,249,1
が,が,が,助詞 格助詞 * * * *,186,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,185,1
に,に,に,助詞 格助詞 * * * *,174,1
て,て,て,助詞 接続助詞 * * * *,168,1
を,を,を,助詞 格助詞 * * * *,141,1
アリサ,アリサ,アリサ,名詞 固有名詞 人名 名 * *,129,1
よ,よ,よ,助詞 終助詞 * * * *,112,1
上条,上条,上条,名詞 固有名詞 人名 姓 * *,108,1
あ,あ,あっ,感動詞 一般 * * * *,106,1
も,も,も,助詞 係助詞 * * * *,100,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,91,1
と,と,と,助詞 格助詞 * * * *,90,1
ん,ん,の,助詞 準体助詞 * * * *,88,1
の,の,の,助詞 準体助詞 * * * *,87,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,86,1
で,で,で,助詞 格助詞 * * * *,86,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,85,1
って,って,って,助詞 副助詞 * * * *,80,1
か,か,か,助詞 終助詞 * * * *,75,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,74,1
インデックス,インデックス,インデックス,名詞 普通名詞 一般 * * *,72,1
音,音,音,名詞 普通名詞 一般 * * *,65,1
うっ,うっ,うう,感動詞 一般 * * * *,58,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,58,1
私,私,私,代名詞 * * * * *,58,1
アウラ,アウラ,アウラ,名詞 普通名詞 一般 * * *,56,1
シャット,シャット,シャット,名詞 普通名詞 一般 * * *,56,1
ね,ね,ね,助詞 終助詞 * * * *,55,1
か,か,か,助詞 副助詞 * * * *,54,1
な,な,な,助詞 終助詞 * * * *,53,1
あっ,あっ,あっ,感動詞 一般 * * * *,50,1
こと,こと,こと,名詞 普通名詞 一般 * * *,49,1
〜,〜,〜,補助記号 一般 * * * *,47,1
奇蹟,奇蹟,奇跡,名詞 普通名詞 一般 * * *,47,1
ハァ,ハァ,はあ,感動詞 一般 * * * *,37,1
それ,それ,其れ,代名詞 * * * * *,36,1
そう,そう,そう,副詞 * * * * *,34,1
の,の,の,助詞 終助詞 * * * *,34,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,33,1
美琴,美琴,美琴,名詞 固有名詞 人名 名 * *,33,1
