Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1372,3
て,て,て,助詞 接続助詞 * * * *,989,3
の,の,の,助詞 格助詞 * * * *,960,3
は,は,は,助詞 係助詞 * * * *,876,3
に,に,に,助詞 格助詞 * * * *,830,3
よ,よ,よ,助詞 終助詞 * * * *,773,3
を,を,を,助詞 格助詞 * * * *,681,3
お,お,御,接頭辞 * * * * *,622,3
が,が,が,助詞 格助詞 * * * *,622,3
ん,ん,の,助詞 準体助詞 * * * *,622,3
・,・,・,補助記号 一般 * * * *,518,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,447,3
も,も,も,助詞 係助詞 * * * *,424,3
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,405,3
で,で,で,助詞 格助詞 * * * *,404,3
ね,ね,ね,助詞 終助詞 * * * *,393,3
か,か,か,助詞 終助詞 * * * *,380,3
な,な,な,助詞 終助詞 * * * *,353,3
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,345,3
と,と,と,助詞 格助詞 * * * *,303,3
〜,〜,〜,補助記号 一般 * * * *,280,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,266,3
から,から,から,助詞 接続助詞 * * * *,239,3
の,の,の,助詞 準体助詞 * * * *,228,3
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,218,3
の,の,の,助詞 終助詞 * * * *,215,3
か,か,か,助詞 副助詞 * * * *,212,3
ここ,ここ,此処,代名詞 * * * * *,195,3
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,188,3
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,188,3
これ,これ,此れ,代名詞 * * * * *,174,3
い,い,い,助詞 終助詞 * * * *,173,3
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,161,3
あの,あの,彼の,連体詞 * * * * *,156,3
ハク,ハク,ハク,名詞 固有名詞 人名 一般 * *,154,3
って,って,って,助詞 副助詞 * * * *,151,3
どう,どう,どう,副詞 * * * * *,140,3
おまえ,おまえ,御前,代名詞 * * * * *,138,2
その,その,其の,連体詞 * * * * *,136,3
あっ,あっ,あっ,感動詞 一般 * * * *,135,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,134,3
もう,もう,もう,副詞 * * * * *,132,3
私,私,私,代名詞 * * * * *,132,3
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,131,3
こと,こと,こと,名詞 普通名詞 一般 * * *,124,3
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,121,3
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,118,3
へ,へ,へ,助詞 格助詞 * * * *,116,3
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,116,2
はく,はく,はく,名詞 普通名詞 一般 * * *,116,2
この,この,此の,連体詞 * * * * *,109,3
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,108,3
から,から,から,助詞 格助詞 * * * *,107,3
千尋,千尋,千尋,名詞 固有名詞 人名 名 * *,103,3
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,99,3
さん,さん,さん,接尾辞 名詞的 一般 * * *,98,3
で,で,で,助詞 接続助詞 * * * *,93,3
わたし,わたし,私,代名詞 * * * * *,93,3
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,89,3
っ,っ,っ,補助記号 一般 * * * *,86,3
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,85,3
はい,はい,はい,感動詞 一般 * * * *,84,3
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,84,3
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,84,3
ば,ば,ば,助詞 接続助詞 * * * *,83,3
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,82,3
それ,それ,其れ,代名詞 * * * * *,80,3
さ,さ,さ,助詞 終助詞 * * * *,79,3
何,何,何,代名詞 * * * * *,79,3
どこ,どこ,どこ,代名詞 * * * * *,78,3
もの,もの,物,名詞 普通名詞 サ変可能 * * *,78,3
そう,そう,そう,副詞 * * * * *,77,3
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,77,3
ちひろ,ちひろ,ちひろ,名詞 固有名詞 人名 名 * *,76,3
千,千,1000,名詞 数詞 * * * *,76,3
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,75,3
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,75,3
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,74,3
おとうさん,おとうさん,お父さん,名詞 普通名詞 一般 * * *,74,2
せん,せん,せん,名詞 普通名詞 一般 * * *,74,2
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,72,3
様,様,様,接尾辞 名詞的 一般 * * *,72,3
わ,わ,わ,助詞 終助詞 * * * *,71,3
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,70,3
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,70,3
ゆ,ゆ,ユ,記号 一般 * * * *,70,2
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,68,3
あなた,あなた,貴方,代名詞 * * * * *,66,3
すぐ,すぐ,直ぐ,副詞 * * * * *,66,3
千,千,千,名詞 固有名詞 人名 名 * *,66,3
ちょっと,ちょっと,一寸,副詞 * * * * *,65,3
とこ,とこ,とこ,名詞 普通名詞 一般 * * *,65,3
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,64,3
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,64,3
なに,なに,何,代名詞 * * * * *,64,2
いで,いでる,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,62,3
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,62,3
さま,さま,様,接尾辞 名詞的 一般 * * *,62,2
ー,ー,ー,補助記号 一般 * * * *,62,2
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,61,3
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,60,3
そこ,そこ,其処,代名詞 * * * * *,60,3
おかあさん,おかあさん,お母さん,名詞 普通名詞 一般 * * *,60,2
こっち,こっち,此方,代名詞 * * * * *,59,3
