Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,8632,83
は,は,は,助詞 係助詞 * * * *,6941,83
を,を,を,助詞 格助詞 * * * *,6856,83
に,に,に,助詞 格助詞 * * * *,4686,83
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,3992,83
が,が,が,助詞 格助詞 * * * *,3864,83
て,て,て,助詞 接続助詞 * * * *,3563,83
・,・,・,補助記号 一般 * * * *,3463,82
俺,俺,俺,代名詞 * * * * *,2837,83
で,で,で,助詞 格助詞 * * * *,2527,83
と,と,と,助詞 格助詞 * * * *,2444,83
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,2057,83
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1701,83
この,この,此の,連体詞 * * * * *,1638,83
遊馬,遊馬,遊馬,名詞 固有名詞 人名 姓 * *,1610,83
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1601,83
も,も,も,助詞 係助詞 * * * *,1406,83
モンスター,モンスター,モンスター,名詞 普通名詞 一般 * * *,1375,81
か,か,か,助詞 終助詞 * * * *,1341,83
カード,カード,カード,名詞 普通名詞 一般 * * *,1273,82
の,の,の,助詞 準体助詞 * * * *,1145,83
お前,お前,御前,代名詞 * * * * *,1131,83
よ,よ,よ,助詞 終助詞 * * * *,1122,83
発動,発動,発動,名詞 普通名詞 サ変可能 * * *,1073,81
効果,効果,効果,名詞 普通名詞 一般 * * *,1018,80
こと,こと,こと,名詞 普通名詞 一般 * * *,974,83
アストラル,アストラル,アストラル,名詞 普通名詞 一般 * * *,918,83
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,889,83
ん,ん,の,助詞 準体助詞 * * * *,887,83
ナンバーズ,ナンバーズ,ナンバーズ,名詞 普通名詞 一般 * * *,874,80
これ,これ,此れ,代名詞 * * * * *,852,83
召喚,召喚,召喚,名詞 普通名詞 サ変可能 * * *,829,81
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,821,83
な,な,な,助詞 終助詞 * * * *,821,83
私,私,私,代名詞 * * * * *,804,78
オーバーレイ,オーバーレイ,オーバーレイ,名詞 普通名詞 一般 * * *,797,80
ターン,ターン,ターン,名詞 普通名詞 サ変可能 * * *,738,81
攻撃力,攻撃力,攻撃力,名詞 普通名詞 一般 * * *,732,80
その,その,其の,連体詞 * * * * *,683,83
とき,とき,時,名詞 普通名詞 副詞可能 * * *,677,83
デュエル,デュエル,デュエル,名詞 普通名詞 一般 * * *,660,82
〜,〜,〜,補助記号 一般 * * * *,653,82
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,643,82
