Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,540,4
の,の,の,助詞 格助詞 * * * *,477,4
て,て,て,助詞 接続助詞 * * * *,466,4
に,に,に,助詞 格助詞 * * * *,434,4
を,を,を,助詞 格助詞 * * * *,350,4
と,と,と,助詞 格助詞 * * * *,342,4
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,319,4
が,が,が,助詞 格助詞 * * * *,267,4
も,も,も,助詞 係助詞 * * * *,240,4
で,で,で,助詞 格助詞 * * * *,186,4
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,184,4
の,の,の,助詞 準体助詞 * * * *,178,4
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,170,4
ん,ん,の,助詞 準体助詞 * * * *,162,4
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,159,4
こと,こと,こと,名詞 普通名詞 一般 * * *,152,4
か,か,か,助詞 終助詞 * * * *,145,4
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,131,4
よ,よ,よ,助詞 終助詞 * * * *,114,4
僕,僕,僕,代名詞 * * * * *,113,4
それ,それ,其れ,代名詞 * * * * *,106,4
な,な,な,助詞 終助詞 * * * *,101,4
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,100,4
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,98,4
そう,そう,そう,副詞 * * * * *,97,4
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,89,4
か,か,か,助詞 副助詞 * * * *,85,4
って,って,って,助詞 副助詞 * * * *,80,4
ね,ね,ね,助詞 終助詞 * * * *,79,4
から,から,から,助詞 接続助詞 * * * *,77,4
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,77,4
木,木,木,名詞 普通名詞 一般 * * *,77,4
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,72,4
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,66,4
その,その,其の,連体詞 * * * * *,63,4
お前,お前,御前,代名詞 * * * * *,61,4
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,55,4
ば,ば,ば,助詞 接続助詞 * * * *,53,4
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,51,4
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,51,4
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,50,4
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,50,4
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,50,4
なん,なん,何,代名詞 * * * * *,50,4
鬼,鬼,鬼,名詞 普通名詞 一般 * * *,50,3
い,い,いー,感動詞 フィラー * * * *,48,4
お兄ちゃん,お兄ちゃん,お兄ちゃん,名詞 普通名詞 一般 * * *,48,4
私,私,私,代名詞 * * * * *,47,3
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,46,4
吸血鬼,吸血鬼,吸血鬼,名詞 普通名詞 一般 * * *,46,4
よう,よう,様,形状詞 助動詞語幹 * * * *,45,4
々,々,々,補助記号 一般 * * * *,44,4
どう,どう,どう,副詞 * * * * *,44,4
阿良,阿良,阿良,名詞 固有名詞 人名 姓 * *,44,4
から,から,から,助詞 格助詞 * * * *,43,4
正弦,正弦,正弦,名詞 普通名詞 一般 * * *,43,2
や,や,や,助詞 副助詞 * * * *,41,4
さん,さん,さん,接尾辞 名詞的 一般 * * *,40,4
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,40,4
怪異,怪異,怪異,名詞 普通名詞 形状詞可能 * * *,39,4
斧,斧,斧,名詞 普通名詞 一般 * * *,39,4
いや,いや,否,感動詞 一般 * * * *,38,4
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,38,4
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,37,4
けど,けど,けれど,助詞 接続助詞 * * * *,35,4
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,35,4
もの,もの,物,名詞 普通名詞 サ変可能 * * *,35,4
乃,乃,の,助詞 格助詞 * * * *,34,3
人間,人間,人間,名詞 普通名詞 一般 * * *,33,4
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,33,2
が,が,が,助詞 接続助詞 * * * *,32,4
くん,くん,君,接尾辞 名詞的 一般 * * *,32,3
だけ,だけ,だけ,助詞 副助詞 * * * *,31,4
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,31,4
様,様,様,接尾辞 名詞的 一般 * * *,31,4
これ,これ,此れ,代名詞 * * * * *,30,4
し,し,し,助詞 接続助詞 * * * *,30,4
まあ,まあ,まあ,副詞 * * * * *,30,4
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,29,4
けれど,けれど,けれど,助詞 接続助詞 * * * *,29,4
この,この,此の,連体詞 * * * * *,29,4
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,29,4
わけ,わけ,訳,名詞 普通名詞 一般 * * *,29,4
何,何,何,代名詞 * * * * *,29,4
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,29,4
もう,もう,もう,副詞 * * * * *,28,4
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,28,4
人,人,人,名詞 普通名詞 一般 * * *,28,4
火,火,火,名詞 普通名詞 一般 * * *,28,4
奴,奴,奴,名詞 普通名詞 一般 * * *,27,4
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,26,4
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,26,4
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,26,4
今,今,今,名詞 普通名詞 副詞可能 * * *,26,4
妹,妹,妹,名詞 普通名詞 一般 * * *,26,4
影,影,影,名詞 普通名詞 一般 * * *,26,3
