Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
に,に,に,助詞 格助詞 * * * *,186,1
は,は,は,助詞 係助詞 * * * *,180,1
て,て,て,助詞 接続助詞 * * * *,166,1
の,の,の,助詞 格助詞 * * * *,152,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,137,1
ご,ご,御,接頭辞 * * * * *,126,1
も,も,も,助詞 係助詞 * * * *,126,1
が,が,が,助詞 格助詞 * * * *,118,1
主人,主人,主人,名詞 普通名詞 一般 * * *,115,1
様,様,様,接尾辞 名詞的 一般 * * *,105,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,101,1
と,と,と,助詞 格助詞 * * * *,94,1
で,で,で,助詞 格助詞 * * * *,89,1
ショコラ,ショコラ,ショコラ,名詞 普通名詞 一般 * * *,87,1
から,から,から,助詞 接続助詞 * * * *,84,1
〜,〜,〜,補助記号 一般 * * * *,76,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,70,1
って,って,って,助詞 副助詞 * * * *,69,1
か,か,か,助詞 終助詞 * * * *,68,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,66,1
を,を,を,助詞 格助詞 * * * *,62,1
ん,ん,の,助詞 準体助詞 * * * *,58,1
よ,よ,よ,助詞 終助詞 * * * *,55,1
ネコ,ネコ,猫,名詞 普通名詞 一般 * * *,54,1
の,の,の,助詞 準体助詞 * * * *,53,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,52,1
ね,ね,ね,助詞 終助詞 * * * *,51,1
な,な,な,助詞 終助詞 * * * *,46,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,46,1
お,お,御,接頭辞 * * * * *,45,1
にゃ,にゃ,に,助詞 格助詞 * * * *,45,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,42,1
あ,あ,あっ,感動詞 一般 * * * *,39,1
バニラ,バニラ,バニラ,名詞 普通名詞 一般 * * *,39,1
こと,こと,こと,名詞 普通名詞 一般 * * *,37,1
ん,ん,んっ,感動詞 一般 * * * *,37,1
何,何,何,代名詞 * * * * *,36,1
か,か,か,助詞 副助詞 * * * *,33,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,32,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,29,1
はあ,はあ,はあ,感動詞 一般 * * * *,29,1
鈴,鈴,鈴,名詞 普通名詞 一般 * * *,29,1
うん,うん,うん,感動詞 一般 * * * *,28,1
時雨,時雨,時雨,名詞 普通名詞 一般 * * *,28,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,27,1
私,私,私,代名詞 * * * * *,27,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,25,1
お前,お前,御前,代名詞 * * * * *,25,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,25,1
それ,それ,其れ,代名詞 * * * * *,24,1
ー,ー,ー,補助記号 一般 * * * *,23,1
あっ,あっ,あっ,感動詞 一般 * * * *,22,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,22,1
たち,たち,達,接尾辞 名詞的 一般 * * *,22,1
はい,はい,はい,感動詞 一般 * * * *,22,1
そう,そう,そう,副詞 * * * * *,21,1
ら,ら,等,接尾辞 名詞的 一般 * * *,21,1
から,から,から,助詞 格助詞 * * * *,20,1
これ,これ,此れ,代名詞 * * * * *,20,1
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,20,1
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,19,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,19,1
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,19,1
あ,あ,あー,感動詞 フィラー * * * *,18,1
ああ,ああ,ああ,感動詞 一般 * * * *,18,1
その,その,其の,連体詞 * * * * *,18,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,17,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,17,1
だけ,だけ,だけ,助詞 副助詞 * * * *,17,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,17,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,16,1
ば,ば,ば,助詞 接続助詞 * * * *,16,1
兄,兄,兄,名詞 普通名詞 一般 * * *,16,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,15,1
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,15,1
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,15,1
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,14,1
どう,どう,どう,副詞 * * * * *,14,1
の,の,の,助詞 終助詞 * * * *,14,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,14,1
俺,俺,俺,代名詞 * * * * *,14,1
けど,けど,けれど,助詞 接続助詞 * * * *,13,1
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,13,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,13,1
もう,もう,もう,副詞 * * * * *,13,1
ここ,ここ,此処,代名詞 * * * * *,12,1
この,この,此の,連体詞 * * * * *,12,1
そんな,そんな,そんな,連体詞 * * * * *,12,1
っ,っ,っ,補助記号 一般 * * * *,12,1
と,と,と,助詞 接続助詞 * * * *,12,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,12,1
り,り,り,助動詞 * * * 文語助動詞-リ 終止形-一般,12,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,12,1
私たち,私たち,私達,名詞 普通名詞 一般 * * *,12,1
う,う,うー,感動詞 フィラー * * * *,11,1
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,11,1
し,し,し,助詞 接続助詞 * * * *,11,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,11,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,11,1
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,11,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,11,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,10,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,10,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,10,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,10,1
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,10,1
で,で,で,助詞 接続助詞 * * * *,10,1
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,10,1
心配,心配,心配,名詞 普通名詞 サ変形状詞可能 * * *,10,1
持ち,持ち,持ち,接尾辞 名詞的 一般 * * *,10,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,10,1
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,9,1
とき,とき,時,名詞 普通名詞 副詞可能 * * *,9,1
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,9,1
今,今,今,名詞 普通名詞 副詞可能 * * *,9,1
所,所,所,名詞 普通名詞 副詞可能 * * *,9,1
許可証,許可証,許可証,名詞 普通名詞 一般 * * *,9,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,8,1
いや,いや,否,感動詞 一般 * * * *,8,1
うう,うう,うう,感動詞 一般 * * * *,8,1
うっ,うっ,うう,感動詞 一般 * * * *,8,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,8,1
じゃあ,じゃあ,で,接続詞 * * * * *,8,1
そう,そう,そう,形状詞 助動詞語幹 * * * *,8,1
ちょっと,ちょっと,一寸,副詞 * * * * *,8,1
て,てる,てる,助動詞 * * * 下一段-タ行 連体形-省略,8,1
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,8,1
なん,なん,何,代名詞 * * * * *,8,1
なんて,なんて,なんて,助詞 副助詞 * * * *,8,1
やっぱり,やっぱり,矢張り,副詞 * * * * *,8,1
よう,よう,様,形状詞 助動詞語幹 * * * *,8,1
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,8,1
前,前,前,名詞 普通名詞 副詞可能 * * *,8,1
本当,本当,本当,名詞 普通名詞 一般 * * *,8,1
病院,病院,病院,名詞 普通名詞 一般 * * *,8,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,8,1
願い,願う,願う,動詞 非自立可能 * * 五段-ワア行 連用形-一般,8,1
あと,あと,後,名詞 普通名詞 副詞可能 * * *,7,1
あの,あの,彼の,連体詞 * * * * *,7,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,7,1
お,お,おっ,感動詞 一般 * * * *,7,1
お店,お店,御店,名詞 普通名詞 一般 * * *,7,1
が,が,が,助詞 接続助詞 * * * *,7,1
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,7,1
すぐ,すぐ,直ぐ,副詞 * * * * *,7,1
そば,そば,そば,名詞 普通名詞 一般 * * *,7,1
そんな,そんな,そんな,形状詞 一般 * * * *,7,1
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,7,1
はむ,はむ,ハム,名詞 普通名詞 一般 * * *,7,1
まで,まで,まで,助詞 副助詞 * * * *,7,1
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,7,1
よ〜,よ〜,よ,助詞 終助詞 * * * *,7,1
よく,よく,良く,副詞 * * * * *,7,1
わ,わ,わ,助詞 終助詞 * * * *,7,1
アズキ,アズキ,小豆,名詞 普通名詞 一般 * * *,7,1
ケーキ,ケーキ,ケーキ,名詞 普通名詞 一般 * * *,7,1
一,一,1,名詞 数詞 * * * *,7,1
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,7,1
元気,元気,元気,名詞 普通名詞 形状詞可能 * * *,7,1
思う,思う,思う,動詞 一般 * * 五段-ワア行 終止形-一般,7,1
気,気,気,名詞 普通名詞 一般 * * *,7,1
行動,行動,行動,名詞 普通名詞 サ変可能 * * *,7,1
褒め,褒める,褒める,動詞 一般 * * 下一段-マ行 連用形-一般,7,1
試験,試験,試験,名詞 普通名詞 サ変可能 * * *,7,1
あ〜,あ〜,ああ,感動詞 一般 * * * *,6,1
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,6,1
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,6,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,6,1
こんな,こんな,こんな,連体詞 * * * * *,6,1
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,6,1
せ,する,為る,動詞 非自立可能 * * サ行変格 未然形-セ,6,1
そ,そ,そう,副詞 * * * * *,6,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,6,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,6,1
にゃん,にゃん,にゃん,副詞 * * * * *,6,1
へ,へ,へ,助詞 格助詞 * * * *,6,1
ほんと,ほんと,本当,名詞 普通名詞 一般 * * *,6,1
ましょう,ます,ます,助動詞 * * * 助動詞-マス 意志推量形,6,1
より,より,より,助詞 格助詞 * * * *,6,1
ん,ん,ん,助詞 格助詞 * * * *,6,1
アウト,アウト,アウト,名詞 普通名詞 一般 * * *,6,1
別,別,別,名詞 普通名詞 形状詞可能 * * *,6,1
家,家,家,名詞 普通名詞 一般 * * *,6,1
疲れ,疲れる,疲れる,動詞 一般 * * 下一段-ラ行 連用形-一般,6,1
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,6,1
い,い,い,助詞 終助詞 * * * *,5,1
うち,うち,内,名詞 普通名詞 副詞可能 * * *,5,1
こっち,こっち,此方,代名詞 * * * * *,5,1
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,5,1
しまい,しまう,仕舞う,動詞 非自立可能 * * 五段-ワア行 連用形-一般,5,1
じ,じ,じ,助動詞 * * * 文語助動詞-ジ 終止形-一般,5,1
たり,たり,たり,助詞 副助詞 * * * *,5,1
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,5,1
ちゃんと,ちゃんと,ちゃんと,副詞 * * * * *,5,1
てっ,てく,てく,助動詞 * * * 五段-カ行 連用形-促音便,5,1
できる,できる,出来る,動詞 非自立可能 * * 上一段-カ行 連体形-一般,5,1
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,5,1
ね〜,ね〜,ね,助詞 終助詞 * * * *,5,1
ねえ,ねえ,ね,助詞 終助詞 * * * *,5,1
はは,はは,はは,感動詞 一般 * * * *,5,1
まだ,まだ,未だ,副詞 * * * * *,5,1
まっ,まつ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,5,1
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,5,1
られ,られる,られる,助動詞 * * * 助動詞-レル 未然形-一般,5,1
ゴロゴロ,ゴロゴロ,ごろごろ,副詞 * * * * *,5,1
ササッ,ササッ,ささ,副詞 * * * * *,5,1
ソレイユ,ソレイユ,ソレイユ,名詞 普通名詞 一般 * * *,5,1
久しぶり,久しぶり,久し振り,名詞 普通名詞 一般 * * *,5,1
人,人,人,名詞 普通名詞 一般 * * *,5,1
分から,分かる,分かる,動詞 一般 * * 五段-ラ行 未然形-一般,5,1
匹,匹,匹,接尾辞 名詞的 助数詞 * * *,5,1
医者,医者,医者,名詞 普通名詞 一般 * * *,5,1
単独,単独,単独,形状詞 一般 * * * *,5,1
嘉祥,嘉祥,嘉祥,名詞 固有名詞 一般 * * *,5,1
大変,大変,大変,形状詞 一般 * * * *,5,1
幸せ,幸せ,幸せ,名詞 普通名詞 形状詞可能 * * *,5,1
当たり前,当たり前,当たり前,形状詞 一般 * * * *,5,1
待て,待つ,待つ,動詞 一般 * * 五段-タ行 命令形,5,1
感じ,感じ,感じ,名詞 普通名詞 一般 * * *,5,1
救急車,救急車,救急車,名詞 普通名詞 一般 * * *,5,1
時,時,時,名詞 普通名詞 副詞可能 * * *,5,1
熱,熱,熱,名詞 普通名詞 一般 * * *,5,1
自分,自分,自分,名詞 普通名詞 一般 * * *,5,1
行き,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-一般,5,1
超,超,超,接頭辞 * * * * *,5,1
頑張っ,頑張る,頑張る,動詞 一般 * * 五段-ラ行 連用形-促音便,5,1
ああっ,ああっ,ああ,感動詞 一般 * * * *,4,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,4,1
い,い,いー,感動詞 フィラー * * * *,4,1
いたし,いたす,致す,動詞 非自立可能 * * 五段-サ行 連用形-一般,4,1
う,う,うう,感動詞 一般 * * * *,4,1
ううう,ううう,うう,感動詞 一般 * * * *,4,1
うふ,うふ,うふふ,感動詞 一般 * * * *,4,1
えっ,えっ,えっ,感動詞 一般 * * * *,4,1
かけ,かける,掛ける,動詞 非自立可能 * * 下一段-カ行 連用形-一般,4,1
かわいい,かわいい,可愛い,形容詞 一般 * * 形容詞 終止形-一般,4,1
くらい,くらい,くらい,助詞 副助詞 * * * *,4,1
こう,こう,こう,副詞 * * * * *,4,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,4,1
そもそも,そもそも,抑,名詞 普通名詞 副詞可能 * * *,4,1
ただいま,ただいま,只今,名詞 普通名詞 副詞可能 * * *,4,1
ため,ため,為,名詞 普通名詞 副詞可能 * * *,4,1
ちゃう,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 終止形-一般,4,1
つー,つう,つう,助動詞 * * * 五段-ワア行 終止形-一般,4,1
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,4,1
なあ,なあ,な,助詞 終助詞 * * * *,4,1
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,4,1
にゃはは,にゃはは,にゃはは,感動詞 一般 * * * *,4,1
ふふ,ふふ,ふふ,感動詞 一般 * * * *,4,1
ほう,ほう,方,名詞 普通名詞 一般 * * *,4,1
また,また,又,接続詞 * * * * *,4,1
み,みる,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,4,1
めっちゃ,めっちゃ,目茶,副詞 * * * * *,4,1
もし,もし,若し,副詞 * * * * *,4,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,4,1
や,や,や,助詞 副助詞 * * * *,4,1
よし,よし,よし,感動詞 一般 * * * *,4,1
よろしく,よろしく,宜しく,副詞 * * * * *,4,1
れる,れる,れる,助動詞 * * * 助動詞-レル 連体形-一般,4,1
アレ,アレ,アレ,代名詞 * * * * *,4,1
エッチ,エッチ,エッチ,名詞 普通名詞 サ変形状詞可能 * * *,4,1
サイコー,サイコー,最高,名詞 普通名詞 形状詞可能 * * *,4,1
ハイドー,ハイドー,ハイドー,名詞 普通名詞 一般 * * *,4,1
中,中,中,名詞 普通名詞 副詞可能 * * *,4,1
今度,今度,今度,名詞 普通名詞 副詞可能 * * *,4,1
全て,全て,全て,名詞 普通名詞 副詞可能 * * *,4,1
全部,全部,全部,名詞 普通名詞 副詞可能 * * *,4,1
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,4,1
合格,合格,合格,名詞 普通名詞 サ変可能 * * *,4,1
外,外,外,名詞 普通名詞 一般 * * *,4,1
失礼,失礼,失礼,名詞 普通名詞 サ変形状詞可能 * * *,4,1
好き,好き,好き,形状詞 一般 * * * *,4,1
嫌,嫌,嫌,形状詞 一般 * * * *,4,1
子,子,子,名詞 普通名詞 一般 * * *,4,1
実家,実家,実家,名詞 普通名詞 一般 * * *,4,1
帰ら,帰る,帰る,動詞 一般 * * 五段-ラ行 未然形-一般,4,1
帰る,帰る,帰る,動詞 一般 * * 五段-ラ行 連体形-一般,4,1
帰る,帰る,帰る,動詞 一般 * * 五段-ラ行 終止形-一般,4,1
必要,必要,必要,名詞 普通名詞 形状詞可能 * * *,4,1
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,4,1
手,手,手,名詞 普通名詞 助数詞可能 * * *,4,1
本能,本能,本能,名詞 普通名詞 一般 * * *,4,1
楽しい,楽しい,楽しい,形容詞 一般 * * 形容詞 終止形-一般,4,1
次,次,次,名詞 普通名詞 一般 * * *,4,1
注文,注文,注文,名詞 普通名詞 サ変可能 * * *,4,1
準備,準備,準備,名詞 普通名詞 サ変可能 * * *,4,1
立派,立派,立派,形状詞 一般 * * * *,4,1
絶対,絶対,絶対,名詞 普通名詞 副詞可能 * * *,4,1
言わ,言う,言う,動詞 一般 * * 五段-ワア行 未然形-一般,4,1
誰,誰,誰,代名詞 * * * * *,4,1
迷惑,迷惑,迷惑,名詞 普通名詞 サ変形状詞可能 * * *,4,1
連れ,連れる,連れる,動詞 一般 * * 下一段-ラ行 連用形-一般,4,1
電話,電話,電話,名詞 普通名詞 サ変可能 * * *,4,1
あげ,あげる,上げる,動詞 非自立可能 * * 下一段-ガ行 連用形-一般,3,1
あたし,あたし,私,代名詞 * * * * *,3,1
あれ,あれ,彼れ,代名詞 * * * * *,3,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 終止形-一般,3,1
おっきい,おっきい,大きい,形容詞 一般 * * 形容詞 終止形-一般,3,1
お祝い,お祝い,御祝い,名詞 普通名詞 サ変可能 * * *,3,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,3,1
くせ,くせ,癖,名詞 普通名詞 一般 * * *,3,1
くんくん,くんくん,くんくん,副詞 * * * * *,3,1
こちら,こちら,此方,代名詞 * * * * *,3,1
こらっ,こらっ,こら,感動詞 一般 * * * *,3,1
さすが,さすが,流石,副詞 * * * * *,3,1
しかたない,しかたない,仕方無い,形容詞 一般 * * 形容詞 終止形-一般,3,1
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,3,1
じゃん,じゃん,じゃん,助詞 終助詞 * * * *,3,1
すごい,すごい,凄い,形容詞 一般 * * 形容詞 連体形-一般,3,1
すっ,すっ,すっ,副詞 * * * * *,3,1
すみ,すむ,すむ,動詞 一般 * * 五段-マ行 連用形-一般,3,1
ず,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-一般,3,1
せっかく,せっかく,折角,副詞 * * * * *,3,1
たい,たい,たい,助動詞 * * * 助動詞-タイ 連体形-一般,3,1
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,3,1
ち,ち,ちっ,副詞 * * * * *,3,1
ちゃう,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連体形-一般,3,1
ちょ,ちょ,一寸,副詞 * * * * *,3,1
っ,っ,っ,記号 一般 * * * *,3,1
っけ,っけ,け,助詞 終助詞 * * * *,3,1
でし,です,です,助動詞 * * * 助動詞-デス 連用形-一般,3,1
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,3,1
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,3,1
でる,でる,てる,助動詞 * * * 下一段-ダ行 連体形-一般,3,1
とりあえず,とりあえず,取り敢えず,副詞 * * * * *,3,1
なきゃ,ない,ない,助動詞 * * * 助動詞-ナイ 仮定形-融合,3,1
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,3,1
にゃあ,にゃあ,にゃあ,副詞 * * * * *,3,1
にゃあ,にゃあ,に,助詞 格助詞 * * * *,3,1
はっ,はっ,はっ,感動詞 一般 * * * *,3,1
ひと言,ひと言,一言,名詞 普通名詞 一般 * * *,3,1
ふっ,ふっ,ふっ,副詞 * * * * *,3,1
ふふふ,ふふふ,ふふふ,感動詞 一般 * * * *,3,1
ふむ,ふむ,ふむ,感動詞 一般 * * * *,3,1
ぷんすか,ぷんすか,ぷんすか,副詞 * * * * *,3,1
ほ,ほ,ほ,副詞 * * * * *,3,1
ほら,ほら,ほら,感動詞 一般 * * * *,3,1
まったく,まったく,全く,副詞 * * * * *,3,1
めしべ,めしべ,雌蕊,名詞 普通名詞 一般 * * *,3,1
もらう,もらう,貰う,動詞 非自立可能 * * 五段-ワア行 連体形-一般,3,1
られる,られる,られる,助動詞 * * * 助動詞-レル 終止形-一般,3,1
わあ,わあ,わあ,感動詞 一般 * * * *,3,1
わけ,わけ,訳,名詞 普通名詞 一般 * * *,3,1
ん,む,む,助動詞 * * * 文語助動詞-ム 終止形-撥音便,3,1
ん,ん,の,助詞 終助詞 * * * *,3,1
んっ,んっ,んっ,感動詞 一般 * * * *,3,1
アップルパイ,アップルパイ,アップルパイ,名詞 普通名詞 一般 * * *,3,1
シナモン,シナモン,シナモン,名詞 普通名詞 一般 * * *,3,1
