Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,41945,546
は,は,は,助詞 係助詞 * * * *,33266,546
に,に,に,助詞 格助詞 * * * *,29676,546
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,29267,546
を,を,を,助詞 格助詞 * * * *,25751,546
て,て,て,助詞 接続助詞 * * * *,24248,546
が,が,が,助詞 格助詞 * * * *,22769,546
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,15455,546
も,も,も,助詞 係助詞 * * * *,14178,545
か,か,か,助詞 終助詞 * * * *,13012,546
と,と,と,助詞 格助詞 * * * *,12829,546
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,12269,546
で,で,で,助詞 格助詞 * * * *,11301,546
ん,ん,の,助詞 準体助詞 * * * *,11206,546
よ,よ,よ,助詞 終助詞 * * * *,11139,546
〜,〜,〜,補助記号 一般 * * * *,10799,545
何,何,何,代名詞 * * * * *,9666,546
たち,たち,達,接尾辞 名詞的 一般 * * *,9639,546
の,の,の,助詞 準体助詞 * * * *,9588,546
な,な,な,助詞 終助詞 * * * *,8931,546
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,8585,546
ルフィ,ルフィ,ルフィ,名詞 固有名詞 人名 一般 * *,8368,543
俺,俺,俺,代名詞 * * * * *,8241,473
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,6946,543
海賊,海賊,海賊,名詞 普通名詞 一般 * * *,5989,535
この,この,此の,連体詞 * * * * *,5764,542
・,・,・,補助記号 一般 * * * *,5761,408
お前,お前,御前,代名詞 * * * * *,5477,488
こと,こと,こと,名詞 普通名詞 一般 * * *,5035,543
あっ,あっ,あっ,感動詞 一般 * * * *,4861,541
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,4776,540
サンジ,サンジ,サンジ,名詞 普通名詞 一般 * * *,4477,335
って,って,って,助詞 副助詞 * * * *,4379,533
ウソップ,ウソップ,ウソップ,名詞 普通名詞 一般 * * *,4243,305
ああ,ああ,ああ,感動詞 一般 * * * *,4159,532
か,か,か,助詞 副助詞 * * * *,4092,538
ら,ら,等,接尾辞 名詞的 一般 * * *,4051,527
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,3809,542
さん,さん,さん,接尾辞 名詞的 一般 * * *,3677,515
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,3652,529
ね,ね,ね,助詞 終助詞 * * * *,3590,517
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,3559,530
お,お,御,接頭辞 * * * * *,3557,501
男,男,男,名詞 普通名詞 一般 * * *,3478,466
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,3448,536
そう,そう,そう,副詞 * * * * *,3404,528
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,3284,481
その,その,其の,連体詞 * * * * *,3237,536
から,から,から,助詞 接続助詞 * * * *,3176,514
それ,それ,其れ,代名詞 * * * * *,3140,529
どう,どう,どう,副詞 * * * * *,3115,532
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,3068,509
が,が,が,助詞 接続助詞 * * * *,3011,534
から,から,から,助詞 格助詞 * * * *,2982,529
これ,これ,此れ,代名詞 * * * * *,2955,524
もう,もう,もう,副詞 * * * * *,2917,526
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,2882,521
へ,へ,へ,助詞 格助詞 * * * *,2881,515
ナミ,ナミ,波,名詞 普通名詞 一般 * * *,2847,339
チョッパー,チョッパー,チョッパー,名詞 普通名詞 一般 * * *,2836,243
ゾロ,ゾロ,ゾロ,名詞 固有名詞 人名 一般 * *,2751,351
うん,うん,うん,感動詞 一般 * * * *,2667,429
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,2587,514
あの,あの,彼の,連体詞 * * * * *,2541,505
ここ,ここ,此処,代名詞 * * * * *,2531,520
えっ,えっ,えっ,感動詞 一般 * * * *,2526,503
わ,わ,わ,助詞 終助詞 * * * *,2468,445
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,2439,502
おい,おい,おい,感動詞 一般 * * * *,2406,487
王,王,王,名詞 普通名詞 一般 * * *,2345,501
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,2168,499
ハァ,ハァ,はあ,感動詞 一般 * * * *,2150,283
今,今,今,名詞 普通名詞 副詞可能 * * *,2139,519
音,音,音,名詞 普通名詞 一般 * * *,2119,431
麦わら,麦わら,麦藁,名詞 普通名詞 一般 * * *,2098,439
うっ,うっ,うう,感動詞 一般 * * * *,2093,463
ば,ば,ば,助詞 接続助詞 * * * *,2091,498
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,2083,495
の,の,の,助詞 終助詞 * * * *,1955,408
で,で,で,助詞 接続助詞 * * * *,1949,490
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,1944,509
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,1935,447
私,私,私,代名詞 * * * * *,1922,323
あいつ,あいつ,彼奴,代名詞 * * * * *,1908,469
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,1896,511
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,1883,497
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,1855,480
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,1841,479
ー,ー,ー,補助記号 一般 * * * *,1838,392
まで,まで,まで,助詞 副助詞 * * * *,1801,493
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,1798,484
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,1792,496
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,1791,398
さま,さま,様,接尾辞 名詞的 一般 * * *,1763,333
ロビン,ロビン,ロビン,名詞 固有名詞 人名 一般 * *,1744,260
フランキー,フランキー,フランキー,名詞 固有名詞 人名 一般 * *,1701,237
海,海,海,名詞 普通名詞 一般 * * *,1670,435
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,1643,463
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,1638,469
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,1628,480
だけ,だけ,だけ,助詞 副助詞 * * * *,1601,475
やつ,やつ,奴,名詞 普通名詞 一般 * * *,1580,430
船,船,船,名詞 普通名詞 一般 * * *,1569,305
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,1540,474
海兵,海兵,海兵,名詞 普通名詞 一般 * * *,1537,175
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,1513,517
ブルック,ブルック,ブルック,名詞 固有名詞 人名 一般 * *,1502,180
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,1465,429
･,・,・,補助記号 一般 * * * *,1453,122
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,1450,460
て,てる,てる,助動詞 * * * 下一段-タ行 連体形-省略,1450,441
誰,誰,誰,代名詞 * * * * *,1443,412
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,1433,453
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,1428,448
仲間,仲間,仲間,名詞 普通名詞 一般 * * *,1427,418
