Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,898,13
は,は,は,助詞 係助詞 * * * *,722,13
に,に,に,助詞 格助詞 * * * *,705,13
て,て,て,助詞 接続助詞 * * * *,701,13
が,が,が,助詞 格助詞 * * * *,595,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,464,13
を,を,を,助詞 格助詞 * * * *,448,13
と,と,と,助詞 格助詞 * * * *,369,13
で,で,で,助詞 格助詞 * * * *,357,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,334,13
も,も,も,助詞 係助詞 * * * *,327,13
坂本,坂本,坂本,名詞 固有名詞 人名 姓 * *,326,12
よ,よ,よ,助詞 終助詞 * * * *,321,13
か,か,か,助詞 終助詞 * * * *,280,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,278,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,262,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,242,13
ん,ん,の,助詞 準体助詞 * * * *,216,13
の,の,の,助詞 準体助詞 * * * *,206,13
君,君,君,接尾辞 名詞的 一般 * * *,192,11
な,な,な,助詞 終助詞 * * * *,190,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,184,13
何,何,何,代名詞 * * * * *,170,12
ね,ね,ね,助詞 終助詞 * * * *,165,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,164,13
こと,こと,こと,名詞 普通名詞 一般 * * *,160,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,151,13
か,か,か,助詞 副助詞 * * * *,143,13
って,って,って,助詞 副助詞 * * * *,140,13
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,140,12
あッ,あッ,あっ,感動詞 一般 * * * *,134,12
お,お,御,接頭辞 * * * * *,130,13
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,118,13
これ,これ,此れ,代名詞 * * * * *,117,13
〜,〜,〜,補助記号 一般 * * * *,117,12
この,この,此の,連体詞 * * * * *,115,13
それ,それ,其れ,代名詞 * * * * *,111,13
俺,俺,俺,代名詞 * * * * *,111,12
そう,そう,そう,副詞 * * * * *,109,13
えッ,えッ,えっ,感動詞 一般 * * * *,101,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,97,12
その,その,其の,連体詞 * * * * *,94,13
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,93,13
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,91,13
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,83,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,81,13
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,81,13
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,79,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,78,13
から,から,から,助詞 格助詞 * * * *,77,13
が,が,が,助詞 接続助詞 * * * *,71,13
の,の,の,助詞 終助詞 * * * *,68,12
私,私,私,代名詞 * * * * *,68,10
さん,さん,さん,接尾辞 名詞的 一般 * * *,67,11
から,から,から,助詞 接続助詞 * * * *,65,13
もう,もう,もう,副詞 * * * * *,61,13
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,59,13
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,58,13
僕,僕,僕,代名詞 * * * * *,58,11
今,今,今,名詞 普通名詞 副詞可能 * * *,55,13
どう,どう,どう,副詞 * * * * *,55,12
生徒,生徒,生徒,名詞 普通名詞 一般 * * *,55,12
と,と,と,助詞 接続助詞 * * * *,55,9
ら,ら,等,接尾辞 名詞的 一般 * * *,53,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,52,13
ああ,ああ,ああ,感動詞 一般 * * * *,52,11
おい,おい,おい,感動詞 一般 * * * *,52,11
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,51,11
あっ,あっ,あっ,名詞 固有名詞 人名 一般 * *,49,10
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,48,11
わ,わ,わ,助詞 終助詞 * * * *,47,12
ケンケン,ケンケン,ケンケン,名詞 普通名詞 一般 * * *,47,8
まり,まり,鞠,名詞 普通名詞 一般 * * *,46,6
ば,ば,ば,助詞 接続助詞 * * * *,45,10
女子,女子,女子,名詞 普通名詞 一般 * * *,45,9
達,達,達,接尾辞 名詞的 一般 * * *,45,8
うん,うん,うん,感動詞 一般 * * * *,44,12
けど,けど,けれど,助詞 接続助詞 * * * *,43,12
で,で,で,助詞 接続助詞 * * * *,43,12
よう,よう,様,形状詞 助動詞語幹 * * * *,43,12
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,43,11
地震,地震,地震,名詞 普通名詞 一般 * * *,43,1
あの,あの,彼の,連体詞 * * * * *,42,12
や,や,や,助詞 副助詞 * * * *,42,11
人,人,人,名詞 普通名詞 一般 * * *,41,13
こんな,こんな,こんな,連体詞 * * * * *,41,11
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,41,11
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,40,13
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,40,12
年,年,年,名詞 普通名詞 助数詞可能 * * *,40,12
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,39,12
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,39,11
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,39,9
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,38,13
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,38,10
お前,お前,御前,代名詞 * * * * *,38,8
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,37,12
ちょっと,ちょっと,一寸,副詞 * * * * *,37,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,37,12
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,37,11
まで,まで,まで,助詞 副助詞 * * * *,36,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,36,10
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,36,10
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,36,10
まあ,まあ,まあ,副詞 * * * * *,36,10
やれ,やれ,やれ,感動詞 一般 * * * *,36,8
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,35,12
だけ,だけ,だけ,助詞 副助詞 * * * *,35,11
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,35,11
とき,とき,時,名詞 普通名詞 副詞可能 * * *,35,11
誰,誰,誰,代名詞 * * * * *,35,11
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,35,10
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,34,12
し,し,し,助詞 接続助詞 * * * *,34,11
次,次,次,名詞 普通名詞 一般 * * *,33,13
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,33,12
一,一,1,名詞 数詞 * * * *,33,12
