Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,299,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,285,1
は,は,は,助詞 係助詞 * * * *,243,1
に,に,に,助詞 格助詞 * * * *,213,1
て,て,て,助詞 接続助詞 * * * *,206,1
を,を,を,助詞 格助詞 * * * *,193,1
が,が,が,助詞 格助詞 * * * *,164,1
〜,〜,〜,補助記号 一般 * * * *,137,1
ん,ん,の,助詞 準体助詞 * * * *,134,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,129,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,129,1
鉄雄,鉄雄,鉄雄,名詞 固有名詞 人名 名 * *,128,1
金田,金田,金田,名詞 固有名詞 人名 姓 * *,127,1
よ,よ,よ,助詞 終助詞 * * * *,116,1
か,か,か,助詞 終助詞 * * * *,113,1
も,も,も,助詞 係助詞 * * * *,110,1
の,の,の,助詞 準体助詞 * * * *,107,1
と,と,と,助詞 格助詞 * * * *,103,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,97,1
で,で,で,助詞 格助詞 * * * *,83,1
ハア,ハア,はあ,感動詞 一般 * * * *,66,1
たち,たち,達,接尾辞 名詞的 一般 * * *,61,1
あっ,あっ,あっ,感動詞 一般 * * * *,60,1
軍人,軍人,軍人,名詞 普通名詞 一般 * * *,57,1
どう,どう,どう,副詞 * * * * *,56,1
な,な,な,助詞 終助詞 * * * *,56,1
何,何,何,代名詞 * * * * *,56,1
ケイ,ケイ,ケイ,名詞 固有名詞 人名 一般 * *,55,1
って,って,って,助詞 副助詞 * * * *,54,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,52,1
うっ,うっ,うう,感動詞 一般 * * * *,51,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,47,1
大佐,大佐,大佐,名詞 普通名詞 一般 * * *,47,1
その,その,其の,連体詞 * * * * *,43,1
うわ〜,うわ〜,うわ,感動詞 一般 * * * *,42,1
アキラ,アキラ,アキラ,名詞 固有名詞 人名 名 * *,42,1
ああ,ああ,ああ,感動詞 一般 * * * *,41,1
俺,俺,俺,代名詞 * * * * *,41,1
お前,お前,御前,代名詞 * * * * *,40,1
っ,っ,っ,補助記号 一般 * * * *,39,1
あの,あの,彼の,連体詞 * * * * *,36,1
ね,ね,ね,助詞 終助詞 * * * *,36,1
君,君,君,接尾辞 名詞的 一般 * * *,36,1
この,この,此の,連体詞 * * * * *,33,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,33,1
男,男,男,名詞 普通名詞 一般 * * *,33,1
か,か,か,助詞 副助詞 * * * *,32,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,32,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,32,1
こと,こと,こと,名詞 普通名詞 一般 * * *,31,1
カオリ,カオリ,カオリ,名詞 固有名詞 人名 名 * *,31,1
竜,竜,竜,名詞 普通名詞 一般 * * *,31,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,30,1
ハッ,ハッ,はっ,感動詞 一般 * * * *,30,1
音,音,音,名詞 普通名詞 一般 * * *,30,1
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,29,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,28,1
もう,もう,もう,副詞 * * * * *,28,1
力,力,力,名詞 普通名詞 一般 * * *,28,1
うう,うう,うう,感動詞 一般 * * * *,27,1
それ,それ,其れ,代名詞 * * * * *,27,1
甲斐,甲斐,甲斐,名詞 普通名詞 一般 * * *,27,1
あ,あ,あっ,感動詞 一般 * * * *,26,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,26,1
ら,ら,等,接尾辞 名詞的 一般 * * *,26,1
から,から,から,助詞 接続助詞 * * * *,25,1
キヨコ,キヨコ,キヨコ,名詞 固有名詞 人名 名 * *,25,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,23,1
これ,これ,此れ,代名詞 * * * * *,23,1
そう,そう,そう,副詞 * * * * *,23,1
へ,へ,へ,助詞 格助詞 * * * *,23,1
わ,わ,わ,助詞 終助詞 * * * *,23,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,22,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,22,1
なん,なん,何,代名詞 * * * * *,21,1
ば,ば,ば,助詞 接続助詞 * * * *,21,1
山形,山形,山形,名詞 固有名詞 地名 一般 * *,21,1
おい,おい,おい,感動詞 一般 * * * *,19,1
から,から,から,助詞 格助詞 * * * *,19,1
さ,さ,さ,助詞 終助詞 * * * *,19,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,19,1
どこ,どこ,どこ,代名詞 * * * * *,19,1
タカシ,タカシ,タカシ,名詞 固有名詞 人名 名 * *,19,1
議員,議員,議員,名詞 普通名詞 一般 * * *,19,1
ああっ,ああっ,ああ,感動詞 一般 * * * *,18,1
が,が,が,助詞 接続助詞 * * * *,18,1
バイク,バイク,バイク,名詞 普通名詞 一般 * * *,18,1
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,18,1
う,う,うう,感動詞 一般 * * * *,17,1
うわ,うわ,うわ,感動詞 一般 * * * *,17,1
の,の,の,助詞 終助詞 * * * *,17,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,17,1
実験,実験,実験,名詞 普通名詞 サ変可能 * * *,17,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,16,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,16,1
うわあ,うわあ,うわ,感動詞 一般 * * * *,16,1
なに,なに,何,代名詞 * * * * *,16,1
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,16,1
今,今,今,名詞 普通名詞 副詞可能 * * *,16,1
あ〜っ,あ〜っ,ああ,感動詞 一般 * * * *,15,1
お,お,御,接頭辞 * * * * *,15,1
マサル,マサル,マサル,名詞 固有名詞 人名 名 * *,15,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,15,1
警官,警官,警官,名詞 普通名詞 一般 * * *,15,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,14,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,14,1
まで,まで,まで,助詞 副助詞 * * * *,14,1
よう,よう,様,形状詞 助動詞語幹 * * * *,14,1
ん,ん,んっ,感動詞 一般 * * * *,14,1
クラウン,クラウン,クラウン,名詞 普通名詞 一般 * * *,14,1
体,体,体,名詞 普通名詞 助数詞可能 * * *,14,1
前,前,前,名詞 普通名詞 副詞可能 * * *,14,1
気,気,気,名詞 普通名詞 一般 * * *,14,1
うわあっ,うわあっ,うわ,感動詞 一般 * * * *,13,1
しろ,する,為る,動詞 非自立可能 * * サ行変格 命令形,13,1
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,13,1
そんな,そんな,そんな,連体詞 * * * * *,13,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,13,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,13,1
や,や,や,助詞 副助詞 * * * *,13,1
よ〜,よ〜,よ,助詞 終助詞 * * * *,13,1
野郎,野郎,野郎,名詞 普通名詞 一般 * * *,13,1
あ〜,あ〜,ああ,感動詞 一般 * * * *,12,1
あいつ,あいつ,彼奴,代名詞 * * * * *,12,1
あれ,あれ,彼れ,代名詞 * * * * *,12,1
いや,いや,否,感動詞 一般 * * * *,12,1
し,し,し,助詞 接続助詞 * * * *,12,1
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,12,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,12,1
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,12,1
中,中,中,名詞 普通名詞 副詞可能 * * *,12,1
人,人,人,名詞 普通名詞 一般 * * *,12,1
我々,我々,我々,代名詞 * * * * *,12,1
死ん,死ぬ,死ぬ,動詞 一般 * * 五段-ナ行 連用形-撥音便,12,1
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,12,1
うお,うお,うお,名詞 固有名詞 人名 一般 * *,11,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,11,1
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,11,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,11,1
とき,とき,時,名詞 普通名詞 副詞可能 * * *,11,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,11,1
まだ,まだ,未だ,副詞 * * * * *,11,1
デモ,デモ,デモ,名詞 普通名詞 サ変可能 * * *,11,1
ドクター,ドクター,ドクター,名詞 普通名詞 一般 * * *,11,1
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,11,1
仲間,仲間,仲間,名詞 普通名詞 一般 * * *,11,1
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,11,1
私たち,私たち,私達,名詞 普通名詞 一般 * * *,11,1
誰,誰,誰,代名詞 * * * * *,11,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,10,1
ううっ,ううっ,うう,感動詞 一般 * * * *,10,1
うわっ,うわっ,うわ,感動詞 一般 * * * *,10,1
おり,おる,おる,動詞 非自立可能 * * 五段-ラ行 連用形-一般,10,1
だけ,だけ,だけ,助詞 副助詞 * * * *,10,1
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,10,1
ちゃ,ちゃ,て,助詞 接続助詞 * * * *,10,1
ちょっと,ちょっと,一寸,副詞 * * * * *,10,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,10,1
なら,なる,成る,動詞 非自立可能 * * 五段-ラ行 未然形-一般,10,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,10,1
より,より,より,助詞 格助詞 * * * *,10,1
ゲリラ,ゲリラ,ゲリラ,名詞 普通名詞 一般 * * *,10,1
メンバー,メンバー,メンバー,名詞 普通名詞 一般 * * *,10,1
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,10,1
号,号,号,名詞 普通名詞 助数詞可能 * * *,10,1
待て,待つ,待つ,動詞 一般 * * 五段-タ行 命令形,10,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,10,1
研究員,研究員,研究員,名詞 普通名詞 一般 * * *,10,1
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,10,1
いつ,いつ,いつ,代名詞 * * * * *,9,1
えっ,えっ,えっ,感動詞 一般 * * * *,9,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,9,1
はい,はい,はい,感動詞 一般 * * * *,9,1
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,9,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,9,1
コントロール,コントロール,コントロール,名詞 普通名詞 サ変可能 * * *,9,1
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,9,1
助け,助ける,助ける,動詞 一般 * * 下一段-カ行 連用形-一般,9,1
君,君,君,代名詞 * * * * *,9,1
様,様,様,接尾辞 名詞的 一般 * * *,9,1
連れ,連れる,連れる,動詞 一般 * * 下一段-ラ行 連用形-一般,9,1
頭,頭,頭,名詞 普通名詞 一般 * * *,9,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,8,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,8,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,8,1
ううっ,ううっ,うう,副詞 * * * * *,8,1
お〜い,お〜い,おい,感動詞 一般 * * * *,8,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,8,1
けど,けど,けれど,助詞 接続助詞 * * * *,8,1
ここ,ここ,此処,代名詞 * * * * *,8,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,8,1
ちまっ,ちまう,ちまう,助動詞 * * * 五段-ワア行 連用形-促音便,8,1
て,てる,てる,助動詞 * * * 下一段-タ行 連体形-省略,8,1
で,で,で,助詞 接続助詞 * * * *,8,1
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,8,1
やめろ,やめる,やめる,動詞 一般 * * 下一段-マ行 命令形,8,1
ん,ん,ん,助詞 格助詞 * * * *,8,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 連体形-撥音便,8,1
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,8,1
中,中,中,接尾辞 名詞的 副詞可能 * * *,8,1
参加者,参加者,参加者,名詞 普通名詞 一般 * * *,8,1
島崎,島崎,島崎,名詞 固有名詞 人名 姓 * *,8,1
違う,違う,違う,動詞 一般 * * 五段-ワア行 終止形-一般,8,1
高場,高場,高場,名詞 固有名詞 人名 姓 * *,8,1
あと,あと,後,名詞 普通名詞 副詞可能 * * *,7,1
い,い,い,助詞 終助詞 * * * *,7,1
うるせえ,うるさい,煩い,形容詞 一般 * * 形容詞 終止形-一般,7,1
うわっ,うわっ,うわ,副詞 * * * * *,7,1
くっ,くっ,くっ,感動詞 一般 * * * *,7,1
こいつ,こいつ,此奴,代名詞 * * * * *,7,1
だ〜,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,7,1
やがっ,やがる,やがる,助動詞 * * * 五段-ラ行 連用形-促音便,7,1
られ,られる,られる,助動詞 * * * 助動詞-レル 未然形-一般,7,1
わけ,わけ,訳,名詞 普通名詞 一般 * * *,7,1
アーミー,アーミー,アーミー,名詞 普通名詞 一般 * * *,7,1
エネルギー,エネルギー,エネルギー,名詞 普通名詞 一般 * * *,7,1
ガキ,ガキ,ガキ,名詞 普通名詞 一般 * * *,7,1
ヘッ,ヘッ,へえ,感動詞 一般 * * * *,7,1
僕,僕,僕,代名詞 * * * * *,7,1
少年,少年,少年,名詞 普通名詞 一般 * * *,7,1
幹部,幹部,幹部,名詞 普通名詞 一般 * * *,7,1
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,7,1
撃て,撃つ,打つ,動詞 一般 * * 五段-タ行 命令形,7,1
東京,東京,東京,名詞 固有名詞 地名 一般 * *,7,1
