Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2609,48
は,は,は,助詞 係助詞 * * * *,2320,48
て,て,て,助詞 接続助詞 * * * *,2261,48
に,に,に,助詞 格助詞 * * * *,1961,48
を,を,を,助詞 格助詞 * * * *,1857,48
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1775,48
が,が,が,助詞 格助詞 * * * *,1408,48
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1288,48
も,も,も,助詞 係助詞 * * * *,1040,48
よ,よ,よ,助詞 終助詞 * * * *,1004,48
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,986,48
と,と,と,助詞 格助詞 * * * *,965,48
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,939,48
で,で,で,助詞 格助詞 * * * *,908,48
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,800,48
〜,〜,〜,補助記号 一般 * * * *,793,48
ん,ん,の,助詞 準体助詞 * * * *,784,48
の,の,の,助詞 準体助詞 * * * *,744,48
か,か,か,助詞 終助詞 * * * *,740,48
ね,ね,ね,助詞 終助詞 * * * *,711,48
サトシ,サトシ,サトシ,名詞 固有名詞 人名 名 * *,580,47
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,575,48
たち,たち,達,接尾辞 名詞的 一般 * * *,534,48
な,な,な,助詞 終助詞 * * * *,466,48
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,440,48
ニャ,ニャ,ニャ,名詞 普通名詞 一般 * * *,405,41
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,374,48
セレナ,セレナ,セリーナ,名詞 固有名詞 人名 一般 * *,353,46
こと,こと,こと,名詞 普通名詞 一般 * * *,352,48
か,か,か,助詞 副助詞 * * * *,335,48
って,って,って,助詞 副助詞 * * * *,327,48
これ,これ,此れ,代名詞 * * * * *,319,48
この,この,此の,連体詞 * * * * *,318,47
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,308,46
それ,それ,其れ,代名詞 * * * * *,304,47
さん,さん,さん,接尾辞 名詞的 一般 * * *,304,38
何,何,何,代名詞 * * * * *,303,46
俺,俺,俺,代名詞 * * * * *,290,44
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,287,32
お,お,御,接頭辞 * * * * *,283,46
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,282,48
私,私,私,代名詞 * * * * *,280,41
どう,どう,どう,副詞 * * * * *,277,47
わ,わ,わ,助詞 終助詞 * * * *,260,47
そう,そう,そう,副詞 * * * * *,257,48
から,から,から,助詞 接続助詞 * * * *,253,48
マイク,マイク,マイク,名詞 普通名詞 一般 * * *,251,11
ユリーカ,ユリーカ,ユリーカ,名詞 普通名詞 一般 * * *,248,47
の,の,の,助詞 終助詞 * * * *,247,47
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,241,47
あっ,あっ,あっ,感動詞 一般 * * * *,235,47
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,230,48
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,223,45
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,217,43
団,団,団,接尾辞 名詞的 一般 * * *,215,35
もう,もう,もう,副詞 * * * * *,209,46
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,203,44
アラン,アラン,アラン,名詞 固有名詞 人名 一般 * *,203,19
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,200,48
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,192,45
はい,はい,はい,感動詞 一般 * * * *,187,39
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,184,45
から,から,から,助詞 格助詞 * * * *,181,47
ロケット,ロケット,ロケット,名詞 普通名詞 一般 * * *,177,33
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,174,43
うん,うん,うん,感動詞 一般 * * * *,173,45
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,171,46
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,171,46
