Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,648,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,547,12
に,に,に,助詞 格助詞 * * * *,490,12
の,の,の,助詞 格助詞 * * * *,464,12
は,は,は,助詞 係助詞 * * * *,444,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,419,12
よ,よ,よ,助詞 終助詞 * * * *,352,12
で,で,で,助詞 格助詞 * * * *,345,12
が,が,が,助詞 格助詞 * * * *,320,12
も,も,も,助詞 係助詞 * * * *,314,12
か,か,か,助詞 終助詞 * * * *,312,12
な,な,な,助詞 終助詞 * * * *,284,12
と,と,と,助詞 格助詞 * * * *,272,12
ん,ん,の,助詞 準体助詞 * * * *,267,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,260,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,240,12
ね,ね,ね,助詞 終助詞 * * * *,225,12
を,を,を,助詞 格助詞 * * * *,213,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,192,11
って,って,って,助詞 副助詞 * * * *,169,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,165,12
の,の,の,助詞 準体助詞 * * * *,162,12
か,か,か,助詞 副助詞 * * * *,148,12
お,お,御,接頭辞 * * * * *,137,12
・,・,・,補助記号 一般 * * * *,133,11
キャンプ,キャンプ,キャンプ,名詞 普通名詞 サ変可能 * * *,126,12
私,私,私,代名詞 * * * * *,120,12
リン,リン,燐,名詞 普通名詞 一般 * * *,118,11
これ,これ,此れ,代名詞 * * * * *,106,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,102,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,101,12
けど,けど,けれど,助詞 接続助詞 * * * *,100,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,98,12
そう,そう,そう,副詞 * * * * *,97,12
や,や,や,助詞 副助詞 * * * *,91,12
の,の,の,助詞 終助詞 * * * *,89,12
から,から,から,助詞 接続助詞 * * * *,86,12
し,し,し,助詞 接続助詞 * * * *,84,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,84,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,82,11
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,80,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,79,12
から,から,から,助詞 格助詞 * * * *,75,12
何,何,何,代名詞 * * * * *,73,12
なでしこ,なでしこ,撫子,名詞 普通名詞 一般 * * *,69,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,66,10
ここ,ここ,此処,代名詞 * * * * *,65,12
それ,それ,其れ,代名詞 * * * * *,65,11
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,64,11
ば,ば,ば,助詞 接続助詞 * * * *,61,11
もう,もう,もう,副詞 * * * * *,60,12
こと,こと,こと,名詞 普通名詞 一般 * * *,60,11
