Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1781,25
〜,〜,〜,補助記号 一般 * * * *,1451,25
に,に,に,助詞 格助詞 * * * *,1369,25
は,は,は,助詞 係助詞 * * * *,1272,25
て,て,て,助詞 接続助詞 * * * *,1153,25
を,を,を,助詞 格助詞 * * * *,1003,25
が,が,が,助詞 格助詞 * * * *,979,25
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,836,25
も,も,も,助詞 係助詞 * * * *,608,25
よ,よ,よ,助詞 終助詞 * * * *,530,25
で,で,で,助詞 格助詞 * * * *,500,25
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,493,25
の,の,の,助詞 準体助詞 * * * *,467,25
と,と,と,助詞 格助詞 * * * *,440,25
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,432,25
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,375,24
たち,たち,達,接尾辞 名詞的 一般 * * *,349,25
ん,ん,んっ,感動詞 一般 * * * *,342,25
ん,ん,の,助詞 準体助詞 * * * *,338,25
音,音,音,名詞 普通名詞 一般 * * *,332,24
ハァ,ハァ,はあ,感動詞 一般 * * * *,308,24
って,って,って,助詞 副助詞 * * * *,305,25
わ,わ,わ,助詞 終助詞 * * * *,299,25
山賊,山賊,山賊,名詞 普通名詞 一般 * * *,297,22
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,295,25
ローニャ,ローニャ,ローニャ,名詞 普通名詞 一般 * * *,283,25
事,事,事,名詞 普通名詞 一般 * * *,279,25
私,私,私,代名詞 * * * * *,259,25
うっ,うっ,うう,感動詞 一般 * * * *,225,25
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,216,25
ね,ね,ね,助詞 終助詞 * * * *,213,23
そう,そう,そう,副詞 * * * * *,207,25
マッティス,マッティス,マッティス,名詞 普通名詞 一般 * * *,204,25
か,か,か,助詞 終助詞 * * * *,204,24
俺,俺,俺,代名詞 * * * * *,202,18
それ,それ,其れ,代名詞 * * * * *,198,25
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,198,25
な,な,な,助詞 終助詞 * * * *,193,23
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,191,25
あっ,あっ,あっ,感動詞 一般 * * * *,186,24
この,この,此の,連体詞 * * * * *,184,25
ハア,ハア,はあ,感動詞 一般 * * * *,184,17
さ,さ,さ,助詞 終助詞 * * * *,170,25
か,か,か,助詞 副助詞 * * * *,163,25
あ,あ,あっ,感動詞 一般 * * * *,162,24
う,う,うう,感動詞 一般 * * * *,161,22
僕,僕,僕,代名詞 * * * * *,157,22
から,から,から,助詞 格助詞 * * * *,150,25
森,森,森,名詞 普通名詞 一般 * * *,150,24
お前,お前,御前,代名詞 * * * * *,149,22
何,何,何,代名詞 * * * * *,143,24
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,141,25
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,139,21
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,137,24
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,132,25
さん,さん,さん,接尾辞 名詞的 一般 * * *,131,22
もう,もう,もう,副詞 * * * * *,128,23
お,お,御,接頭辞 * * * * *,126,24
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,125,25
うん,うん,うん,感動詞 一般 * * * *,124,21
もの,もの,物,名詞 普通名詞 サ変可能 * * *,121,25
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,114,25
から,から,から,助詞 接続助詞 * * * *,112,25
あんた,あんた,貴方,代名詞 * * * * *,110,23
どう,どう,どう,副詞 * * * * *,109,25
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,109,5
春,春,春,名詞 普通名詞 副詞可能 * * *,108,25
あ〜,あ〜,ああ,感動詞 一般 * * * *,108,21
っ,っ,っ,補助記号 一般 * * * *,106,24
で,で,で,助詞 接続助詞 * * * *,105,24
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,105,23
その,その,其の,連体詞 * * * * *,104,23
中,中,中,名詞 普通名詞 副詞可能 * * *,100,25
風,風,風,名詞 普通名詞 一般 * * *,99,24
ここ,ここ,此処,代名詞 * * * * *,99,21
さけび,さけび,叫び,名詞 普通名詞 一般 * * *,97,25
う,う,うー,感動詞 フィラー * * * *,97,22
君,君,君,代名詞 * * * * *,97,21
んっ,んっ,んっ,感動詞 一般 * * * *,95,22
